game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,CRATE,---G-,4,4,LLM,TOUTS,-Y-G-,4,4,VOI,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,107,98.09912950790547,107,3,97.196261682243,3.0,1.0,66.66666666666666,,,,,,,,,,0
2,PARTY,True,4,ARISE,YY---,5,4,LLM,MARLA,-GG--,3,3,VOI,TARDY,YGG-G,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,185,96.71344821460296,185,23,87.56756756756758,23.0,1.0,95.65217391304348,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,5,GUESS,-----,5,5,LLM,HYDRO,---Y-,5,5,VOI,MARTA,--YY-,5.0,5.0,VOI,TRILL,GGG--,2.0,2.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1270,77.43826612186889,1270,128,89.92125984251969,128.0,4.0,96.875,4.0,2.0,50.0,2.0,1.0,50.0,,,,0
4,DIRTY,True,4,ARISE,-YY--,5,5,LLM,KIRIN,-GG--,3,3,VOI,GIRTH,-GGG-,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,49,99.12950790548943,49,11,77.55102040816327,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,GUESS,-Y-Y-,5,5,LLM,SOUTH,Y-G--,4,4,VOI,ASUKA,YGG--,3.0,3.0,VOI,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,50,99.1117427607035,50,3,94.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,GUESS,-Y---,5,5,LLM,MOURN,--GY-,4,4,VOI,TRUDY,GGG-G,1.0,1.0,VOI,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,154,97.26416770296676,154,7,95.45454545454544,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,4,LUMPS,---YY,5,5,LLM,SPARE,GG--Y,3,3,VOI,SPEND,GGGG-,1.0,1.0,VOI,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,86,98.47219754841002,86,5,94.18604651162792,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,3,BASED,-GYY-,4,3,LLM,PARSE,GG-GG,1,1,VOI,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,11,99.80458340735476,11,1,90.9090909090909,1.0,1.0,0.0,,,,,,,,,,0
9,CRAZY,True,5,GUESS,-----,5,5,LLM,TRICK,-G-Y-,4,4,VOI,CRAWL,GGG--,2.0,2.0,VOI,CRAMP,GGG--,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1270,77.43826612186889,1270,8,99.37007874015748,8.0,3.0,62.5,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
10,BASES,True,3,GUESS,--YYG,4,4,LLM,SALES,YG-GG,2,2,VOI,BASES,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,52,99.07621247113164,52,4,92.3076923076923,4.0,1.0,75.0,,,,,,,,,,0
