game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,AIRED,-----,5,5,CSS,PLOTS,G-GG-,2,2,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,5,LASER,-G--Y,4,4,CSS,BARCA,-GG--,3,3,LLM,DARIO,-GG--,3,3,LLM,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,3,ALINE,--G--,4,4,CSS,CRISP,YGG--,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,TASER,Y---Y,5,5,CSS,FRITZ,-YYG-,4,4,LLM,MIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,HARES,-Y--Y,5,5,CSS,ASCOT,YG---,4,4,LLM,PSALM,-GYY-,4,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,LOADS,Y----,5,5,CSS,BILLY,---GG,3,3,LLM,NEELY,---GG,3,3,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,4,REALS,-Y--Y,5,5,CSS,POISE,Y--YY,5,5,LLM,STEEP,GYG-Y,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,4,BARED,-G-Y-,4,4,CSS,GAUGE,-GG-G,2,2,LLM,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,4,LEADS,--G--,4,4,CSS,XIANG,--G--,4,4,LLM,TRAMP,-GG--,3,3,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,3,LANCE,-G--Y,4,4,CSS,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
