game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,WRBW,2B0W,LLM,105,YRBR,3B0W,VOI,8,BRBR,3B0W,VOI,3,RRBR,3B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,OBGO,0B2W,LLM,222,BOYB,0B2W,VOI,36,GYOY,1B1W,VOI,4,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,OWOB,0B2W,LLM,222,WOWR,0B1W,VOI,38,BYGW,3B0W,VOI,5,BYBW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,OGWG,2B0W,LLM,105,ORWO,1B0W,VOI,26,WYWG,1B2W,VOI,4,BGWW,3B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,BRWG,3B0W,LLM,20,BRWY,2B0W,VOI,12,BOWG,2B1W,VOI,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,GWRB,1B1W,LLM,252,WYRW,0B2W,VOI,39,YWBO,0B2W,VOI,6,RBYB,0B1W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,OGYY,0B1W,LLM,276,RWRO,2B1W,VOI,15,ROWO,1B2W,VOI,3,WBRO,0B3W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,YRYW,0B2W,LLM,222,RYRB,1B1W,VOI,39,GWRR,2B2W,VOI,2,RWGR,1B3W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,OOWW,2B1W,LLM,32,GOOW,1B2W,VOI,5,YOWO,3B0W,VOI,2,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,YOOO,0B1W,LLM,308,RYGB,1B0W,VOI,12,WYWW,2B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,OOWW,1B0W,LLM,256,ORYY,2B0W,VOI,23,OGYG,1B0W,VOI,6,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RWGW,2B1W,LLM,40,WWGG,0B2W,VOI,8,RGBW,3B0W,VOI,3,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,WOWY,0B1W,LLM,276,ORRB,0B2W,VOI,42,GGBO,1B2W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,BBOB,0B0W,LLM,256,RGWG,1B2W,VOI,40,WGRR,0B3W,VOI,5,RWGY,3B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,WYGR,0B2W,LLM,312,GOOY,1B0W,VOI,54,GGBW,1B0W,VOI,8,RORW,0B1W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,YYBW,0B1W,LLM,276,GBGR,1B2W,VOI,27,ROGB,2B0W,VOI,3,RGGY,2B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YRGB,1B0W,LLM,108,BWWB,1B0W,VOI,17,YWOY,1B0W,VOI,2,GWGG,0B0W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
