game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,3,RRGB,1B3W,LLM,4,RBRG,0B4W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,RYOG,1B2W,LLM,132,BYGO,0B3W,CSS,26,GGOY,2B0W,CSS,3,GBOR,0B3W,CSS,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,YYWO,1B2W,LLM,84,YOOW,1B1W,CSS,14,YWBY,0B4W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RYOO,0B1W,LLM,276,GWWR,1B1W,CSS,58,BWYW,1B2W,CSS,4,YWBG,0B4W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RYGW,0B2W,LLM,312,YWBB,0B1W,CSS,58,WOOR,1B1W,CSS,8,GOYO,0B2W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,YYOW,0B2W,LLM,222,BOWO,1B0W,CSS,24,ROYG,0B2W,CSS,4,GWWY,3B0W,CSS,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RYBB,1B0W,LLM,182,ROOG,2B0W,CSS,24,RWRG,2B0W,CSS,3,RORR,1B1W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,3,RWYO,0B2W,LLM,312,GBOR,1B1W,CSS,63,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,2,BOYR,1B1W,LLM,252,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,OYRW,1B1W,LLM,252,RRGW,0B1W,CSS,50,OBWB,0B1W,CSS,8,GYYO,2B0W,CSS,2,BYYR,2B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,ORRR,True,4,RWOO,0B2W,LLM,222,WBYR,1B0W,CSS,12,WOGG,0B1W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,YYRR,0B1W,LLM,256,OOBY,0B1W,CSS,44,WRGB,0B3W,CSS,4,RWOG,2B2W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,GBYY,0B1W,LLM,276,OWOG,2B0W,CSS,28,OWRB,0B2W,CSS,2,RROG,3B0W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,WYOW,1B1W,LLM,230,WBWR,0B3W,CSS,12,BORW,1B1W,CSS,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,BOYO,1B1W,LLM,230,OORW,0B1W,CSS,41,YRYB,1B2W,CSS,6,GBYR,0B3W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,ROBR,0B1W,LLM,276,BYGW,2B0W,CSS,24,OYOW,0B0W,CSS,4,BBGB,3B0W,CSS,2,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,RWYO,0B1W,LLM,152,BBGR,0B1W,CSS,10,WGWG,0B0W,CSS,2,YYBY,0B1W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RWBO,0B3W,LLM,136,YORB,2B0W,CSS,14,WGRB,2B1W,CSS,2,WORG,2B1W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RYBB,1B1W,LLM,230,WBGB,0B1W,CSS,41,RRYW,2B1W,CSS,3,RWYO,2B0W,CSS,1,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RYGW,0B3W,LLM,136,GOWY,2B1W,CSS,11,YOWR,1B1W,CSS,2,BGWY,3B0W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,OYWW,1B1W,LLM,230,WBWG,0B3W,CSS,12,BGOW,1B1W,CSS,4,GWRW,3B0W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,4,RBOR,0B0W,LLM,81,GGGW,0B2W,CSS,7,YWYG,3B0W,CSS,2,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,RYGR,0B3W,LLM,44,GGRY,0B3W,CSS,7,ORYG,3B0W,CSS,3,YRYG,3B0W,CSS,2,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RYRO,0B2W,LLM,222,OOYW,2B0W,CSS,25,GOYY,1B2W,CSS,3,OBYG,3B0W,CSS,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,3,OYOG,1B0W,LLM,182,WYBR,3B0W,CSS,9,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,YYOY,2B0W,LLM,123,YGRY,0B1W,CSS,9,OYOB,2B1W,CSS,2,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,GOBR,1B2W,LLM,132,OGYR,0B2W,CSS,38,WORB,0B2W,CSS,6,GBGO,0B2W,CSS,2,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,RBOG,0B3W,LLM,136,GWRB,3B0W,CSS,5,GRRB,3B0W,CSS,2,GGRB,3B0W,CSS,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RGYB,0B2W,LLM,312,OOBR,1B1W,CSS,52,YYOR,0B2W,CSS,10,OWRG,3B0W,CSS,1,ORRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,3,GGWB,1B1W,LLM,230,GYRG,0B3W,CSS,12,YGBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,3,RYYB,0B2W,LLM,222,OBRR,2B0W,CSS,25,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,5,RYYG,0B2W,LLM,222,GGRO,0B2W,CSS,30,ORBY,1B1W,CSS,5,WRGB,3B0W,CSS,1,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,5,ROOG,0B2W,LLM,222,GBGR,0B2W,CSS,30,ORBY,0B2W,CSS,2,BGWO,1B1W,CSS,1,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,5,RGOY,2B1W,LLM,48,GOOY,1B1W,CSS,15,RYOB,1B1W,CSS,3,WGOR,0B3W,CSS,1,RWGY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,5,RORG,0B1W,LLM,276,OBWB,0B1W,CSS,40,WGGY,0B1W,CSS,4,BYYR,2B0W,CSS,1,YYYO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,ROGW,1B1W,LLM,252,WRBW,0B2W,CSS,40,BORB,0B1W,CSS,4,RYWR,2B2W,CSS,1,RWYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
