game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,BYBG,1B1W,LLM,230,BBRW,0B2W,LLM,34,YRBO,2B0W,LLM,5,YWBY,1B0W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,WBOB,0B1W,LLM,276,GYRW,0B3W,LLM,34,ROGY,2B1W,LLM,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,RRRW,1B0W,LLM,317,ROBO,0B1W,LLM,55,BGWW,2B0W,LLM,8,OWWW,1B0W,CSS,2,BBYW,3B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,
4,BGWY,True,5,ORBB,0B1W,LLM,276,GOOG,0B1W,LLM,49,RWGR,0B2W,LLM,4,YGRY,2B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RRRR,1B0W,LLM,500,WYGR,0B2W,LLM,117,GRBB,1B2W,LLM,14,RGBG,1B2W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,GGGO,2B0W,LLM,123,GRGW,1B2W,LLM,16,GGBR,2B0W,LLM,1,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,GROW,2B1W,LLM,48,GWOG,2B0W,LLM,9,GOOR,1B1W,LLM,2,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,6,RRYR,1B1W,LLM,156,YRBW,0B2W,LLM,31,RYOG,0B2W,LLM,8,BGRR,3B0W,CSS,2,BORR,2B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
9,ROWO,True,6,YGRO,1B1W,LLM,252,ORBO,1B2W,LLM,15,OBRR,0B2W,LLM,6,BOGO,2B0W,CSS,2,ROOO,3B0W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,WYYY,True,4,WRWB,1B0W,LLM,182,OYWG,1B1W,LLM,30,ORGO,0B0W,LLM,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
