game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RYBB,1B1W,LLM,230,OGRB,0B3W,LLM,24,RBGR,1B3W,LLM,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,RGYO,2B1W,LLM,48,OGRO,1B1W,LLM,15,RYBO,2B1W,LLM,1,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,3,RRWB,0B2W,LLM,222,YYBW,2B2W,LLM,4,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RWWB,1B1W,LLM,230,RYGW,0B3W,LLM,35,YWRO,0B2W,LLM,8,WGWY,3B0W,CSS,1,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,OYOR,1B1W,LLM,230,YYWO,0B1W,LLM,46,RGYR,0B2W,LLM,8,ORGB,1B3W,CSS,2,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,3,ROGW,0B2W,LLM,312,WYWG,1B2W,LLM,20,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,6,RWGR,2B0W,LLM,105,YWBR,1B1W,LLM,28,RYRR,1B0W,LLM,9,BOGR,0B2W,CSS,3,RWWO,2B2W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,
8,WGRR,True,4,RWGB,0B3W,LLM,136,BGRR,3B0W,LLM,7,BGRG,2B0W,LLM,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,ROBR,2B0W,LLM,105,RGBG,1B0W,LLM,34,RWYR,1B1W,LLM,4,ROOY,2B1W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,YGGB,0B1W,LLM,276,ROWG,0B1W,LLM,20,OYOY,2B0W,LLM,2,OBOO,0B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RBYY,0B1W,LLM,276,BGOW,0B1W,LLM,13,GRRR,3B0W,LLM,4,GRRG,2B0W,CSS,2,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RGYO,2B1W,LLM,48,RYWO,1B2W,LLM,10,RWYG,1B2W,LLM,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,5,RYRG,2B0W,LLM,105,RBRB,1B0W,LLM,36,RWGG,2B1W,LLM,4,WWRG,1B1W,CSS,1,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RYWG,1B2W,LLM,132,RWGB,3B0W,LLM,4,RWGR,3B0W,LLM,2,RWGO,3B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RYOY,1B1W,LLM,230,OYBG,1B1W,LLM,42,RWYG,0B2W,LLM,7,WYWO,0B1W,CSS,2,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,RYWB,1B0W,LLM,108,GYGO,1B1W,LLM,24,RGGR,2B0W,LLM,2,RGOO,1B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,RYOR,1B0W,LLM,182,WYBW,0B1W,LLM,33,GGWR,0B0W,LLM,7,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,GYGY,1B0W,LLM,256,WYWO,1B1W,LLM,42,BRWY,0B2W,LLM,13,RWGO,1B2W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,3,RYOY,1B1W,LLM,230,YGOO,1B1W,LLM,44,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
