game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,WORLD,-Y---,5,5,LLM,SANTO,---GG,3,3,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,297,94.7237519985788,297,3,98.989898989899,3.0,1.0,66.66666666666666,,,,,,,,,,0
2,PARTY,True,4,EVERY,---YG,4,4,LLM,MORAY,--GYG,3,3,CSS_TRUE,TARDY,YGG-G,2.0,2.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,62,98.89856102327234,62,6,90.32258064516128,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,4,THERE,G--Y-,4,4,LLM,TRAIL,GG-Y-,3,3,CSS_TRUE,TRIPS,GGG--,2.0,2.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,58,98.96962160241604,58,4,93.10344827586206,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,3,THING,Y-Y--,5,5,LLM,RITES,YGY--,4,4,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,98,98.25901581097884,98,2,97.95918367346938,2.0,1.0,50.0,,,,,,,,,,0
5,USUAL,True,4,FIRST,---Y-,5,5,LLM,MALES,-YY-Y,5,5,CSS_TRUE,SCALY,Y-YY-,5.0,3.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,704,87.49333807070528,704,11,98.4375,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,ZENIT,----Y,5,5,LLM,FARTS,--YY-,5,5,CSS_TRUE,MOTOR,--Y-Y,5.0,5.0,CSS_TRUE,TRUDY,GGG-G,1.0,1.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,309,94.51057026114763,309,15,95.14563106796116,15.0,3.0,80.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
7,SPENT,True,2,THERE,Y-G--,4,4,LLM,SPENT,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941175,,,,,,,,,,,,,0
8,PAUSE,True,5,OTHER,---Y-,5,5,LLM,MILNE,----G,4,4,CSS_TRUE,USAGE,YYY-G,4.0,4.0,CSS_TRUE,CAUSE,-GGGG,1.0,1.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,519,90.77988985610232,519,43,91.71483622350677,43.0,4.0,90.69767441860463,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
9,CRAZY,True,3,ROAST,Y-G--,4,4,LLM,CRANE,GGG--,2,2,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,87,98.4544324036241,87,6,93.10344827586206,6.0,1.0,83.33333333333334,,,,,,,,,,0
10,BASES,True,4,YEARS,-YY-G,4,4,LLM,TALES,-G-GG,2,2,CSS_TRUE,CASES,-GGGG,1.0,1.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,81,98.56102327233968,81,45,44.44444444444444,45.0,4.0,91.11111111111111,4.0,1.0,75.0,,,,,,,0
11,YOUNG,True,3,THREE,-----,5,5,LLM,SOUND,-GGG-,2,2,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,1280,77.2606146740096,1280,1,99.921875,1.0,1.0,0.0,,,,,,,,,,0
12,MEANS,True,5,ROUTE,----Y,5,5,LLM,LEANS,-GGGG,1,1,CSS_TRUE,JEANS,-GGGG,1.0,1.0,CSS_TRUE,BEANS,-GGGG,1.0,1.0,CSS_TRUE,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,610,89.16326168058269,610,4,99.34426229508196,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
13,TRUTH,True,3,START,-Y-YY,5,4,LLM,TUTOR,GYY-Y,4,3,CSS_TRUE,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,3,99.9467045656422,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,,,,0
14,FIRED,True,5,THERE,--YY-,5,4,LLM,RACER,Y--G-,4,4,CSS_TRUE,DRIES,YYYG-,4.0,4.0,CSS_TRUE,MIRED,-GGGG,1.0,1.0,CSS_TRUE,FIRED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,327,94.19079765500088,327,33,89.90825688073394,33.0,3.0,90.9090909090909,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
15,FOLKS,True,6,ABOVE,--Y--,5,5,LLM,HORNS,-G--G,3,3,CSS_TRUE,COLDS,-GG-G,2.0,2.0,CSS_TRUE,POLLS,-GG-G,2.0,2.0,CSS_TRUE,SOLOS,-GG-G,2.0,2.0,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,CSS_TRUE,5629,413,92.6629952034109,413,46,88.86198547215496,46.0,7.0,84.78260869565217,7.0,4.0,42.857142857142854,4.0,2.0,50.0,2.0,1.0,50.0,0
16,CHILE,True,5,AROSE,----G,4,4,LLM,LIEGE,YY--G,4,4,CSS_TRUE,KLINE,-YG-G,3.0,3.0,CSS_TRUE,WHILE,-GGGG,1.0,1.0,CSS_TRUE,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,124,97.79712204654469,124,8,93.5483870967742,8.0,2.0,75.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
17,BLACK,True,4,STATE,--G--,4,4,LLM,CLARA,YGG--,3,3,CSS_TRUE,FLACK,-GGGG,1.0,1.0,CSS_TRUE,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,158,97.19310712382308,158,3,98.1012658227848,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
18,GRANT,True,2,ARISE,YG---,4,4,LLM,GRANT,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,55,99.02291703677383,55,1,98.1818181818182,,,,,,,,,,,,,0
19,MEALS,True,5,RIGHT,-----,5,5,LLM,LANES,YY-YG,4,4,CSS_TRUE,SEALS,-GGGG,1.0,1.0,CSS_TRUE,DEALS,-GGGG,1.0,1.0,CSS_TRUE,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1357,75.89269852549299,1357,5,99.63154016212232,5.0,2.0,60.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
20,CREAM,True,5,THESE,--G--,4,4,LLM,OREAL,-GGG-,2,2,CSS_TRUE,BREAD,-GGG-,2.0,2.0,CSS_TRUE,WREAK,-GGG-,2.0,2.0,CSS_TRUE,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,67,98.80973529934268,67,8,88.05970149253731,8.0,3.0,62.5,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
21,AWAKE,True,5,RIGHT,-----,5,5,LLM,SELMA,-Y--Y,5,5,CSS_TRUE,VANCE,-Y--G,4.0,4.0,CSS_TRUE,ABODE,G---G,3.0,3.0,CSS_TRUE,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1357,75.89269852549299,1357,46,96.61016949152544,46.0,5.0,89.13043478260869,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
22,OCCUR,True,3,WHICH,---Y-,5,5,LLM,CARES,Y-Y--,5,5,CSS_TRUE,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,408,92.75182092734056,408,3,99.26470588235294,3.0,1.0,66.66666666666666,,,,,,,,,,0
