game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,4,START,-Y---,5,5,LLM,LEITH,---GY,4,4,CSS,GRAPE,---Y-,5.0,5.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,4,GIVEN,-----,5,5,LLM,SLOTH,---G-,4,4,CSS,MARTA,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,3,SINCE,-Y-G-,4,4,LLM,THICC,G-GG-,2,2,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,3,COULD,----Y,5,5,LLM,DINAR,GG--Y,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,4,HINTS,----Y,5,5,LLM,SPARE,Y-Y--,5,4,CSS,ASUKA,YGG--,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,4,GUESS,-Y---,5,5,LLM,PLUTO,-YGY-,4,4,CSS,WORDS,--Y--,5.0,5.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,5,GUESS,--GY-,4,4,LLM,SWEDE,G-G--,3,3,CSS,SHEAR,G-G--,3.0,3.0,LLM,SPELL,GGG--,2.0,2.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,3,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,False,6,COULD,G----,4,4,LLM,CARTA,GYY--,4,4,CSS,CRASH,GGG--,2.0,2.0,LLM,CRANE,GGG--,2.0,2.0,CSS,CRABB,GGG--,2.0,2.0,LLM,CRAIG,GGG--,2.0,2.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,False,6,COULD,-----,5,5,LLM,SPENT,Y-Y--,5,5,CSS,SNAKE,Y-Y-Y,5.0,4.0,LLM,VERSA,-Y-YY,5.0,5.0,CSS,MAZES,-G-GG,2.0,2.0,LLM,WAGES,-G-GG,2.0,2.0,CSS,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,3,COULD,-GG--,3,3,LLM,MOUSE,-GG--,3,3,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,6,COULD,-----,5,5,LLM,HABER,-Y-Y-,5,5,CSS,SNEAK,YYYY-,5.0,4.0,LLM,JEANS,-GGGG,1.0,1.0,CSS,TREES,--Y-G,4.0,4.0,LLM,MEANS,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,8,0,0,0,0
13,TRUTH,True,2,START,-Y-YY,5,4,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,True,4,COULD,----G,4,4,LLM,SAEED,---GG,3,3,CSS,HIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FOLKS,True,5,COULD,-G-Y-,4,4,LLM,HOTEL,-G--Y,4,4,CSS,LOBBY,YG---,4.0,4.0,LLM,SOLAR,YGG--,3.0,3.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,4,ROSES,---Y-,5,5,LLM,DEITY,-YG--,4,4,CSS,COULD,G--G-,3.0,3.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,4,GUESS,-----,5,5,LLM,TRICK,---GG,3,3,CSS,CLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GRANT,True,3,START,--GYG,3,3,LLM,DRAFT,-GG-G,2,2,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MEALS,True,6,GIVEN,---Y-,5,5,LLM,PAUSE,-Y-YY,5,4,CSS,SEATS,-GG-G,2.0,2.0,LLM,READS,-GG-G,2.0,2.0,CSS,LEAFS,YGG-G,2.0,2.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CREAM,True,4,LARGE,-YY-Y,5,5,LLM,READS,YYY--,5,3,CSS,TREAT,-GGG-,2.0,2.0,LLM,CREAM,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,AWAKE,True,5,GIVEN,---Y-,5,5,LLM,MEDAL,-Y-Y-,5,5,CSS,SHARE,--G-G,3.0,3.0,LLM,QUAKE,--GGG,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,OCCUR,True,4,GUESS,-Y---,5,5,LLM,TRULY,-YY--,5,5,CSS,TROUS,-YYG-,4.0,4.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
23,YEARS,True,3,SMART,Y-GG-,3,3,LLM,REARS,-GGGG,1,1,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GRADE,True,3,START,--GY-,4,4,LLM,GRAZE,GGG-G,1,1,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CHILL,True,3,COULD,G--G-,3,3,LLM,CHILE,GGGG-,1,1,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,FLOOD,True,3,COULD,-Y-YG,4,4,LLM,OILED,Y-Y-G,4,4,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,APPLY,True,4,START,--Y--,5,5,LLM,ALINE,GY---,4,4,CSS,AHOLD,G--G-,3.0,3.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,SMILE,True,4,COULD,---G-,4,4,LLM,APPLY,---G-,4,4,CSS,EMILE,-GGGG,1.0,1.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,KNOCK,True,2,COULD,YY---,5,5,LLM,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SLEEP,True,3,TEARS,-Y--Y,5,5,LLM,SMILE,G--YY,4,4,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
