game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
1,PHOTO,True,3,CRANE,-----,5,5,LLM,FOILS,-Y---,5,5,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,DARIA,-GG--,3,3,CSS,HARTS,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TRICK,True,5,CRANE,YG---,4,4,LLM,BRICS,-GGG-,2,2,CSS,PRICK,-GGGG,1.0,1.0,LLM,FRICK,-GGGG,1.0,1.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,CSS,BIRTH,-GGG-,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,USUAL,True,5,CRANE,--Y--,5,5,LLM,MAILS,-Y-YY,5,5,CSS,SHALE,Y-YY-,5.0,3.0,LLM,TULSA,-YYYY,5.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
6,TRULY,True,5,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,TRUTH,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SPENT,True,4,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,CSS,STENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PAUSE,True,3,CRANE,--Y-G,4,4,LLM,AISLE,Y-Y-G,4,3,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CRAZY,True,5,CRANE,GGG--,2,2,LLM,CRAPS,GGG--,2,2,CSS,CRAWL,GGG--,2.0,2.0,LLM,CRAIG,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BASES,True,5,CRANE,--Y-Y,5,4,LLM,MALES,-G-GG,2,2,CSS,WAVES,-G-GG,2.0,2.0,LLM,GATES,-G-GG,2.0,2.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,STING,---GG,3,3,CSS,HYUNG,-YGGG,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MEANS,True,2,CRANE,--GGY,3,3,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,TRUTH,True,3,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,FIRED,True,5,CRANE,-Y--Y,5,5,LLM,RITES,YG-G-,3,3,CSS,WIRED,-GGGG,1.0,1.0,LLM,MIRED,-GGGG,1.0,1.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FOLKS,True,3,CRANE,-----,5,5,LLM,POLIS,-GG-G,2,2,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,True,3,CRANE,G---G,3,3,LLM,CLOSE,GY--G,3,3,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BLACK,True,3,CRANE,Y-G--,4,4,LLM,SLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GRANT,True,3,CRANE,-GGG-,2,2,LLM,GRAND,GGGG-,1,1,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
