game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,5,JUDAH,----Y,5,5,LLM_RERANK,HOVER,YY---,5,4,LLM_RERANK,CHONG,-GG--,3.0,3.0,LLM_RERANK,SHOOT,-GGYY,3.0,3.0,LLM_RERANK,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,261,95.36329721087226,261,22,91.57088122605364,22.0,8.0,63.63636363636363,8.0,1.0,87.5,1.0,1.0,0.0,,,,0
2,PARTY,True,5,SERVE,--G--,4,4,LLM_RERANK,BURKA,--G-Y,4,4,LLM_RERANK,IMRAN,--GY-,4.0,4.0,LLM_RERANK,TAROT,YGG--,3.0,3.0,LLM_RERANK,PARTY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,194,96.55356191152958,194,62,68.04123711340206,62.0,20.0,67.74193548387096,20.0,3.0,85.0,3.0,1.0,66.66666666666666,,,,0
3,TRICK,True,5,PORES,--Y--,5,5,LLM_RERANK,BRING,-GG--,3,3,LLM_RERANK,DRILL,-GG--,3.0,3.0,LLM_RERANK,FRIAR,-GG--,3.0,3.0,LLM_RERANK,TRICK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,236,95.80742583052051,236,14,94.0677966101695,14.0,7.0,50.0,7.0,2.0,71.42857142857143,2.0,1.0,50.0,,,,0
4,DIRTY,True,5,LIVIA,-G---,4,4,LLM_RERANK,MISES,-G---,4,4,LLM_RERANK,FIGHT,-G--Y,4.0,4.0,LLM_RERANK,KITTY,-G-GG,2.0,2.0,LLM_RERANK,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,314,94.42174453721798,314,83,73.56687898089172,83.0,11.0,86.74698795180723,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,0
5,USUAL,True,5,ROWDY,-----,5,5,LLM_RERANK,SNEAK,Y--G-,4,4,LLM_RERANK,TAPAS,---GY,4.0,4.0,LLM_RERANK,ISLAM,-GYG-,3.0,3.0,LLM_RERANK,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1666,70.40326878664061,1666,18,98.91956782713083,18.0,3.0,83.33333333333334,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
6,TRULY,True,4,AMIGO,-----,5,5,LLM_RERANK,UNCLE,Y--G-,4,4,LLM_RERANK,SKULL,--GG-,3.0,3.0,LLM_RERANK,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,707,87.44004263634748,707,11,98.44413012729844,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,5,FAIRY,-----,5,5,LLM_RERANK,QUELL,--G--,4,4,LLM_RERANK,TWEET,--G-G,3.0,3.0,LLM_RERANK,SCENT,G-GGG,1.0,1.0,LLM_RERANK,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,918,83.69159708651625,918,84,90.84967320261438,84.0,4.0,95.23809523809524,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
8,PAUSE,True,5,GOTTI,-----,5,5,LLM_RERANK,RADAR,-G---,4,4,LLM_RERANK,CASEY,-GYY-,4.0,3.0,LLM_RERANK,FALSE,-G-GG,2.0,2.0,LLM_RERANK,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1652,70.65198081364363,1652,189,88.5593220338983,189.0,6.0,96.82539682539682,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
9,CRAZY,True,5,BONDI,-----,5,5,LLM_RERANK,JERRY,--Y-G,4,4,LLM_RERANK,RASPY,YY--G,4.0,3.0,LLM_RERANK,TRACY,-GGYG,2.0,2.0,LLM_RERANK,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1368,75.69728193284774,1368,8,99.41520467836256,8.0,3.0,62.5,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
10,BASES,False,6,ENTRY,Y----,5,5,LLM_RERANK,LOPEZ,---G-,4,4,LLM_RERANK,AIMEE,Y--G-,4.0,4.0,LLM_RERANK,JADED,-G-G-,3.0,3.0,LLM_RERANK,HAVES,-G-GG,2.0,2.0,LLM_RERANK,SAFES,YG-GG,2.0,2.0,LLM_RERANK,5629,751,86.65837626576656,751,117,84.4207723035952,117.0,45.0,61.53846153846154,45.0,24.0,46.666666666666664,24.0,16.0,33.33333333333333,16.0,3.0,81.25,0
11,YOUNG,True,4,LEVEL,-----,5,5,LLM_RERANK,IDAHO,----Y,5,5,LLM_RERANK,CORNY,-G-GY,3.0,3.0,LLM_RERANK,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,2245,60.11724995558714,2245,235,89.53229398663697,235.0,1.0,99.5744680851064,1.0,1.0,0.0,,,,,,,0
12,MEANS,True,4,KIRAN,---YY,5,4,LLM_RERANK,WANDA,-YY--,5,4,LLM_RERANK,ALONE,Y--GY,4.0,4.0,LLM_RERANK,MEANS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,222,96.05613785752354,222,53,76.12612612612612,53.0,5.0,90.56603773584906,5.0,1.0,80.0,,,,,,,0
13,TRUTH,True,4,GAUZE,--G--,4,4,LLM_RERANK,USURP,--GY-,4,4,LLM_RERANK,TRUCK,GGG--,2.0,2.0,LLM_RERANK,TRUTH,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,118,97.90371291526026,118,13,88.98305084745762,13.0,3.0,76.92307692307693,3.0,1.0,66.66666666666666,,,,,,,0
14,FIRED,True,5,ABDUL,--Y--,5,5,LLM_RERANK,EDITH,YYY--,5,5,LLM_RERANK,WIRED,-GGGG,1.0,1.0,LLM_RERANK,SIRED,-GGGG,1.0,1.0,LLM_RERANK,FIRED,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,275,95.11458518386924,275,33,88.0,33.0,3.0,90.9090909090909,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
