game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RRYB,1B2W,LLM,84,YRBY,2B0W,CSS,14,YRGR,2B1W,CSS,3,YRRW,1B1W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,2,RGBO,3B0W,LLM,20,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RRGB,0B1W,LLM,276,YBOY,0B3W,CSS,12,BOYO,2B0W,CSS,2,GYYO,2B0W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,RRGB,0B2W,LLM,222,BWWG,2B1W,CSS,11,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RRGB,1B2W,LLM,84,RGBG,1B2W,CSS,11,BGRB,1B2W,CSS,3,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RRRR,0B0W,LLM,625,BGGY,2B1W,CSS,30,WGBY,2B1W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RRGB,1B0W,LLM,182,WOOB,1B1W,CSS,38,YOGO,0B1W,CSS,4,BWYB,1B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRGB,0B3W,LLM,44,GWBR,1B2W,CSS,7,BGOR,2B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RROG,1B1W,LLM,230,YRRB,0B1W,CSS,41,BOGG,1B0W,CSS,5,WOOR,1B3W,CSS,1,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,RRBW,0B1W,LLM,276,YBYO,1B1W,CSS,51,YYWG,1B2W,CSS,6,WYGO,2B0W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RROY,1B2W,LLM,84,ORYO,2B0W,CSS,14,ORBR,3B0W,CSS,3,ORGR,3B0W,CSS,2,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RRRR,1B0W,LLM,500,ROGW,2B2W,CSS,6,RWGO,1B3W,CSS,4,WOGR,0B4W,CSS,1,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RRBW,1B0W,LLM,182,WOYW,0B1W,CSS,45,BGBY,1B0W,CSS,3,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RRGB,2B0W,LLM,105,RYBB,1B0W,CSS,27,GOGB,1B0W,CSS,1,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RRGB,1B1W,LLM,230,RYRW,0B2W,CSS,34,ORWG,1B0W,CSS,3,BRYY,3B0W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RRGB,2B0W,LLM,105,GOGB,2B1W,CSS,8,OWGB,2B0W,CSS,2,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,RRGB,1B0W,LLM,182,YOOB,3B0W,CSS,9,YOBB,2B0W,CSS,2,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RRGB,2B0W,LLM,105,GWGB,2B1W,CSS,8,WBGB,3B0W,CSS,2,WYGB,3B0W,CSS,1,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,3,RGBO,2B0W,LLM,96,RGGY,2B1W,CSS,6,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRRG,0B1W,LLM,308,GWOO,0B2W,CSS,57,WGYW,2B2W,CSS,3,YGWW,2B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,5,RRGB,1B0W,LLM,182,OWBB,1B0W,CSS,27,OOGG,1B1W,CSS,5,GWGY,3B0W,CSS,1,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,RRBW,0B1W,LLM,276,OYWY,1B1W,CSS,53,YBGY,1B1W,CSS,8,YGWG,3B0W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,RRRR,1B0W,LLM,500,BOYR,2B1W,CSS,30,WOBR,0B2W,CSS,3,BRYY,3B0W,CSS,2,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RRGB,0B1W,LLM,276,OBYY,2B0W,CSS,28,OBBW,1B0W,CSS,6,OOYR,2B0W,CSS,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,4,RGBO,0B1W,LLM,152,WYYB,3B0W,CSS,7,WBYB,2B0W,CSS,3,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,5,RROW,2B0W,LLM,105,GRWW,1B0W,CSS,27,BOOW,3B0W,CSS,4,YOOW,2B1W,CSS,1,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,3,RRGY,2B1W,LLM,40,RYGG,2B0W,CSS,8,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,6,RRGB,1B2W,LLM,84,BRBG,0B3W,CSS,11,GWRB,3B0W,CSS,3,GORB,3B0W,CSS,2,GGRB,3B0W,CSS,1,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,
29,ORRG,True,4,WWBO,0B1W,LLM,276,OOGR,1B2W,CSS,23,RORG,2B2W,CSS,1,ORRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,6,RROY,0B2W,LLM,222,OYBB,1B1W,CSS,36,GYGO,0B2W,CSS,5,OOYW,0B1W,CSS,2,YGRB,2B2W,CSS,1,YGBR,4B0W,CSS,1,,,,,,,,,,,,,,,,
31,GBWR,True,3,RRGB,0B3W,LLM,44,BGRG,0B3W,CSS,7,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,3,RRGB,3B0W,LLM,20,ROGB,2B1W,CSS,6,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,4,RRGB,0B2W,LLM,222,WGBW,2B0W,CSS,23,GGBY,1B1W,CSS,4,YGRW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
