game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BEAUT,----Y,5,5,LLM,TRISH,Y---Y,5,5,CSS,HOTLY,YYY--,5,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,GLASS,--Y--,5,5,LLM,RAINE,YG---,4,4,CSS,MARTA,-GGG-,2,2,CSS,BARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,4,BRAID,-G-Y-,4,4,LLM,TRIES,GGG--,2,2,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,FLESH,-----,5,5,LLM,MORIA,--GY-,4,4,CSS,KIRBY,-GG-G,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,BRUNO,--G--,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,3,GOUGH,--G--,4,4,LLM,SAULT,--GGY,3,3,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,IMAGE,----Y,5,5,LLM,RESET,-YY-G,4,4,CSS,SPELT,GGG-G,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,UNION,Y----,5,5,LLM,TUBES,-Y-YY,5,4,CSS,SAUCE,YGG-G,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,6,SWANS,--G--,4,4,LLM,CRATE,GGG--,2,2,CSS,CRAMP,GGG--,2,2,CSS,CRACK,GGG--,2,2,CSS,CRAIG,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS
10,BASES,True,6,SHARP,Y-Y--,5,5,LLM,TALES,-G-GG,2,2,CSS,MAGES,-G-GG,2,2,CSS,CAVES,-G-GG,2,2,CSS,WAKES,-G-GG,2,2,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,4,RALPH,-----,5,5,LLM,DUNES,-YY--,5,4,CSS,MOUNT,-GGG-,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,5,SPORT,Y----,5,5,LLM,LANES,-YYYG,4,3,CSS,BEANS,-GGGG,1,1,CSS,JEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,3,CHINA,-Y---,5,5,LLM,HEROS,Y-Y--,5,5,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,4,HOMEY,---G-,4,4,LLM,CARES,--GG-,3,3,CSS,PUREE,--GG-,3,3,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,5,SHEER,Y----,5,5,LLM,BAILS,---YG,4,4,CSS,CLOGS,-YY-G,4,4,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,4,ROYAL,----Y,5,5,LLM,TILES,-YYY-,5,3,CSS,CLIVE,GYG-G,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,4,RADAR,-Y---,5,5,LLM,SHALE,--GY-,4,4,CSS,CLANK,YGG-G,2,2,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,3,HEARD,--GY-,4,4,LLM,TRANS,YGGG-,2,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,STAGE,Y-G-Y,4,4,LLM,REALS,-GGGG,1,1,CSS,HEALS,-GGGG,1,1,CSS,DEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
