game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,MITRA,--Y--,5,5,LLM_RERANK,TOBEY,YY---,5,5,LLM_RERANK,SCOTS,--GG-,3.0,3.0,LLM_RERANK,PHOTO,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,238,95.77189554094866,238,30,87.39495798319328,30.0,2.0,93.33333333333331,2.0,1.0,50.0,,,,,,,0
2,PARTY,True,5,STONE,-Y---,5,5,LLM_RERANK,MATCH,-GY--,4,4,LLM_RERANK,RABAT,YG--Y,4.0,4.0,LLM_RERANK,TARDY,YGG-G,2.0,2.0,LLM_RERANK,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,197,96.5002664771718,197,21,89.34010152284264,21.0,5.0,76.19047619047619,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
3,TRICK,True,4,TERRE,G-Y--,4,4,LLM_RERANK,TRUST,GG---,3,3,LLM_RERANK,TRAIN,GG-Y-,3.0,3.0,LLM_RERANK,TRICK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,49,99.12950790548943,49,18,63.26530612244898,18.0,3.0,83.33333333333334,3.0,1.0,66.66666666666666,,,,,,,0
4,DIRTY,True,3,HOBBY,----G,4,4,LLM_RERANK,PERCY,--G-G,3,3,LLM_RERANK,DIRTY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,329,94.15526736542904,329,14,95.74468085106383,14.0,1.0,92.85714285714286,,,,,,,,,,0
5,USUAL,True,3,SPIKE,Y----,5,5,LLM_RERANK,QUADS,-YY-Y,5,4,LLM_RERANK,USUAL,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,421,92.52087404512346,421,6,98.5748218527316,6.0,1.0,83.33333333333334,,,,,,,,,,0
6,TRULY,True,3,DICED,-----,5,5,LLM_RERANK,TOTAL,G---Y,4,4,LLM_RERANK,TRULY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,1379,75.50186534020253,1379,2,99.85496736765772,2.0,1.0,50.0,,,,,,,,,,0
7,SPENT,True,4,SMELL,G-G--,3,3,LLM_RERANK,SHEER,G-G--,3,3,LLM_RERANK,STEAK,GYG--,3.0,3.0,LLM_RERANK,SPENT,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,54,99.04068218155976,54,17,68.51851851851852,17.0,3.0,82.35294117647058,3.0,1.0,66.66666666666666,,,,,,,0
8,PAUSE,True,4,FIXED,---Y-,5,5,LLM_RERANK,HEAVY,-YY--,5,5,LLM_RERANK,GLEAM,--YY-,5.0,5.0,LLM_RERANK,PAUSE,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,909,83.85148338958962,909,105,88.44884488448845,105.0,28.0,73.33333333333333,28.0,1.0,96.42857142857144,,,,,,,0
9,CRAZY,True,6,GOALS,--G--,4,4,LLM_RERANK,TRADE,-GG--,3,3,LLM_RERANK,CRACK,GGG--,2.0,2.0,LLM_RERANK,CRAMP,GGG--,2.0,2.0,LLM_RERANK,CRABB,GGG--,2.0,2.0,LLM_RERANK,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,5629,155,97.24640255818083,155,16,89.6774193548387,16.0,3.0,81.25,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,0
10,BASES,True,6,DRUID,-----,5,5,LLM_RERANK,GANJA,-G---,4,4,LLM_RERANK,WAVES,-G-GG,2.0,2.0,LLM_RERANK,BAKES,GG-GG,1.0,1.0,LLM_RERANK,BALES,GG-GG,1.0,1.0,LLM_RERANK,BASES,GGGGG,0.0,0.0,LLM_RERANK,5629,1707,69.67489785041748,1707,221,87.05330990041008,221.0,37.0,83.2579185520362,37.0,4.0,89.1891891891892,4.0,3.0,25.0,3.0,1.0,66.66666666666666,0
11,YOUNG,True,4,YOURS,GGG--,2,2,LLM_RERANK,YOUTH,GGG--,2,2,LLM_RERANK,YOULL,GGG--,2.0,2.0,LLM_RERANK,YOUNG,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,4,99.92893942085628,4,3,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,,,,0
12,MEANS,True,6,BERTH,-G---,4,4,LLM_RERANK,NEPAL,YG-Y-,4,4,LLM_RERANK,AEGON,YG--Y,4.0,4.0,LLM_RERANK,KENYA,-GY-Y,4.0,4.0,LLM_RERANK,JEANS,-GGGG,1.0,1.0,LLM_RERANK,MEANS,GGGGG,0.0,0.0,LLM_RERANK,5629,251,95.54094865873157,251,13,94.82071713147413,13.0,11.0,15.384615384615383,11.0,4.0,63.63636363636363,4.0,2.0,50.0,2.0,1.0,50.0,0
13,TRUTH,True,5,SWISS,-----,5,5,LLM_RERANK,AVERT,---YY,5,5,LLM_RERANK,TRUMP,GGG--,2.0,2.0,LLM_RERANK,TRUNK,GGG--,2.0,2.0,LLM_RERANK,TRUTH,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,2229,60.40149227216202,2229,28,98.7438313144908,28.0,5.0,82.14285714285714,5.0,3.0,40.0,3.0,1.0,66.66666666666666,,,,0
14,FIRED,True,5,SAVVY,-----,5,5,LLM_RERANK,MIGHT,-G---,4,4,LLM_RERANK,LINER,-G-GY,3.0,3.0,LLM_RERANK,WIRED,-GGGG,1.0,1.0,LLM_RERANK,FIRED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1326,76.44341801385681,1326,82,93.815987933635,82.0,2.0,97.5609756097561,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
15,FOLKS,True,4,CORSA,-G-Y-,4,4,LLM_RERANK,BOOTS,-G--G,3,3,LLM_RERANK,POKES,-GY-G,3.0,3.0,LLM_RERANK,FOLKS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,161,97.13981168946528,161,63,60.86956521739131,63.0,3.0,95.23809523809524,3.0,1.0,66.66666666666666,,,,,,,0
16,CHILE,True,4,TRUTH,----Y,5,5,LLM_RERANK,PHASE,-G--G,3,3,LLM_RERANK,CHLOE,GGY-G,2.0,2.0,LLM_RERANK,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,337,94.0131462071416,337,8,97.62611275964392,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,5,SALTS,-YY--,5,5,LLM_RERANK,LYNDA,Y---Y,5,5,LLM_RERANK,BLAME,GGG--,2.0,2.0,LLM_RERANK,BLAIR,GGG--,2.0,2.0,LLM_RERANK,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,204,96.37591046367028,204,78,61.76470588235294,78.0,2.0,97.43589743589745,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
18,GRANT,True,4,SANAA,-YY--,5,4,LLM_RERANK,TRAIN,YGG-Y,3,3,LLM_RERANK,BRANT,-GGGG,1.0,1.0,LLM_RERANK,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,123,97.8148871913306,123,2,98.3739837398374,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
19,MEALS,True,6,LOIRE,Y---Y,5,5,LLM_RERANK,WELLS,-G-GG,2,2,LLM_RERANK,SEALS,-GGGG,1.0,1.0,CSS_TRUE,DEALS,-GGGG,1.0,1.0,LLM_RERANK,HEALS,-GGGG,1.0,1.0,LLM_RERANK,MEALS,GGGGG,0.0,0.0,CSS_TRUE,5629,179,96.82003908331852,179,7,96.08938547486034,7.0,3.0,57.14285714285714,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,0
20,CREAM,True,5,SEINE,-Y---,5,5,LLM_RERANK,ALERT,Y-GY-,4,4,LLM_RERANK,DREAD,-GGG-,2.0,2.0,LLM_RERANK,BREAK,-GGG-,2.0,2.0,LLM_RERANK,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,367,93.48019186356368,367,10,97.27520435967304,10.0,5.0,50.0,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
21,AWAKE,True,4,PATCH,-Y---,5,5,LLM_RERANK,MONZA,----Y,5,5,LLM_RERANK,ALIKE,G--GG,2.0,2.0,LLM_RERANK,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,715,87.29792147806005,715,231,67.6923076923077,231.0,1.0,99.56709956709958,1.0,1.0,0.0,,,,,,,0
22,OCCUR,True,4,TITHE,-----,5,5,LLM_RERANK,LUCAN,-YG--,4,4,LLM_RERANK,POCUS,-YGG-,3.0,3.0,LLM_RERANK,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1252,77.75803872801563,1252,3,99.76038338658148,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
23,YEARS,True,3,TAMER,-Y-YY,5,5,LLM_RERANK,AYERS,YYYGG,3,2,LLM_RERANK,YEARS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,88,98.43666725883816,88,1,98.86363636363636,1.0,1.0,0.0,,,,,,,,,,0
