game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,PEDAL,G----,4,4,LLM_RERANK,PITTS,G--G-,3,3,LLM_RERANK,PROTO,G-GGG,1.0,1.0,LLM_RERANK,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,76,98.64984899626933,76,3,96.05263157894736,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,4,GROWS,-Y---,5,5,LLM_RERANK,AKIRA,Y--Y-,5,5,LLM_RERANK,PACER,GG--Y,3.0,3.0,LLM_RERANK,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,562,90.01598863030735,562,109,80.6049822064057,109.0,1.0,99.08256880733946,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,5,SHOCK,---GG,3,3,LLM_RERANK,FLACK,---GG,3,3,LLM_RERANK,QUICK,--GGG,2.0,2.0,LLM_RERANK,BRICK,-GGGG,1.0,1.0,LLM_RERANK,TRICK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,25,99.55587138035176,25,11,56.00000000000001,11.0,6.0,45.45454545454545,6.0,4.0,33.33333333333333,4.0,1.0,75.0,,,,0
4,DIRTY,True,6,VIDAL,-GY--,4,4,LLM_RERANK,WINDY,-G-YG,3,3,LLM_RERANK,DICKY,GG--G,2.0,2.0,LLM_RERANK,DIGBY,GG--G,2.0,2.0,LLM_RERANK,DITTY,GG-GG,1.0,1.0,LLM_RERANK,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,5629,66,98.82750044412862,66,6,90.9090909090909,6.0,4.0,33.33333333333333,4.0,3.0,25.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,0
5,USUAL,True,3,CLUES,-YG-Y,4,4,LLM_RERANK,SKULL,Y-G-G,3,3,LLM_RERANK,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,4,99.92893942085628,4,1,75.0,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,6,STATE,-Y---,5,5,LLM_RERANK,THROW,G-Y--,4,4,LLM_RERANK,TRIPP,GG---,3.0,3.0,LLM_RERANK,TRUNK,GGG--,2.0,2.0,LLM_RERANK,TRUDY,GGG-G,1.0,1.0,LLM_RERANK,TRULY,GGGGG,0.0,0.0,CSS_TRUE,5629,146,97.40628886125424,146,9,93.83561643835615,9.0,4.0,55.55555555555556,4.0,2.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,0
7,SPENT,True,5,TROLL,Y----,5,5,LLM_RERANK,CATCH,--Y--,5,5,LLM_RERANK,STUDY,GY---,4.0,4.0,LLM_RERANK,SWEET,G-G-G,2.0,2.0,LLM_RERANK,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,418,92.57416947948126,418,113,72.96650717703349,113.0,9.0,92.03539823008848,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,0
8,PAUSE,True,3,APNEA,YY-Y-,5,4,LLM_RERANK,PARKE,GG--G,2,2,LLM_RERANK,PAUSE,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,38,99.32492449813466,38,4,89.47368421052632,4.0,1.0,75.0,,,,,,,,,,0
9,CRAZY,True,6,RUNES,Y----,5,5,LLM_RERANK,WRATH,-GG--,3,3,LLM_RERANK,PRAIA,-GG--,3.0,3.0,LLM_RERANK,BRADY,-GG-G,2.0,2.0,LLM_RERANK,GRAVY,-GG-G,2.0,2.0,LLM_RERANK,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,5629,364,93.53348729792148,364,23,93.68131868131869,23.0,11.0,52.17391304347826,11.0,2.0,81.81818181818183,2.0,1.0,50.0,1.0,1.0,0.0,0
10,BASES,True,6,AYALA,Y----,5,5,LLM_RERANK,FABIO,-GY--,4,4,LLM_RERANK,BATHE,GG--Y,3.0,3.0,LLM_RERANK,BADEN,GG-G-,2.0,2.0,LLM_RERANK,BAKER,GG-G-,2.0,2.0,LLM_RERANK,BASES,GGGGG,0.0,0.0,CSS_TRUE,5629,738,86.88932314798366,738,28,96.2059620596206,28.0,9.0,67.85714285714286,9.0,4.0,55.55555555555556,4.0,1.0,75.0,1.0,1.0,0.0,0
11,YOUNG,True,4,KEITH,-----,5,5,LLM_RERANK,FOCUS,-G-Y-,4,4,LLM_RERANK,BOUND,-GGG-,2.0,2.0,LLM_RERANK,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1076,80.88470421033931,1076,12,98.88475836431226,12.0,1.0,91.66666666666666,1.0,1.0,0.0,,,,,,,0
12,MEANS,True,5,SLEET,Y-Y--,5,5,LLM_RERANK,CHOSE,---YY,5,5,LLM_RERANK,PEARS,-GG-G,2.0,2.0,LLM_RERANK,BEADS,-GG-G,2.0,2.0,CSS_TRUE,MEANS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,135,97.60170545389944,135,56,58.51851851851851,56.0,7.0,87.5,7.0,2.0,71.42857142857143,2.0,1.0,50.0,,,,0
13,TRUTH,True,3,GOTTA,--YG-,4,4,LLM_RERANK,TEETH,G--GG,2,2,LLM_RERANK,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,1,92.3076923076923,1.0,1.0,0.0,,,,,,,,,,0
