game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,AFTER,--Y--,5,5,LLM,GUESS,-----,5,5,LLM,THICK,YG---,4,4,LLM,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,COULD,-----,5,5,LLM,BRAVE,-YY--,5,5,LLM,GUESS,-----,5,5,LLM,MARTA,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,6,USING,--G--,4,4,LLM,THIRD,G-GY-,3,3,LLM,TRITE,GGG--,2,2,LLM,TRIAL,GGG--,2,2,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS
4,DIRTY,True,4,AFTER,--Y-Y,5,5,LLM,SHIRT,--YYY,5,3,LLM,TURIN,Y-GY-,4,4,LLM,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,GUESS,-Y-Y-,5,5,LLM,SCOUR,Y--Y-,5,5,LLM,USMAN,GG-G-,2,2,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,AFTER,--Y-Y,5,5,LLM,TRUST,GGG--,2,2,LLM,TRUNK,GGG--,2,2,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,5,BASED,--YY-,5,5,LLM,GREYS,--G-Y,4,4,LLM,STEIN,GYG-Y,3,3,LLM,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,
8,PAUSE,True,3,THERE,----G,4,4,LLM,LUMPS,-Y-YY,5,5,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,GUESS,-----,5,5,LLM,WHICH,---Y-,5,5,LLM,CAMPO,GY---,4,4,LLM,CLARY,G-GYG,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,4,GUESS,--YYG,4,4,LLM,COULD,-----,5,5,LLM,SIZES,Y--GG,3,3,LLM,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,3,GUESS,YY---,5,5,LLM,ROUGH,-GGY-,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,4,OFTEN,---YY,5,5,LLM,GREAT,--YY-,5,4,LLM,BASED,-YYY-,5,5,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,CRANE,-G---,4,4,LLM,PROPS,-G---,4,4,LLM,TRILL,GG---,3,3,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,False,6,GIVEN,-G-G-,3,3,LLM,BASED,---GG,3,3,LLM,MIXED,-G-GG,2,2,LLM,RILED,YG-GG,2,2,CSS,WIRED,-GGGG,1,1,CSS,TIRED,-GGGG,1,1,CSS
15,FOLKS,True,5,BASED,--Y--,5,5,LLM,GUESS,----G,4,4,LLM,DANCE,-----,5,5,LLM,PLOTS,-YY-G,4,4,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,4,CRANE,G---G,3,3,LLM,CHOSE,GG--G,2,2,LLM,CHIME,GGG-G,1,1,LLM,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,4,GUESS,-----,5,5,LLM,WHICH,---G-,4,4,LLM,TRACK,--GGG,2,2,LLM,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,4,GUESS,G----,4,4,LLM,GLOAT,G--YG,3,3,LLM,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,6,WORDS,----G,4,4,LLM,GUESS,--Y-G,4,4,LLM,FUROR,-----,5,5,LLM,TALES,-YYYG,4,3,CSS,LEAPS,YGG-G,2,2,CSS,MEALS,GGGGG,0,0,CSS
20,CREAM,True,4,TRAIN,-GY--,4,4,LLM,ARMED,YGYY-,4,4,LLM,GUESS,--G--,4,4,LLM,CREAM,GGGGG,0,0,CSS,,,,,,,,,,
21,AWAKE,True,4,GUESS,--Y--,5,5,LLM,WORDS,Y----,5,5,LLM,HAWKE,-YYGG,3,2,LLM,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,GUESS,-Y---,5,5,LLM,WOULD,-YY--,5,5,LLM,OPIUM,G--G-,3,3,LLM,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,GUESS,--Y-G,4,4,LLM,COULD,-----,5,5,LLM,FLOAT,---Y-,5,5,LLM,MARES,-YYYG,4,3,CSS,WEARS,-GGGG,1,1,CSS,NEARS,-GGGG,1,1,CSS
24,GRADE,True,6,LEMON,-Y---,5,5,LLM,GUESS,G-Y--,4,4,LLM,GRIEF,GG-Y-,3,3,LLM,GRAPE,GGG-G,1,1,CSS,GRACE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,CSS
25,CHILL,True,5,GUESS,-----,5,5,LLM,BLANK,-Y---,5,5,LLM,MILLY,-YYG-,4,3,LLM,TRILL,--GGG,2,2,CSS,CHILL,GGGGG,0,0,CSS,,,,,
26,FLOOD,True,4,CHOSE,--G--,4,4,LLM,GIVEN,-----,5,5,LLM,FLOOR,GGGG-,1,1,LLM,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
27,APPLY,False,6,CHASE,--Y--,5,5,LLM,LETCH,Y----,5,5,LLM,TREAT,---Y-,5,5,LLM,DALIA,-YY--,5,5,CSS,AFOUL,G---Y,4,4,CSS,AMPLY,G-GGG,1,1,CSS
28,SMILE,True,4,LYRIC,Y--Y-,5,5,LLM,WHILE,--GGG,2,2,LLM,GUESS,--YY-,5,5,LLM,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,5,BASED,-----,5,5,LLM,WHICH,---G-,4,4,LLM,PLUCK,---GG,3,3,LLM,FROCK,--GGG,2,2,CSS,KNOCK,GGGGG,0,0,CSS,,,,,
30,SLEEP,True,3,GUESS,--GY-,4,4,LLM,STEAL,G-G-Y,3,3,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
31,BRICK,True,3,BASED,G----,4,4,LLM,BURGH,G-Y--,4,4,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
32,WROTE,True,6,GUESS,--Y--,5,5,LLM,CRANE,-G--G,3,3,LLM,PROBE,-GG-G,2,2,LLM,DROVE,-GG-G,2,2,CSS,FROZE,-GG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS
33,RATED,True,5,GUESS,--Y--,5,5,LLM,BASED,-G-GG,2,2,LLM,CARED,-GYGG,2,2,LLM,RAPED,GG-GG,1,1,CSS,RATED,GGGGG,0,0,CSS,,,,,
34,ALERT,True,5,GUESS,--G--,4,4,LLM,COULD,---Y-,5,5,LLM,BLEEP,-GG--,3,3,LLM,ALEXA,GGG--,2,2,CSS,ALERT,GGGGG,0,0,CSS,,,,,
35,CAGES,True,6,GUESS,Y-Y-G,4,4,LLM,FIRST,---Y-,5,5,LLM,LEGOS,-YG-G,3,3,LLM,WAGES,-GGGG,1,1,CSS,MAGES,-GGGG,1,1,CSS,CAGES,GGGGG,0,0,CSS
36,TEDDY,True,5,AFTER,--YY-,5,5,LLM,GUESS,--Y--,5,5,LLM,THEME,G-Y--,4,4,LLM,TELLY,GG--G,2,2,CSS,TEDDY,GGGGG,0,0,CSS,,,,,
37,COLES,True,6,LARGE,Y---Y,5,5,LLM,USING,-Y---,5,5,LLM,BASED,--YG-,4,4,LLM,SLEEP,YY-G-,4,4,CSS,MYLES,--GGG,2,2,CSS,COLES,GGGGG,0,0,CSS
38,HWANG,True,5,GUESS,Y----,5,5,LLM,LYRIC,-----,5,5,LLM,MANGO,-YYY-,5,3,LLM,THANG,-YGGG,2,2,CSS,HWANG,GGGGG,0,0,CSS,,,,,
39,WRATH,True,5,ARISE,YG---,4,4,LLM,CRACK,-GG--,3,3,LLM,GUESS,-----,5,5,LLM,DRAWN,-GGY-,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,
40,MACHO,True,5,BASED,-G---,4,4,LLM,GUESS,-----,5,5,LLM,WORDS,-Y---,5,5,LLM,NACHO,-GGGG,1,1,CSS,MACHO,GGGGG,0,0,CSS,,,,,
41,LOPEZ,True,3,CHOSE,--Y-Y,5,4,LLM,SLOPE,-YYYY,5,2,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
42,GOODY,True,4,GUESS,G----,4,4,LLM,GLAND,G---Y,4,4,LLM,GODDY,GG-GG,1,1,LLM,GOODY,GGGGG,0,0,CSS,,,,,,,,,,
43,BROTH,True,4,GUESS,-----,5,5,LLM,WHICH,----G,4,4,LLM,TORAH,YYY-G,4,4,LLM,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
