game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,BASED,-----,5,5,LLM,CONTI,-Y-G-,4,4,CSS_TRUE_REPAIR,FROTH,--GGY,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,547,90.28246580209628,547,6,98.90310786106032,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,4,BASED,-G---,4,4,LLM,TAMAR,YG--Y,4,4,CSS_TRUE_REPAIR,GARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,318,94.35068395807426,318,5,98.42767295597484,5.0,2.0,60.0,2.0,1.0,50.0,,,,,,,0
3,TRICK,True,5,BASED,-----,5,5,LLM,MOURN,---Y-,5,5,CSS_TRUE_REPAIR,FRITZ,-GGY-,3.0,3.0,LLM,TRILL,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,547,90.28246580209628,547,23,95.79524680073126,23.0,3.0,86.95652173913044,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,False,6,BASED,----Y,5,5,LLM,DOING,G-Y--,4,4,CSS_TRUE_REPAIR,DICKY,GG--G,2.0,2.0,LLM,DIMLY,GG--G,2.0,2.0,CSS_TRUE_REPAIR,DIDDY,GG--G,2.0,2.0,LLM,DIZZY,GG--G,2.0,2.0,LLM,5629,102,98.18795523183516,102,8,92.15686274509804,8.0,6.0,25.0,6.0,4.0,33.33333333333333,4.0,3.0,25.0,3.0,2.0,33.33333333333333,0
5,USUAL,True,4,CREEP,-----,5,5,LLM,SANDI,YY---,5,5,CSS_TRUE_REPAIR,ASLAM,-GYG-,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1484,73.63652513767988,1484,47,96.83288409703503,47.0,1.0,97.87234042553192,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,3,HEALS,---G-,4,4,CSS_TRUE_REPAIR,BULLY,-Y-GG,3,3,LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,,,,,,5629,58,98.96962160241604,58,1,98.27586206896552,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,5,SCARE,G---Y,4,4,CSS_TRUE_REPAIR,STEED,GYG--,3,3,CSS_TRUE_REPAIR,SWEPT,G-GYG,2.0,2.0,LLM,SPELT,GGG-G,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,73,98.7031444306271,73,5,93.15068493150685,5.0,2.0,60.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
8,PAUSE,True,4,GUESS,-YYG-,4,4,LLM,AMUSE,Y-GGG,2,2,LLM,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,,,,,,5629,11,99.80458340735476,11,2,81.81818181818183,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,5,PALER,-Y--Y,5,5,CSS_TRUE_REPAIR,BRAND,-GG--,3,3,LLM,GRASS,-GG--,3.0,3.0,LLM,TRACK,-GGY-,3.0,3.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE_REPAIR,,,,,,5629,218,96.12719843666726,218,25,88.53211009174312,25.0,11.0,56.00000000000001,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,0
10,BASES,True,6,SLOAN,Y--Y-,5,5,CSS_TRUE_REPAIR,TASER,-GGG-,2,2,CSS_TRUE_REPAIR,EASES,-GGGG,1.0,1.0,LLM,CASES,-GGGG,1.0,1.0,LLM,VASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,LLM,5629,293,94.79481257772252,293,10,96.58703071672356,10.0,4.0,60.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
11,YOUNG,True,3,SALES,-----,5,5,CSS_TRUE_REPAIR,IRONY,--YGY,4,4,CSS_TRUE_REPAIR,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,597,89.39420856279978,597,1,99.83249581239532,1.0,1.0,0.0,,,,,,,,,,0
