strategy,game_number,target_word,tier,won,attempts,total_reward,guess_1,feedback_1,hamming_1,levenshtein_1,guess_2,feedback_2,hamming_2,levenshtein_2,guess_3,feedback_3,hamming_3,levenshtein_3,guess_4,feedback_4,hamming_4,levenshtein_4,guess_5,feedback_5,hamming_5,levenshtein_5,guess_6,feedback_6,hamming_6,levenshtein_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
pure_random,1,PHOTO,1,False,7,-10.0,YUKON,---Y-,5,5,THUMP,YG--Y,4,4,THUNK,YG---,4.0,4.0,DEMOS,---Y-,5.0,5.0,DEBRA,-----,5.0,5.0,HANDS,Y----,5.0,5.0,5629,703,87.5111032154912,703,1,99.85775248933145,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,2,PARTY,1,False,7,-10.0,ALARM,Y--Y-,5,4,LIEGE,-----,5,5,LOTTO,---G-,4.0,4.0,DOMED,-----,5.0,5.0,SCOTT,---G-,4.0,4.0,QUINT,----Y,5.0,5.0,5629,274,95.13235032865518,274,94,65.69343065693431,94,11,88.29787234042553,11,9,18.181818181818183,9,2,77.77777777777779,2,2,0.0
pure_random,3,TRICK,1,False,7,-10.0,FILES,-Y---,5,5,DARES,--Y--,5,5,MOPED,-----,5.0,5.0,RAINY,Y-G--,4.0,4.0,PAGAN,-----,5.0,5.0,WYLIE,---Y-,5.0,5.0,5629,300,94.670456564221,300,39,87.0,39,15,61.53846153846154,15,5,66.66666666666666,5,5,0.0,5,5,0.0
pure_random,4,DIRTY,1,False,7,-10.0,KNEES,-----,5,5,ELISE,--Y--,5,5,LOVED,----Y,5.0,5.0,WAGER,----Y,5.0,5.0,ROSSO,Y----,5.0,5.0,FANGS,-----,5.0,5.0,5629,1098,80.49387102504886,1098,194,82.33151183970855,194,23,88.14432989690721,23,2,91.30434782608695,2,2,0.0,2,2,0.0
pure_random,5,USUAL,1,False,7,-10.0,DUCKY,-Y---,5,5,DOWRY,-----,5,5,DIXIE,-----,5.0,5.0,FORCE,-----,5.0,5.0,ANOVA,Y----,5.0,5.0,SIRED,Y----,5.0,5.0,5629,287,94.9014034464381,287,132,54.00696864111498,132,68,48.484848484848484,68,59,13.23529411764706,59,13,77.96610169491525,13,7,46.15384615384615
pure_random,6,TRULY,1,False,7,-10.0,LOSES,Y----,5,5,PRONE,-G---,4,4,RUBEN,YY---,5.0,4.0,ZAPPA,-----,5.0,5.0,STICK,-Y---,5.0,5.0,HUBER,-Y--Y,5.0,5.0,5629,264,95.31000177651447,264,13,95.07575757575758,13,1,92.3076923076923,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,7,SPENT,1,False,7,-10.0,SHOWN,G---Y,4,4,UNFIT,-Y--G,4,4,TULLY,Y----,5.0,5.0,PROBS,Y---Y,5.0,5.0,CARBS,----Y,5.0,5.0,AMARA,-----,5.0,5.0,5629,73,98.7031444306271,73,5,93.15068493150685,5,4,20.0,4,1,75.0,1,1,0.0,1,1,0.0
pure_random,8,PAUSE,1,False,7,-10.0,IRFAN,---Y-,5,5,LEASE,--YGG,3,3,REVEL,-Y---,5.0,5.0,HAYDN,-G---,4.0,4.0,FOILS,----Y,5.0,5.0,CURVE,-Y--G,4.0,4.0,5629,739,86.87155800319772,739,5,99.3234100135318,5,5,0.0,5,3,40.0,3,3,0.0,3,1,66.66666666666666
pure_random,9,CRAZY,1,False,7,-10.0,ROWAN,Y--Y-,5,5,DOVER,----Y,5,5,TAUNT,-Y---,5.0,5.0,WASHY,-Y--G,4.0,4.0,MATED,-Y---,5.0,5.0,PHONE,-----,5.0,5.0,5629,404,92.82288150648428,404,172,57.42574257425742,172,56,67.44186046511628,56,2,96.42857142857143,2,2,0.0,2,2,0.0
pure_random,10,BASES,1,False,7,-10.0,GLEBE,--YY-,5,5,ESSEX,-YGG-,3,3,SALAS,YG--G,3.0,3.0,BOYCE,G---Y,4.0,4.0,FARAH,-G---,4.0,4.0,VERSA,-Y-YY,5.0,5.0,5629,111,98.02806892876177,111,2,98.1981981981982,2,1,50.0,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,11,YOUNG,1,False,7,-10.0,LORRY,-G--Y,4,4,HEADS,-----,5,5,SOCHI,-G---,4.0,4.0,SPREE,-----,5.0,5.0,MAHAN,----Y,5.0,5.0,NUDES,YY---,5.0,5.0,5629,16,99.71575768342512,16,2,87.5,2,2,0.0,2,2,0.0,2,1,50.0,1,1,0.0
pure_random,12,MEANS,1,False,7,-10.0,PLANT,--GG-,3,3,SONJA,Y-Y-Y,5,5,LUPIN,----Y,5.0,5.0,SNIFF,YY---,5.0,5.0,SHACK,Y-G--,4.0,4.0,DAWES,-Y-YG,4.0,4.0,5629,50,99.1117427607035,50,6,88.0,6,6,0.0,6,5,16.666666666666664,5,4,20.0,4,3,25.0
pure_random,13,TRUTH,1,False,7,-10.0,LAUGH,--G-G,3,3,ROHAN,Y-Y--,5,5,MOTHS,--YY-,5.0,4.0,FEDEX,-----,5.0,5.0,CHINO,-Y---,5.0,5.0,MOPED,-----,5.0,5.0,5629,11,99.80458340735477,11,3,72.72727272727273,3,1,66.66666666666666,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,14,FIRED,1,False,7,-10.0,PASTS,-----,5,5,SHARD,---YG,4,4,EDEMA,YY---,5.0,5.0,RUGBY,Y----,5.0,5.0,POPPY,-----,5.0,5.0,AGATE,----Y,5.0,5.0,5629,1237,78.02451589980458,1237,31,97.49393694421988,31,14,54.83870967741935,14,6,57.14285714285714,6,6,0.0,6,6,0.0
pure_random,15,FOLKS,1,False,7,-10.0,COATS,-G--G,3,3,JUDGE,-----,5,5,SAYIN,Y----,5.0,5.0,SPARK,Y---Y,5.0,5.0,LOOSE,YG-Y-,4.0,4.0,HEALY,---Y-,5.0,5.0,5629,139,97.53064487475574,139,45,67.62589928057554,45,28,37.77777777777778,28,4,85.71428571428571,4,1,75.0,1,1,0.0
pure_random,16,CHILE,1,False,7,-10.0,GARDE,----G,4,4,CRATE,G---G,3,3,BAYOU,-----,5.0,5.0,BOATS,-----,5.0,5.0,KEEFE,----G,4.0,4.0,PETRO,-Y---,5.0,5.0,5629,208,96.30484988452656,208,17,91.82692307692307,17,5,70.58823529411765,5,5,0.0,5,4,20.0,4,4,0.0
pure_random,17,BLACK,1,False,7,-10.0,NAGEL,-Y--Y,5,5,MAHAL,-Y--Y,5,5,DROWN,-----,5.0,5.0,FOURS,-----,5.0,5.0,LEONA,Y---Y,5.0,5.0,DAILY,-Y-Y-,5.0,5.0,5629,144,97.44181915082608,144,80,44.44444444444444,80,43,46.25,43,12,72.09302325581395,12,8,33.33333333333333,8,4,50.0
pure_random,18,GRANT,1,False,7,-10.0,CRÈME,-G---,4,4,NICOL,Y----,5,5,KELLY,-----,5.0,5.0,PESKY,-----,5.0,5.0,VERSO,--Y--,5.0,5.0,GODOT,G---G,3.0,3.0,5629,213,96.21602416059692,213,24,88.73239436619718,24,16,33.33333333333333,16,13,18.75,13,12,7.6923076923076925,12,2,83.33333333333334
pure_random,19,MEALS,1,False,7,-10.0,KNOPF,-----,5,5,DELLE,-G-G-,3,3,BILAL,--YY-,5.0,4.0,ANION,Y----,5.0,5.0,QUINT,-----,5.0,5.0,ZEBRA,-G--Y,4.0,4.0,5629,1989,64.66512702078522,1989,9,99.5475113122172,9,8,11.11111111111111,8,8,0.0,8,7,12.5,7,4,42.857142857142854
pure_random,20,CREAM,1,False,7,-10.0,SUMMA,--Y-Y,5,5,JODIE,----Y,5,5,FACES,-YYY-,5.0,5.0,NILLY,-----,5.0,5.0,PRIVY,-G---,4.0,4.0,LOVER,---YY,5.0,5.0,5629,130,97.6905311778291,130,20,84.61538461538461,20,1,95.0,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,21,AWAKE,1,False,7,-10.0,MODUS,-----,5,5,MODEL,---Y-,5,5,NEEDY,-Y---,5.0,5.0,MAXED,-Y-Y-,5.0,4.0,DIGBY,-----,5.0,5.0,BAIRD,-Y---,5.0,5.0,5629,1255,77.70474329365784,1255,326,74.02390438247012,326,72,77.91411042944786,72,26,63.888888888888886,26,6,76.92307692307693,6,1,83.33333333333334
pure_random,22,OCCUR,1,False,7,-10.0,SCOFF,-GY--,4,4,GRIME,-Y---,5,5,BOING,-Y---,5.0,5.0,DUFFY,-Y---,5.0,5.0,LOOMS,-Y---,5.0,5.0,BOSCO,-Y-Y-,5.0,4.0,5629,8,99.85787884171256,8,2,75.0,2,2,0.0,2,1,50.0,1,1,0.0,1,1,0.0
pure_random,23,YEARS,1,False,7,-10.0,NITTY,----Y,5,5,LOSES,---YG,4,4,DEBIT,-G---,4.0,4.0,SOLID,Y----,5.0,5.0,LAVAL,-Y---,5.0,5.0,WALID,-Y---,5.0,5.0,5629,116,97.93924320483211,116,6,94.82758620689656,6,1,83.33333333333334,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,24,GRADE,1,False,7,-10.0,JOHAN,---Y-,5,5,LANCE,-Y--G,4,4,RIGGS,Y-Y--,5.0,5.0,LEGER,-YY-Y,5.0,5.0,LUPUS,-----,5.0,5.0,MARKO,-YY--,5.0,5.0,5629,1089,80.65375732812223,1089,56,94.8576675849403,56,6,89.28571428571429,6,5,16.666666666666664,5,4,20.0,4,4,0.0
pure_random,25,CHILL,1,False,7,-10.0,CLARE,GY---,4,4,RAPID,---Y-,5,5,ANDRE,-----,5.0,5.0,SWORN,-----,5.0,5.0,STUNG,-----,5.0,5.0,DELIA,--YY-,5.0,5.0,5629,14,99.75128797299698,14,3,78.57142857142857,3,3,0.0,3,2,33.33333333333333,2,2,0.0,2,2,0.0
pure_random,26,FLOOD,1,False,7,-10.0,CUBAN,-----,5,5,DELFT,Y-YY-,5,5,PINGS,-----,5.0,5.0,DARKO,Y---Y,5.0,5.0,CASTS,-----,5.0,5.0,MASTS,-----,5.0,5.0,5629,1293,77.0296677917925,1293,2,99.84532095901005,2,2,0.0,2,2,0.0,2,2,0.0,2,2,0.0
pure_random,27,APPLY,1,False,7,-10.0,DECAY,---YG,4,4,CIGAR,---Y-,5,5,FOOTY,----G,4.0,4.0,TUDOR,-----,5.0,5.0,KNIFE,-----,5.0,5.0,GLEAM,-Y-Y-,5.0,5.0,5629,81,98.56102327233967,81,55,32.098765432098766,55,29,47.27272727272727,29,28,3.4482758620689653,28,21,25.0,21,6,71.42857142857143
pure_random,28,SMILE,1,False,7,-10.0,PLAZA,-Y---,5,5,ADLER,--YY-,5,4,FLAPS,-Y--Y,5.0,5.0,AROMA,---Y-,5.0,5.0,OVARY,-----,5.0,5.0,FAULT,---G-,4.0,4.0,5629,518,90.79765500088826,518,84,83.78378378378379,84,12,85.71428571428571,12,3,75.0,3,3,0.0,3,2,33.33333333333333
pure_random,29,KNOCK,1,False,7,-10.0,DELTA,-----,5,5,BERTH,-----,5,5,SWABS,-----,5.0,5.0,BLOND,--GY-,4.0,4.0,CHEAP,Y----,5.0,5.0,OCHOA,YY---,5.0,5.0,5629,601,89.32314798365607,601,214,64.39267886855241,214,87,59.345794392523366,87,3,96.55172413793103,3,1,66.66666666666666,1,1,0.0
pure_random,30,SLEEP,1,False,7,-10.0,BIBLE,---YY,5,5,GOMES,---GY,4,4,PALOS,Y-Y-Y,5.0,5.0,SALAH,G-Y--,4.0,4.0,BRANT,-----,5.0,5.0,SHINY,G----,4.0,4.0,5629,250,95.5587138035175,250,9,96.39999999999999,9,1,88.88888888888889,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,31,BRICK,1,False,7,-10.0,SEEPS,-----,5,5,SPAWN,-----,5,5,BRITS,GGG--,2.0,2.0,PONZI,----Y,5.0,5.0,RESIN,Y--Y-,5.0,5.0,SETUP,-----,5.0,5.0,5629,1653,70.6342156688577,1653,425,74.28917120387175,425,2,99.52941176470588,2,2,0.0,2,2,0.0,2,2,0.0
pure_random,32,WROTE,1,False,7,-10.0,BLAME,----G,4,4,FEMME,----G,4,4,COMME,-Y--G,4.0,4.0,ETHNO,YY--Y,5.0,5.0,BATES,--YY-,5.0,4.0,SIEGE,----G,4.0,4.0,5629,258,95.41659264523005,258,174,32.55813953488372,174,34,80.45977011494253,34,4,88.23529411764706,4,4,0.0,4,4,0.0
pure_random,33,RATED,1,False,7,-10.0,FEMME,-Y---,5,5,SYNTH,---Y-,5,5,ATLAS,YY---,5.0,4.0,MASTS,-G-Y-,4.0,4.0,BARON,-GY--,4.0,4.0,HAUTE,-G-YY,4.0,3.0,5629,874,84.47326345709718,874,70,91.9908466819222,70,15,78.57142857142857,15,13,13.333333333333334,13,6,53.84615384615385,6,6,0.0
pure_random,34,ALERT,1,False,7,-10.0,POLAR,--YYY,5,4,ZORRO,---G-,4,4,MUSES,---Y-,5.0,5.0,SPAIN,--Y--,5.0,5.0,MORAN,--YY-,5.0,5.0,LOMAX,Y--Y-,5.0,5.0,5629,46,99.18280333984723,46,17,63.04347826086957,17,6,64.70588235294117,6,1,83.33333333333334,1,1,0.0,1,1,0.0
pure_random,35,CAGES,2,False,7,-10.0,CILIA,G---Y,4,4,THUGS,---YG,4,4,EXILE,Y----,5.0,5.0,DWYER,---G-,4.0,4.0,BOOMS,----G,4.0,4.0,HADES,-G-GG,2.0,2.0,5629,99,98.24125066619293,99,1,98.98989898989899,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,36,TEDDY,2,False,7,-10.0,ERROR,Y----,5,5,FAKER,---Y-,5,5,VIVEK,---Y-,5.0,5.0,BRIAN,-----,5.0,5.0,FEVER,-G---,4.0,4.0,DISKS,Y----,5.0,5.0,5629,1181,79.01936400781666,1181,356,69.85605419136324,356,207,41.853932584269664,207,118,42.99516908212561,118,38,67.79661016949152,38,1,97.36842105263158
