game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,EINAR,-----,5,5,CSS_TRUE,STUFF,-Y---,5,5,LLM,BOOTH,-YGGY,3.0,3.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,409,92.73405578255462,409,17,95.84352078239608,17.0,1.0,94.11764705882352,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,AIRES,Y-G--,4,4,CSS_TRUE,GREEN,-Y---,5,5,LLM,CARAT,-GG-Y,3.0,3.0,CSS_TRUE,DARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,93,98.34784153490853,93,66,29.03225806451613,66.0,5.0,92.42424242424242,5.0,2.0,60.0,2.0,1.0,50.0,,,,3
3,TRICK,True,4,RATES,Y-Y--,5,5,CSS_TRUE,DOESN,-----,5,5,LLM,FLIRT,--GYY,4.0,4.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,60,98.9340913128442,60,20,66.66666666666666,20.0,2.0,90.0,2.0,1.0,50.0,,,,,,,4
4,DIRTY,True,4,ARTIE,-YYY-,5,4,CSS_TRUE,FIRST,-GG-Y,3,3,LLM,BIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,18,99.68022739385326,18,5,72.22222222222221,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,SABLE,YY-Y-,5,4,CSS_TRUE,CLASS,-YYY-,5,5,LLM,ASLAM,-GYG-,3.0,3.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,34,99.39598507727838,34,4,88.23529411764706,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,HANES,-----,5,5,CSS_TRUE,WORDS,--Y--,5,5,LLM,TRUCK,GGG--,2.0,2.0,CSS_TRUE,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,405,92.80511636169835,405,34,91.60493827160494,34.0,2.0,94.11764705882352,2.0,1.0,50.0,1.0,1.0,0.0,,,,1
7,SPENT,True,3,DARES,---YY,5,5,CSS_TRUE,SINCE,G-Y-Y,4,4,LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,122,97.83265233611654,122,8,93.44262295081968,8.0,1.0,87.5,,,,,,,,,,0
8,PAUSE,True,3,LEANS,-YY-Y,5,4,CSS_TRUE,ASTER,YY-Y-,5,4,LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,55,99.02291703677383,55,9,83.63636363636363,9.0,1.0,88.88888888888889,,,,,,,,,,0
9,CRAZY,True,2,GEARS,--GY-,4,4,CSS_TRUE,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,54,99.04068218155976,54,1,98.14814814814817,,,,,,,,,,,,,0
10,BASES,True,4,LEAST,-YYY-,5,4,CSS_TRUE,WORDS,----G,4,4,LLM,CASES,-GGGG,1.0,1.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,109,98.06359921833364,109,40,63.30275229357798,40.0,4.0,90.0,4.0,1.0,75.0,,,,,,,2
