game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,AFTER,--Y--,5,5,LLM,SOUTH,-Y-GY,4,4,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,219,96.10943329188132,219,1,99.54337899543378,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,4,CRACK,-YY--,5,5,LLM,MARES,-GG--,3,3,CSS_TRUE,GARDA,-GG--,3.0,3.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,420,92.5386391899094,420,38,90.95238095238096,38.0,11.0,71.05263157894737,11.0,1.0,90.9090909090909,,,,,,,0
3,TRICK,True,4,GIVEN,-Y---,5,5,LLM,SAITO,--GY-,4,4,CSS_TRUE,TWIRL,G-GY-,3.0,3.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,406,92.7873512169124,406,12,97.04433497536948,12.0,2.0,83.33333333333334,2.0,1.0,50.0,,,,,,,0
4,DIRTY,True,3,CRATE,-Y-G-,4,4,LLM,FORTH,--GG-,3,3,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,22,99.60916681470954,22,2,90.9090909090909,2.0,1.0,50.0,,,,,,,,,,0
5,USUAL,True,3,GUESS,-Y-Y-,5,5,LLM,SAULT,YYGY-,4,4,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,50,99.1117427607035,50,1,98.0,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,3,BASED,-----,5,5,LLM,UNITY,Y--YG,4,4,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,547,90.28246580209628,547,3,99.45155393053015,3.0,1.0,66.66666666666666,,,,,,,,,,0
7,SPENT,True,4,ARISE,---YY,5,5,LLM,LEEDS,--G-Y,4,4,CSS_TRUE,STENT,G-GGG,1.0,1.0,CSS_TRUE,SPENT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,256,95.45212293480192,256,8,96.875,8.0,2.0,75.0,2.0,1.0,50.0,,,,,,,0
8,PAUSE,True,5,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,CSS_TRUE,ABUSE,Y-GGG,2.0,2.0,CSS_TRUE,CAUSE,-GGGG,1.0,1.0,VOI,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,5629,11,99.80458340735476,11,4,63.63636363636363,4.0,2.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
9,CRAZY,True,5,GUESS,-----,5,5,LLM,MARTI,-YY--,5,5,CSS_TRUE,ADORN,Y--Y-,5.0,5.0,CSS_TRUE,BRAWL,-GG--,3.0,3.0,VOI,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,5629,1270,77.43826612186889,1270,60,95.2755905511811,60.0,6.0,90.0,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,0
10,BASES,False,6,START,Y-Y--,5,5,LLM,LANES,-G-GG,2,2,CSS_TRUE,CAGES,-G-GG,2.0,2.0,CSS_TRUE,DAMES,-G-GG,2.0,2.0,VOI,WAVES,-G-GG,2.0,2.0,VOI,BAKES,GG-GG,1.0,1.0,VOI,5629,255,95.46988807958785,255,38,85.09803921568627,38.0,24.0,36.84210526315789,24.0,15.0,37.5,15.0,7.0,53.333333333333336,7.0,2.0,71.42857142857143,0
