game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,FORCE,-Y---,5,5,LLM,SANTO,---GG,3,3,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,5,LAKES,-G---,4,4,LLM,MANOR,-G--Y,4,4,VOI,DARPA,-GGY-,3,3,VOI,PARTI,GGGG-,1,1,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,BLURS,---Y-,5,5,LLM,PARTY,--YY-,5,5,VOI,TIMOR,GY--Y,4,4,VOI,TRIED,GGG--,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,TROIS,YY-Y-,5,5,LLM,PARTI,--GGY,3,3,VOI,BIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,3,CLEAR,-Y-G-,4,4,LLM,ASLAN,-GYG-,3,3,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,4,FLESH,-Y---,5,5,LLM,LANDO,Y----,5,5,VOI,GULLY,-Y-GG,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,REACT,-Y--G,4,4,LLM,SLEET,G-G-G,2,2,VOI,SWEPT,G-GYG,2,2,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,4,ALTER,Y--Y-,5,4,LLM,MEANS,-YY-Y,5,4,VOI,SPEAK,YYYY-,5,5,VOI,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,
9,CRAZY,True,4,HELIX,-----,5,5,LLM,TANDY,-Y--G,4,4,VOI,OVARY,--GYG,3,3,VOI,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,True,5,PROOF,-----,5,5,LLM,BALES,GG-GG,1,1,VOI,BABES,GG-GG,1,1,VOI,BAKES,GG-GG,1,1,VOI,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,4,TRAIN,----Y,5,5,LLM,SHONE,--YG-,4,4,VOI,DUNNO,-Y-GY,4,4,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,4,VOICE,----Y,5,5,LLM,BASES,-Y-YG,4,4,VOI,HEAPS,-GG-G,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,4,STARE,-Y-Y-,5,5,LLM,DIRTY,--YG-,4,4,VOI,BROTH,-G-GG,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,True,3,SHIFT,--YY-,5,5,LLM,FARID,G-GYG,2,2,VOI,FIRED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
15,FOLKS,True,5,DARTS,----G,4,4,LLM,SNOBS,--Y-G,4,4,VOI,MILOS,--GYG,3,3,VOI,FOLES,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,5,COAST,G----,4,4,LLM,CYRIL,G--YY,4,3,VOI,CLIFF,GYG--,3,3,VOI,CHILD,GGGG-,1,1,VOI,CHILE,GGGGG,0,0,VOI,,,,,
17,BLACK,True,4,CRASS,Y-G--,4,4,LLM,PEACH,--GG-,3,3,VOI,FLACK,-GGGG,1,1,VOI,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,3,LANGE,-YYY-,5,4,LLM,AMONG,Y--GY,4,4,VOI,GRANT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
19,MEALS,True,4,BEACH,-GG--,3,3,LLM,MEANS,GGG-G,1,1,VOI,MEARS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,,,,,,
20,CREAM,True,4,SHAPE,--Y-Y,5,5,LLM,GENOA,-Y--Y,5,5,VOI,CATER,GY-YY,4,4,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,5,RAISE,-Y--G,4,4,LLM,PEACE,--G-G,3,3,VOI,QUAKE,--GGG,2,2,VOI,FLAKE,--GGG,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,REUSE,Y-Y--,5,5,LLM,CURLY,YYY--,5,4,VOI,INCUR,--GGG,2,2,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,True,6,DEBUG,-G---,4,4,LLM,MEALS,-GG-G,2,2,VOI,HEAPS,-GG-G,2,2,VOI,JEANS,-GG-G,2,2,VOI,FEATS,-GG-G,2,2,VOI,YEARS,GGGGG,0,0,VOI
24,GRADE,True,4,STAIR,--G-Y,4,4,LLM,CRAZY,-GG--,3,3,VOI,GRAND,GGG-Y,2,2,VOI,GRADE,GGGGG,0,0,VOI,,,,,,,,,,
25,CHILL,True,5,AGENT,-----,5,5,LLM,CURLY,G--G-,3,3,VOI,CHILI,GGGG-,1,1,VOI,CHILD,GGGG-,1,1,VOI,CHILL,GGGGG,0,0,VOI,,,,,
26,FLOOD,True,5,VOICE,-Y---,5,5,LLM,THONG,--G--,4,4,VOI,PAOLO,--GYY,4,4,VOI,BLOOD,-GGGG,1,1,VOI,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,5,CROAT,---Y-,5,5,LLM,KLAUS,-YY--,5,5,VOI,LABEL,YY---,5,4,VOI,AMPLY,G-GGG,1,1,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,4,CROSS,---Y-,5,5,LLM,SPENT,G-Y--,4,4,VOI,SADIE,G--YG,3,3,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,4,LEAPT,-----,5,5,LLM,SUING,---Y-,5,5,VOI,HONKY,-YYY-,5,4,VOI,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,
30,SLEEP,True,4,PEAKS,YY--Y,5,5,LLM,SPENT,GYG--,3,3,VOI,SHEEP,G-GGG,1,1,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
