game_id,target_word,model_name,prompt_type,attempt_number,guess,feedback,win,attempts_to_win,timestamp,prompt,cot_trace,raw_response,is_valid_word,is_error,candidates_before,candidates_after,candidate_reduction_rate,information_gain_bits,violated_green_constraint,violated_yellow_constraint,violated_gray_constraint,total_constraint_violations
0,PHOTO,llama-3.1-70b-instruct,chain-of-thought,1,HOUSE,YY---,False,1,2025-12-11T19:20:38.280362,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 1/6 | Candidates: 5629

1. Choose a word with a good balance of vowels and consonants.
2. Include common letters such as E, A, and T.
3. Avoid less common letters such as Q, X, and Z.","Game 1/100 | Target: PHOTO | Attempt 1/6 | Candidates: 5629

THINKING: 
1. Choose a word with a good balance of vowels and consonants.
2. Include common letters such as E, A, and T.
3. Avoid less common letters such as Q, X, and Z.

FINAL: HOUSE",True,False,5629,43,0.9924,7.0324,False,False,False,0
0,PHOTO,llama-3.1-70b-instruct,chain-of-thought,2,THORN,YGG--,False,2,2025-12-11T19:20:40.210930,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: HOUSE  Feedback: YY---
  Per letter: H:Y  O:Y  U:-  S:-  E:-

Allowed words remaining: 43
Candidate words: PHOTO, THROW, CLOTH, IDAHO, CHOIR, YAHOO, CHORD, OMAHA, RHINO, OPRAH, THORN, BROTH, PHONY, MACHO, CHICO, WHOOP, THONG, CHONG, ALOHA, CHINO, NACHO, PHNOM, DHONI, OHHHH, PHILO, BLOCH, AHOLD, CHOCK, OCHOA, ORTHO, CHAPO, FROTH, RHODA, THROB, ZHONG, GROHL, ALTHO, MAHON, ABHOR, CHOCO, RICOH, WAHOO, WHORL

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 43

Given the previous feedback, both H and O are in the word, but not at the correct positions.
Look for words with both H and O, considering common letter combinations.
One possible combination is TH and O, found in a few candidate words.","Game 1/100 | Target: PHOTO | Attempt 2/6 | Candidates: 43

THINKING: 
Given the previous feedback, both H and O are in the word, but not at the correct positions.
Look for words with both H and O, considering common letter combinations.
One possible combination is TH and O, found in a few candidate words.

FINAL: THORN",True,False,43,1,0.9767,5.4263,False,False,False,0
0,PHOTO,llama-3.1-70b-instruct,chain-of-thought,3,PHOTO,GGGGG,True,3,2025-12-11T19:20:42.975490,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: HOUSE  Feedback: YY---
  Per letter: H:Y  O:Y  U:-  S:-  E:-
- Guess: THORN  Feedback: YGG--
  Per letter: T:Y  H:G  O:G  R:-  N:-

Allowed words remaining: 1
Candidate words: PHOTO

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 1/100 | Target: PHOTO | Attempt 3/6 | Candidates: 1

Since PHOTO is the only candidate word left, and it fits the given constraints (no repeated guesses), we can analyze its letters. The letters H and O are already present in the correct positions from the previous guess THORN (H:G, O:G), and the letters P, T are likely to be in the correct positions as well, given the high probability of PHOTO being the correct answer.","Game 1/100 | Target: PHOTO | Attempt 3/6 | Candidates: 1

THINKING: Since PHOTO is the only candidate word left, and it fits the given constraints (no repeated guesses), we can analyze its letters. The letters H and O are already present in the correct positions from the previous guess THORN (H:G, O:G), and the letters P, T are likely to be in the correct positions as well, given the high probability of PHOTO being the correct answer.

FINAL: PHOTO",True,False,1,1,0.0000,0.0000,False,False,False,0
1,PARTY,llama-3.1-70b-instruct,chain-of-thought,1,THINK,Y----,False,1,2025-12-11T19:20:45.446733,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 1/6 | Candidates: 5629

Start with a common word, choose a word with good letter coverage. 
Look for words with vowels (A, E, I, O, U) and common consonants (T, H, R, N, S). 
Select a word that is less likely to be a proper noun. 
Choose a word that has not been previously guessed.","Game 2/100 | Target: PARTY | Attempt 1/6 | Candidates: 5629

THINKING: 
Start with a common word, choose a word with good letter coverage. 
Look for words with vowels (A, E, I, O, U) and common consonants (T, H, R, N, S). 
Select a word that is less likely to be a proper noun. 
Choose a word that has not been previously guessed.

FINAL: THINK",True,False,5629,451,0.9199,3.6417,False,False,False,0
1,PARTY,llama-3.1-70b-instruct,chain-of-thought,2,START,-YYY-,False,2,2025-12-11T19:20:47.585986,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THINK  Feedback: Y----
  Per letter: T:Y  H:-  I:-  N:-  K:-

Allowed words remaining: 451
Candidate words: ABOUT, AFTER, GREAT, STATE, START, WATER, LATER, PARTY, STORY, LEAST, COURT, STUDY, STUFF, STYLE, STAGE, STAFF, PARTS, WROTE, STORE, EXTRA, COSTS, GOTTA, WORST, SWEET, DOUBT, PETER, RATES, COAST, STARS, SMART, ..., BESTS, GEETA, GUSTY, PEROT, PETCO, VESTA, CATES, OVATE, ETUDE, PETEY, POTRO, RETRY, STAGS, YALTA, ARTEM, BEAUT, CATTY, METED, PEETA, CROAT

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 2/6 | Candidates: 451

1. Given T:Y from THINK, focus on words with T in a different position.
2. Eliminate words with H, I, N, K.
3. Look for common 5-letter words with T.
4. Identify a word with T in the middle or end.","Game 2/100 | Target: PARTY | Attempt 2/6 | Candidates: 451

THINKING: 
1. Given T:Y from THINK, focus on words with T in a different position.
2. Eliminate words with H, I, N, K.
3. Look for common 5-letter words with T.
4. Identify a word with T in the middle or end.

FINAL: START",True,False,451,0,1.0000,8.8170,False,False,False,0
1,PARTY,llama-3.1-70b-instruct,chain-of-thought,3,ALTER,Y-Y-Y,False,3,2025-12-11T19:20:49.966943,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THINK  Feedback: Y----
  Per letter: T:Y  H:-  I:-  N:-  K:-
- Guess: START  Feedback: -YYY-
  Per letter: S:-  T:Y  A:Y  R:Y  T:-

Allowed words remaining: 24
Candidate words: AFTER, WATER, LATER, PARTY, ACTOR, RATED, ALTER, ALTAR, QATAR, MARTY, CATER, MATER, EATER, MARTA, GRETA, GATOR, CARTE, AORTA, PORTA, CARTA, PARTE, ARTUR, BERTA, ARTEM

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 3/6 | Candidates: 0

1. We have multiple Y's (T, A, R) from previous guesses.
2. Look for words with these letters in the candidate list.
3. Consider words with A and R together, as they both appear in the same guess.
4. Eliminate words that don't fit common word patterns or have less likely letter combinations.","Game 2/100 | Target: PARTY | Attempt 3/6 | Candidates: 0

THINKING: 
1. We have multiple Y's (T, A, R) from previous guesses.
2. Look for words with these letters in the candidate list.
3. Consider words with A and R together, as they both appear in the same guess.
4. Eliminate words that don't fit common word patterns or have less likely letter combinations.

FINAL: ALTER",True,False,0,0,0.0000,0.0000,False,False,False,0
1,PARTY,llama-3.1-70b-instruct,chain-of-thought,4,PARTY,GGGGG,True,4,2025-12-11T19:20:52.089617,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THINK  Feedback: Y----
  Per letter: T:Y  H:-  I:-  N:-  K:-
- Guess: START  Feedback: -YYY-
  Per letter: S:-  T:Y  A:Y  R:Y  T:-
- Guess: ALTER  Feedback: Y-Y-Y
  Per letter: A:Y  L:-  T:Y  E:-  R:Y

Allowed words remaining: 5
Candidate words: PARTY, MARTY, MARTA, PORTA, CARTA

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 2/100 | Target: PARTY | Attempt 4/6 | Candidates: 0

- T and A are present in the word (from previous attempts).
- R is also present (from previous attempts).
- PARTY and MARTY have T in the correct position (from THINK and START attempts).
- PARTY is more likely since it also has the correct letters in other positions.","Game 2/100 | Target: PARTY | Attempt 4/6 | Candidates: 0

THINKING: 
- T and A are present in the word (from previous attempts).
- R is also present (from previous attempts).
- PARTY and MARTY have T in the correct position (from THINK and START attempts).
- PARTY is more likely since it also has the correct letters in other positions.

FINAL: PARTY",True,False,0,0,0.0000,0.0000,False,False,False,0
2,TRICK,llama-3.1-70b-instruct,chain-of-thought,1,THINK,G-G-G,False,1,2025-12-11T19:20:54.189542,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 1/6 | Candidates: 5629

Start with a common word that has a good mix of vowels and consonants. 
Choose a word with 'E' in it, as it's a frequently used letter. 
Look for a word with a common letter combination like 'TH'. 
Select a word that hasn't been used before.","Game 3/100 | Target: TRICK | Attempt 1/6 | Candidates: 5629

THINKING: 
Start with a common word that has a good mix of vowels and consonants. 
Choose a word with 'E' in it, as it's a frequently used letter. 
Look for a word with a common letter combination like 'TH'. 
Select a word that hasn't been used before.

FINAL: THINK",True,False,5629,1,0.9998,12.4587,False,False,False,0
2,TRICK,llama-3.1-70b-instruct,chain-of-thought,2,TRICK,GGGGG,True,2,2025-12-11T19:20:55.671581,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)

Previous attempts:
- Guess: THINK  Feedback: G-G-G
  Per letter: T:G  H:-  I:G  N:-  K:G

Allowed words remaining: 1
Candidate words: TRICK

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 3/100 | Target: TRICK | Attempt 2/6 | Candidates: 1

Previous guess THINK has T, I, and K in the correct positions. 
Remaining candidate word is TRICK.
All letters match the correct positions, so the final answer is straightforward.","Game 3/100 | Target: TRICK | Attempt 2/6 | Candidates: 1

THINKING: 
Previous guess THINK has T, I, and K in the correct positions. 
Remaining candidate word is TRICK.
All letters match the correct positions, so the final answer is straightforward.

FINAL: TRICK",True,False,1,1,0.0000,0.0000,False,False,False,0
3,DIRTY,llama-3.1-70b-instruct,chain-of-thought,1,HOUSE,-----,False,1,2025-12-11T19:20:57.021200,"You are an expert Wordle player. Use brief, structured reasoning.
Return output in this exact format:
THINKING: <your concise step-by-step reasoning>
FINAL: <ONE 5-letter guess only>

Feedback codes: G=green (correct letter, correct position), Y=yellow (correct letter, wrong position), -=letter not in word.
Each feedback position corresponds to the letter at that position in your guess.
Example: Guess HOUSE → Feedback ----G means H:-, O:-, U:-, S:-, E:G
  (H not in word, O not in word, U not in word, S not in word, E correct at position 5)


Allowed words remaining: 5629
Candidate words: ABOUT, THEIR, THERE, WHICH, WOULD, OTHER, AFTER, FIRST, THINK, COULD, THESE, WHERE, RIGHT, YEARS, BEING, GOING, STILL, NEVER, THOSE, WORLD, GREAT, WHILE, EVERY, STATE, THREE, SINCE, UNDER, THING, HOUSE, PLACE, ..., ZENIT, ARRAS, BANDY, BENDY, BOGAN, CAUSA, COWER, CRIST, CROAT, CUBBY, DALIA, DIKES, DIMER, ESHOP, FLAIL, GARBO, GOGOL, HAMMY, HERAT, HOARE

Constraints:
• Do NOT repeat previous guesses.
• The FINAL line must be exactly ONE valid 5-letter word from the allowed list.
• Keep THINKING concise (1–5 short lines).","Game 4/100 | Target: DIRTY | Attempt 1/6 | Candidates: 5629

Start with a common word to gather information. 
Choose a word with a good mix of vowels and consonants.
Consider words with multiple possible positions for common letters.","Game 4/100 | Target: DIRTY | Attempt 1/6 | Candidates: 5629

THINKING: 
Start with a common word to gather information. 
Choose a word with a good mix of vowels and consonants.
Consider words with multiple possible positions for common letters.

FINAL: HOUSE",True,False,5629,694,0.8767,3.0199,False,False,False,0
