game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,GROY,2B0W,LLM,96,GYBY,2B0W,VOI,14,WYOY,0B0W,VOI,3,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,3,BRGY,1B3W,LLM,8,GRYB,0B4W,VOI,3,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,BORY,1B1W,LLM,252,YOYG,1B1W,VOI,46,BWOG,1B1W,VOI,7,BGYB,2B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,RBYO,0B2W,LLM,312,GGRB,1B1W,VOI,50,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RGWO,0B3W,LLM,136,YORG,1B2W,VOI,24,GOYW,0B2W,VOI,4,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,RYGB,0B2W,LLM,312,GBOO,1B0W,VOI,54,YBBW,0B2W,VOI,6,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RYGB,1B0W,LLM,108,RORO,1B1W,VOI,18,OOWB,0B2W,VOI,2,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,4,RORY,1B1W,LLM,230,RGBR,2B1W,VOI,11,RRBW,0B3W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,BYRW,0B2W,LLM,312,WGYG,0B1W,VOI,54,OOWR,2B2W,VOI,3,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RYGB,1B0W,LLM,108,BWWB,0B1W,VOI,20,WOGO,1B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
