game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,STALE,-Y---,5,5,LLM,THORN,YGG--,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,183,96.74897850417481,183,1,99.4535519125683,1,1,0.0,,,,,,,,,
2,PARTY,True,4,TAKER,YG--Y,4,4,LLM,PARTS,GGGG-,1,1,CSS,PARTI,GGGG-,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,20,99.6446971042814,20,2,90.0,2,1,50.0,1,1,0.0,,,,,,
3,TRICK,True,5,ELISA,--G--,4,4,LLM,CHINO,Y-G--,4,4,CSS,PRICK,-GGGG,1.0,1.0,LLM,BRICK,-GGGG,1.0,1.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,74,98.68537928584118,74,7,90.54054054054053,7,3,57.14285714285714,3,2,33.33333333333333,2,1,50.0,,,
4,DIRTY,True,3,BREED,-Y--Y,5,5,LLM,DARIO,G-GY-,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,78,98.61431870669746,78,1,98.71794871794873,1,1,0.0,,,,,,,,,
5,USUAL,True,5,GRIDD,-----,5,5,LLM,SANTO,YY---,5,5,CSS,ASSES,YG---,4.0,4.0,LLM,PSALM,-GYY-,4.0,3.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,1848,67.17001243560135,1848,65,96.48268398268398,65,2,96.92307692307692,2,1,50.0,1,1,0.0,,,
6,TRULY,True,5,RATES,Y-Y--,5,5,LLM,TROUT,GG-Y-,3,3,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRUDY,GGG-G,1.0,1.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,60,98.9340913128442,60,5,91.66666666666666,5,3,40.0,3,1,66.66666666666666,1,1,0.0,,,
7,SPENT,True,3,ASHEN,-Y-YY,5,3,LLM,SEINE,GY-G-,3,3,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,4,93.54838709677419,4,1,75.0,,,,,,,,,
8,PAUSE,True,2,AURES,YY-YY,5,3,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,4,99.92893942085628,4,1,75.0,,,,,,,,,,,,
9,CRAZY,True,5,DATES,-Y---,5,5,LLM,LORNA,--Y-Y,5,5,CSS,CRACK,GGG--,2.0,2.0,LLM,CRAMP,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,372,93.39136613963403,372,25,93.27956989247312,25,4,84.0,4,3,25.0,3,1,66.66666666666666,,,
10,BASES,False,6,REALS,-YY-G,4,4,LLM,CATES,-G-GG,2,2,CSS,HAWES,-G-GG,2.0,2.0,LLM,GAMES,-G-GG,2.0,2.0,CSS,SAKES,YG-GG,2.0,2.0,LLM,VASES,-GGGG,1.0,1.0,CSS,5629,66,98.82750044412862,66,38,42.42424242424242,38,28,26.31578947368421,28,15,46.42857142857143,15,3,80.0,3,2,33.33333333333333
11,YOUNG,True,4,GIVEN,Y---Y,5,5,LLM,TANGO,--YYY,5,4,CSS,PRONG,--YGG,3.0,3.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,58,98.96962160241605,58,7,87.93103448275862,7,1,85.71428571428571,1,1,0.0,,,,,,
12,MEANS,True,4,RATES,-Y-YG,4,4,LLM,DEALS,-GG-G,2,2,CSS,SEAMS,-GGYG,2.0,2.0,LLM,MEANS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,30,99.4670456564221,30,8,73.33333333333333,8,1,87.5,1,1,0.0,,,,,,
13,TRUTH,True,4,BREED,-G---,4,4,LLM,TRANS,GG---,3,3,CSS,TROUT,GG-YY,3.0,2.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,196,96.51803162195772,196,12,93.87755102040816,12,1,91.66666666666666,1,1,0.0,,,,,,
14,FIRED,True,4,CHANT,-----,5,5,LLM,DOYLE,Y---Y,5,5,CSS,SIDES,-GYG-,3.0,3.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1168,79.25031089003375,1168,44,96.23287671232876,44,7,84.0909090909091,7,1,85.71428571428571,,,,,,
