game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,START,-Y---,5,5,LLM,LEITH,---GY,4,4,CSS,GRAPE,---Y-,5.0,5.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,166,97.05098596553562,166,1,99.3975903614458,1,1,0.0,1,1,0.0,,,,,,
2,PARTY,True,4,GIVEN,-----,5,5,LLM,SLOTH,---G-,4,4,CSS,MARTA,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1299,76.92307692307693,1299,14,98.92224788298691,14,1,92.85714285714286,1,1,0.0,,,,,,
3,TRICK,True,3,SINCE,-Y-G-,4,4,LLM,THICC,G-GG-,2,2,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,20,99.6446971042814,20,1,95.0,1,1,0.0,,,,,,,,,
4,DIRTY,True,3,COULD,----Y,5,5,LLM,DINAR,GG--Y,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,302,94.63492627464913,302,1,99.66887417218543,1,1,0.0,,,,,,,,,
5,USUAL,True,4,HINTS,----Y,5,5,LLM,SPARE,Y-Y--,5,4,CSS,ASUKA,YGG--,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,274,95.13235032865518,274,15,94.52554744525547,15,1,93.33333333333333,1,1,0.0,,,,,,
6,TRULY,True,4,GUESS,-Y---,5,5,LLM,PLUTO,-YGY-,4,4,CSS,WORDS,--Y--,5.0,5.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,154,97.26416770296677,154,4,97.40259740259741,4,1,75.0,1,1,0.0,,,,,,
7,SPENT,True,5,GUESS,--GY-,4,4,LLM,SWEDE,G-G--,3,3,CSS,SHEAR,G-G--,3.0,3.0,LLM,SPELL,GGG--,2.0,2.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,62,98.89856102327234,62,30,51.61290322580645,30,12,60.0,12,2,83.33333333333334,2,1,50.0,,,
8,PAUSE,True,3,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,11,99.80458340735477,11,4,63.63636363636363,4,1,75.0,,,,,,,,,
9,CRAZY,False,6,COULD,G----,4,4,LLM,CARTA,GYY--,4,4,CSS,CRASH,GGG--,2.0,2.0,LLM,CRANE,GGG--,2.0,2.0,CSS,CRABB,GGG--,2.0,2.0,LLM,CRAIG,GGG--,2.0,2.0,CSS,5629,137,97.56617516432759,137,19,86.13138686131386,19,9,52.63157894736842,9,5,44.44444444444444,5,4,20.0,4,3,25.0
10,BASES,False,6,COULD,-----,5,5,LLM,SPENT,Y-Y--,5,5,CSS,SNAKE,Y-Y-Y,5.0,4.0,LLM,VERSA,-Y-YY,5.0,5.0,CSS,MAZES,-G-GG,2.0,2.0,LLM,WAGES,-G-GG,2.0,2.0,CSS,5629,1556,72.35743471309291,1556,105,93.25192802056556,105,36,65.71428571428571,36,18,50.0,18,8,55.55555555555556,8,4,50.0
11,YOUNG,True,3,COULD,-GG--,3,3,LLM,MOUSE,-GG--,3,3,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,32,99.43151536685025,32,7,78.125,7,1,85.71428571428571,,,,,,,,,
12,MEANS,True,6,COULD,-----,5,5,LLM,HABER,-Y-Y-,5,5,CSS,SNEAK,YYYY-,5.0,4.0,LLM,JEANS,-GGGG,1.0,1.0,CSS,TREES,--Y-G,4.0,4.0,LLM,MEANS,GGGGG,0.0,0.0,CSS,5629,1556,72.35743471309291,1556,82,94.73007712082261,82,4,95.1219512195122,4,1,75.0,1,1,0.0,1,1,0.0
