game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,CRANE,-----,5,5,LLM,LOTUS,-YY--,5,4,CSS,PIVOT,G--YY,4.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,540,90.4068218155978,540,5,99.07407407407408,5,1,80.0,1,1,0.0,,,,,,
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARIA,-GG--,3,3,CSS,HARPS,-GGY-,3.0,3.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,227,95.96731213359388,227,34,85.02202643171806,34,2,94.11764705882352,2,1,50.0,,,,,,
3,TRICK,True,2,CRANE,YG---,4,4,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,1,87.5,,,,,,,,,,,,
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,CSS,BIRTH,-GGG-,2.0,2.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,194,96.55356191152958,194,6,96.90721649484536,6,1,83.33333333333334,1,1,0.0,,,,,,
5,USUAL,True,4,CRANE,--Y--,5,5,LLM,TAILS,-Y-YY,5,5,CSS,SHOAL,Y--GG,3.0,3.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,448,92.04121513590336,448,3,99.33035714285714,3,1,66.66666666666666,1,1,0.0,,,,,,
6,TRULY,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,TRUTH,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,93,98.34784153490851,93,6,93.54838709677419,6,2,66.66666666666666,2,1,50.0,,,,,,
7,SPENT,True,4,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,CSS,STENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,41,99.27162906377687,41,3,92.6829268292683,3,1,66.66666666666666,1,1,0.0,,,,,,
8,PAUSE,True,3,CRANE,--Y-G,4,4,LLM,AISLE,Y-Y-G,4,3,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,78,98.61431870669746,78,1,98.71794871794873,1,1,0.0,,,,,,,,,
9,CRAZY,True,5,CRANE,GGG--,2,2,LLM,CRAPS,GGG--,2,2,CSS,CRAWL,GGG--,2.0,2.0,LLM,CRAIG,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,11,99.80458340735477,11,6,45.45454545454545,6,5,16.666666666666664,5,4,20.0,4,1,75.0,,,
10,BASES,False,6,ADIEU,Y--G-,4,4,LLM,MARES,-G-GG,2,2,CSS,LAKES,-G-GG,2.0,2.0,LLM,CATES,-G-GG,2.0,2.0,CSS,WAVES,-G-GG,2.0,2.0,LLM,GASES,-GGGG,1.0,1.0,CSS,5629,180,96.80227393853261,180,54,70.0,54,37,31.48148148148148,37,20,45.94594594594595,20,11,45.0,11,2,81.81818181818183
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,STING,---GG,3,3,CSS,HYUNG,-YGGG,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,104,98.15242494226328,104,9,91.34615384615384,9,1,88.88888888888889,1,1,0.0,,,,,,
12,MEANS,True,2,CRANE,--GGY,3,3,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,1,87.5,,,,,,,,,,,,
13,TRUTH,True,3,CRANE,-G---,4,4,LLM,TRULY,GGG--,2,2,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,93,98.34784153490851,93,5,94.6236559139785,5,1,80.0,,,,,,,,,
14,FIRED,True,4,CRANE,-Y--Y,5,5,LLM,TIRES,-GGG-,2,2,CSS,WIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,269,95.22117605258484,269,4,98.51301115241635,4,3,25.0,3,1,66.66666666666666,,,,,,
15,FOLKS,True,5,CRANE,-----,5,5,LLM,SPILT,Y--Y-,5,5,CSS,GLOSS,-YY-G,4.0,4.0,LLM,FOLDS,GGG-G,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,540,90.4068218155978,540,24,95.55555555555556,24,7,70.83333333333334,7,1,85.71428571428571,1,1,0.0,,,
16,CHILE,True,3,CRANE,G---G,3,3,LLM,CLOSE,GY--G,3,3,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,18,99.68022739385326,18,2,88.88888888888889,2,1,50.0,,,,,,,,,
17,BLACK,True,3,CRANE,Y-G--,4,4,LLM,SLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,18,99.68022739385326,18,2,88.88888888888889,2,1,50.0,,,,,,,,,
18,GRANT,True,2,CRANE,-GGG-,2,2,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,11,99.80458340735477,11,1,90.9090909090909,,,,,,,,,,,,
19,MEALS,True,6,CRANE,--G-Y,4,4,LLM,LEAST,YGGY-,3,3,CSS,HEALS,-GGGG,1.0,1.0,LLM,DEALS,-GGGG,1.0,1.0,CSS,SEALS,-GGGG,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,5629,46,99.18280333984723,46,4,91.30434782608695,4,3,25.0,3,2,33.33333333333333,2,1,50.0,1,1,0.0
20,CREAM,True,2,CRANE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,
21,AWAKE,True,3,CRANE,--G-G,3,3,LLM,SLATE,--G-G,3,3,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,54,99.04068218155977,54,14,74.07407407407408,14,1,92.85714285714286,,,,,,,,,
22,OCCUR,True,3,CRANE,YY---,5,5,LLM,RICKS,Y-G--,4,4,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,20,99.6446971042814,20,2,90.0,2,1,50.0,,,,,,,,,
23,YEARS,True,3,CRANE,-YG-Y,4,4,LLM,REALY,YGG-Y,3,3,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,25,99.55587138035175,25,1,96.0,1,1,0.0,,,,,,,,,
24,GRADE,True,2,CRANE,-GG-G,2,2,LLM,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,1,92.3076923076923,,,,,,,,,,,,
25,CHILL,True,3,CRANE,G----,4,4,LLM,COILS,G-GG-,2,2,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,3,95.16129032258065,3,1,66.66666666666666,,,,,,,,,
26,FLOOD,True,3,CRANE,-----,5,5,LLM,FOLKS,GYY--,4,4,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,540,90.4068218155978,540,2,99.62962962962963,2,1,50.0,,,,,,,,,
27,APPLY,True,6,CRANE,--Y--,5,5,LLM,USUAL,---YY,5,5,CSS,VALID,-YY--,5.0,5.0,LLM,LOTTA,Y---Y,5.0,5.0,CSS,AMPLY,G-GGG,1.0,1.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,5629,448,92.04121513590336,448,71,84.15178571428571,71,9,87.32394366197182,9,2,77.77777777777779,2,1,50.0,1,1,0.0
28,SMILE,True,3,CRANE,----G,4,4,LLM,ELISE,-YGYG,3,3,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,173,96.9266299520341,173,1,99.42196531791907,1,1,0.0,,,,,,,,,
29,KNOCK,True,3,CRANE,Y--Y-,5,5,LLM,LUNCH,--YG-,4,4,CSS,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,26,99.53810623556582,26,2,92.3076923076923,2,1,50.0,,,,,,,,,
30,SLEEP,True,3,CRANE,----Y,5,5,LLM,PILES,Y-YGY,4,4,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,463,91.77473796411441,463,1,99.78401727861771,1,1,0.0,,,,,,,,,
31,BRICK,True,4,CRANE,YG---,4,4,LLM,TRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,8,99.85787884171256,8,3,62.5,3,2,33.33333333333333,2,1,50.0,,,,,,
32,WROTE,True,3,CRANE,-G--G,3,3,LLM,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,30,99.4670456564221,30,1,96.66666666666667,1,1,0.0,,,,,,,,,
33,RATED,True,3,CRANE,-YY-Y,5,3,LLM,MATER,-GGGY,2,2,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,125,97.77935690175875,125,2,98.4,2,1,50.0,,,,,,,,,
34,ALERT,True,4,CRANE,-YY-Y,5,5,LLM,RATES,YYYY-,5,4,CSS,TERRA,YY-GY,4.0,4.0,LLM,ALERT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,125,97.77935690175875,125,5,96.0,5,2,60.0,2,1,50.0,,,,,,
35,CAGES,False,6,CRANE,G-Y-Y,4,3,LLM,CATES,GG-GG,1,1,CSS,CAKES,GG-GG,1.0,1.0,LLM,CAPES,GG-GG,1.0,1.0,CSS,CAVES,GG-GG,1.0,1.0,LLM,CAFES,GG-GG,1.0,1.0,CSS,5629,20,99.6446971042814,20,6,70.0,6,5,16.666666666666664,5,4,20.0,4,3,25.0,3,2,33.33333333333333
36,TEDDY,True,4,CRANE,----Y,5,5,LLM,SLEEP,--Y--,5,5,CSS,DEBIT,YG--Y,4.0,4.0,LLM,TEDDY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,463,91.77473796411441,463,29,93.73650107991361,29,1,96.55172413793103,1,1,0.0,,,,,,
37,COLES,True,2,CRANE,G---Y,4,4,LLM,COLES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941177,,,,,,,,,,,,
38,HWANG,True,3,CRANE,--GG-,3,3,LLM,SHANG,-YGGG,2,2,CSS,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,51,99.09397761591757,51,2,96.07843137254902,2,1,50.0,,,,,,,,,
39,WRATH,True,4,CRANE,-GG--,3,3,LLM,GRADS,-GG--,3,3,CSS,TRAIT,YGG--,3.0,3.0,LLM,WRATH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,51,99.09397761591757,51,14,72.54901960784314,14,1,92.85714285714286,1,1,0.0,,,,,,
40,MACHO,True,3,CRANE,Y-Y--,5,5,LLM,TACOS,-GGY-,3,3,CSS,MACHO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,66,98.82750044412862,66,2,96.96969696969697,2,1,50.0,,,,,,,,,
41,LOPEZ,True,5,CRANE,----Y,5,5,LLM,DEBIT,-Y---,5,5,CSS,SHELL,--YY-,5.0,5.0,LLM,OXLEY,Y-YG-,4.0,4.0,CSS,LOPEZ,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,76,83.58531317494601,76,6,92.10526315789474,6,1,83.33333333333334,1,1,0.0,,,
42,GOODY,True,4,CRANE,-----,5,5,LLM,FOODS,-GGG-,2,2,CSS,GOODS,GGGG-,1.0,1.0,LLM,GOODY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,540,90.4068218155978,540,3,99.44444444444444,3,1,66.66666666666666,1,1,0.0,,,,,,
43,BROTH,True,4,CRANE,-G---,4,4,LLM,TRUTH,-G-GG,2,2,CSS,FROTH,-GGGG,1.0,1.0,LLM,BROTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,93,98.34784153490851,93,3,96.7741935483871,3,1,66.66666666666666,1,1,0.0,,,,,,
44,VERDE,True,4,CRANE,-Y--G,4,4,LLM,TERSE,-GG-G,2,2,CSS,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,70,98.7564398649849,70,6,91.42857142857143,6,2,66.66666666666666,2,1,50.0,,,,,,
45,TAMED,True,6,CRANE,--Y-Y,5,4,LLM,BASES,-G-G-,3,3,CSS,PAYED,-G-GG,2.0,2.0,LLM,DATED,-GYGG,2.0,2.0,CSS,TAXED,GG-GG,1.0,1.0,LLM,TAMED,GGGGG,0.0,0.0,CSS,5629,215,96.18049387102505,215,41,80.93023255813954,41,19,53.65853658536586,19,2,89.47368421052632,2,1,50.0,1,1,0.0
46,LEAFS,True,3,CRANE,--G-Y,4,4,LLM,MEALS,-GGYG,2,2,CSS,LEAFS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,46,99.18280333984723,46,4,91.30434782608695,4,1,75.0,,,,,,,,,
47,YACHT,True,4,CRANE,Y-Y--,5,5,LLM,MACHO,-GGG-,2,2,CSS,SACHS,-GGG-,2.0,2.0,LLM,YACHT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,66,98.82750044412862,66,3,95.45454545454545,3,1,66.66666666666666,1,1,0.0,,,,,,
48,MESSY,True,6,CRANE,----Y,5,5,LLM,LOVEY,---YG,4,4,CSS,PETTY,-G--G,3.0,3.0,LLM,DEBBY,-G--G,3.0,3.0,CSS,GEEKY,-G--G,3.0,3.0,LLM,MESSY,GGGGG,0.0,0.0,CSS,5629,463,91.77473796411441,463,18,96.11231101511879,18,6,66.66666666666666,6,3,50.0,3,1,66.66666666666666,1,1,0.0
