game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,CRATE,---G-,4,4,LLM,TOUTS,-Y-G-,4,4,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,107,98.09912950790549,107,3,97.19626168224299,3,1,66.66666666666666,,,,,,,,,
2,PARTY,True,5,ARISE,YY---,5,4,LLM,MORAL,--GY-,4,4,CSS,CARTA,-GGG-,2.0,2.0,LLM,GARTH,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,185,96.71344821460295,185,29,84.32432432432432,29,4,86.20689655172413,4,1,75.0,1,1,0.0,,,
3,TRICK,True,4,GUESS,-----,5,5,LLM,MARIN,--YY-,5,4,CSS,TRIPP,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1270,77.43826612186889,1270,29,97.71653543307086,29,2,93.10344827586206,2,1,50.0,,,,,,
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941177,1,1,0.0,,,,,,,,,
5,USUAL,True,4,AFTER,Y----,5,5,LLM,SCALA,Y-YY-,5,3,CSS,LAMBS,YY--Y,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,677,87.97299697992538,677,19,97.19350073855244,19,1,94.73684210526315,1,1,0.0,,,,,,
6,TRULY,True,3,GIVEN,-----,5,5,LLM,SOLAR,--Y-Y,5,5,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1299,76.92307692307693,1299,5,99.61508852963819,5,1,80.0,,,,,,,,,
7,SPENT,True,3,GUESS,--GY-,4,4,LLM,STEEN,GYG-Y,3,3,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,2,96.7741935483871,2,1,50.0,,,,,,,,,
8,PAUSE,True,3,FIRST,---G-,4,4,LLM,SLASH,--YG-,4,4,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,80,98.5787884171256,80,7,91.25,7,1,85.71428571428571,,,,,,,,,
9,CRAZY,True,4,BASED,-Y---,5,5,LLM,RICAN,Y-YY-,5,5,CSS,TRACK,-GGY-,3.0,3.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,419,92.55640433469533,419,16,96.18138424821002,16,3,81.25,3,1,66.66666666666666,,,,,,
10,BASES,True,4,LIGHT,-----,5,5,LLM,SOREN,Y--G-,4,4,CSS,BASED,GGGG-,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1552,72.42849529223663,1552,50,96.77835051546391,50,1,98.0,1,1,0.0,,,,,,
11,YOUNG,True,4,CRATE,-----,5,5,LLM,LIONS,--YG-,4,4,CSS,HOUND,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,568,89.90939776159176,568,12,97.88732394366197,12,1,91.66666666666666,1,1,0.0,,,,,,
12,MEANS,True,5,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS,LEAPS,-GG-G,2.0,2.0,LLM,JEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,108,98.08136436311956,108,14,87.03703703703704,14,2,85.71428571428571,2,1,50.0,1,1,0.0,,,
13,TRUTH,True,3,GUESS,-Y---,5,5,LLM,COURT,--GYY,4,4,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,154,97.26416770296677,154,5,96.75324675324676,5,1,80.0,,,,,,,,,
