game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,IDEAL,-----,5,5,CSS_TRUE,PORTS,GY-G-,3,3,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,530,90.5844732634571,530,1,99.811320754717,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,5,MAIER,-G--Y,4,4,CSS_TRUE,SARAH,-GG--,3,3,CSS_TRUE,CARLY,-GG-G,2.0,2.0,CSS_TRUE,PARRY,GGG-G,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,103,98.1701900870492,103,25,75.72815533980582,25.0,7.0,72.0,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,0
3,TRICK,True,5,STADE,-Y---,5,5,CSS_TRUE,NORTH,--YY-,5,5,CSS_TRUE,CRYPT,YG--Y,4.0,4.0,CSS_TRUE,TRUCK,GG-GG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,200,96.446971042814,200,10,95.0,10.0,2.0,80.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
4,DIRTY,True,4,TONER,Y---Y,5,5,CSS_TRUE,SURAT,--G-Y,4,4,CSS_TRUE,FIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,86,98.47219754841002,86,6,93.02325581395348,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,SHEAR,Y--G-,4,4,CSS_TRUE,MASAI,--YG-,4,4,CSS_TRUE,LUCAS,YY-GY,4.0,4.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,36,99.36045478770652,36,5,86.11111111111111,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,3,CESAR,----Y,5,5,CSS_TRUE,TRYIN,GGY--,3,3,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,197,96.5002664771718,197,2,98.98477157360406,2.0,1.0,50.0,,,,,,,,,,0
7,SPENT,True,3,ARIEL,---Y-,5,5,CSS_TRUE,DENSE,-YYY-,5,4,CSS_TRUE,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,305,94.58163084029135,305,10,96.72131147540983,10.0,1.0,90.0,,,,,,,,,,0
8,PAUSE,True,3,DANES,-G-YY,4,4,CSS_TRUE,LAPSE,-GYGG,2,2,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,17,99.69799253863918,17,2,88.23529411764706,2.0,1.0,50.0,,,,,,,,,,0
9,CRAZY,True,4,MIKES,-----,5,5,CSS_TRUE,TODAY,---YG,4,4,CSS_TRUE,CARLY,GYY-G,3.0,3.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,831,85.23716468289216,831,30,96.38989169675092,30.0,1.0,96.66666666666669,1.0,1.0,0.0,,,,,,,0
10,BASES,True,6,REALS,-YY-G,4,4,CSS_TRUE,CATES,-G-GG,2,2,CSS_TRUE,MAGES,-G-GG,2.0,2.0,CSS_TRUE,HAVES,-G-GG,2.0,2.0,LLM,SAKES,YG-GG,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,LLM,5629,66,98.82750044412862,66,38,42.42424242424242,38.0,24.0,36.84210526315789,24.0,14.0,41.66666666666667,14.0,2.0,85.71428571428571,2.0,1.0,50.0,0
