game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,TEARS,Y----,5,5,CSS_TRUE,NITTY,---G-,4,4,CSS_TRUE,MOUTH,-Y-GY,4.0,4.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,108,98.08136436311956,108,7,93.51851851851852,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,ARSED,YY---,5,4,CSS_TRUE,MARIO,-GG--,3,3,CSS_TRUE,BARCA,-GG--,3.0,3.0,CSS_TRUE,GARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,211,96.25155445016875,211,28,86.7298578199052,28.0,7.0,75.0,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,0
3,TRICK,True,3,TRIES,GGG--,2,2,CSS_TRUE,TRIAL,GGG--,2,2,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,2,66.66666666666666,2.0,1.0,50.0,,,,,,,,,,0
4,DIRTY,True,4,SNARE,---Y-,5,5,CSS_TRUE,GROOT,-Y--Y,5,5,CSS_TRUE,BIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,168,97.01545567596376,168,6,96.42857142857144,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,TEARS,--Y-Y,5,5,CSS_TRUE,SAYIN,YY---,5,5,CSS_TRUE,ASSAD,-G-G-,3.0,3.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,118,97.90371291526026,118,9,92.3728813559322,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,3,IDEAS,-----,5,5,CSS_TRUE,CLOTH,-Y-Y-,5,5,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,351,93.76443418013857,351,2,99.43019943019942,2.0,1.0,50.0,,,,,,,,,,0
7,SPENT,True,3,REINS,-Y-GY,4,4,CSS_TRUE,SCENT,G-GGG,1,1,CSS_TRUE,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,10,99.82234855214072,10,2,80.0,2.0,1.0,50.0,,,,,,,,,,0
8,PAUSE,True,4,READS,-YY-Y,5,4,CSS_TRUE,SALEM,YG-Y-,4,4,CSS_TRUE,CAUSE,-GGGG,1.0,1.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,43,99.236098774205,43,7,83.72093023255815,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,6,URINE,-G---,4,4,CSS_TRUE,TRAPS,-GG--,3,3,CSS_TRUE,BRAGA,-GG--,3.0,3.0,CSS_TRUE,CRACK,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,LLM,5629,118,97.90371291526026,118,16,86.4406779661017,16.0,4.0,75.0,4.0,2.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,0
10,BASES,True,5,WARES,-G-GG,2,2,CSS_TRUE,CATES,-G-GG,2,2,CSS_TRUE,MALES,-G-GG,2.0,2.0,CSS_TRUE,SAKES,YG-GG,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,64,98.86303073370048,64,41,35.9375,41.0,23.0,43.90243902439025,23.0,4.0,82.6086956521739,4.0,1.0,75.0,,,,0
11,YOUNG,True,4,MARES,-----,5,5,CSS_TRUE,COLIN,-G--Y,4,4,CSS_TRUE,DOWNY,-G-GY,3.0,3.0,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,446,92.0767454254752,446,19,95.73991031390136,19.0,1.0,94.73684210526316,1.0,1.0,0.0,,,,,,,0
12,MEANS,True,3,MAYER,GY-Y-,4,4,CSS_TRUE,MEANT,GGGG-,1,1,CSS_TRUE,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,15,99.73352282821104,15,1,93.33333333333331,1.0,1.0,0.0,,,,,,,,,,0
13,TRUTH,True,4,SENOR,----Y,5,5,CSS_TRUE,TIARA,G--Y-,4,4,CSS_TRUE,TRULY,GGG--,2.0,2.0,CSS_TRUE,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,257,95.434357790016,257,5,98.0544747081712,5.0,3.0,40.0,3.0,1.0,66.66666666666666,,,,,,,0
14,FIRED,True,5,RAILS,Y-Y--,5,5,CSS_TRUE,TIRED,-GGGG,1,1,CSS_TRUE,HIRED,-GGGG,1.0,1.0,CSS_TRUE,MILED,-G-GG,2.0,2.0,LLM,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,95,98.31231124533664,95,4,95.78947368421052,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,3
15,FOLKS,True,6,LEARN,Y----,5,5,CSS_TRUE,SOULS,-G-YG,3,3,CSS_TRUE,COLDS,-GG-G,2.0,2.0,CSS_TRUE,VOLTS,-GG-G,2.0,2.0,LLM,POLIS,-GG-G,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,LLM,5629,221,96.07390300230946,221,11,95.02262443438912,11.0,5.0,54.54545454545454,5.0,3.0,40.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
16,CHILE,True,3,SARIN,---Y-,5,5,CSS_TRUE,FILET,-YYY-,5,3,CSS_TRUE,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,226,95.98507727837982,226,12,94.69026548672566,12.0,1.0,91.66666666666666,,,,,,,,,,0
17,BLACK,True,4,TAPES,-Y---,5,5,CSS_TRUE,ARIAN,Y----,5,5,CSS_TRUE,CHULA,Y--YY,5.0,5.0,CSS_TRUE,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,429,92.37875288683604,429,28,93.47319347319348,28.0,2.0,92.85714285714286,2.0,1.0,50.0,,,,,,,0
18,GRANT,True,4,STEAL,-Y-Y-,5,5,CSS_TRUE,TAINT,-Y-GG,3,3,CSS_TRUE,BRANT,-GGGG,1.0,1.0,CSS_TRUE,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,152,97.29969799253864,152,5,96.71052631578948,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
19,MEALS,True,3,TRIAL,---YY,5,4,CSS_TRUE,SCALE,Y-GGY,3,3,CSS_TRUE,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,258,95.41659264523004,258,3,98.83720930232558,3.0,1.0,66.66666666666666,,,,,,,,,,0
20,CREAM,True,3,LEADS,-YY--,5,4,CSS_TRUE,MATER,YY-YY,5,5,CSS_TRUE,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,191,96.60685734588736,191,3,98.42931937172776,3.0,1.0,66.66666666666666,,,,,,,,,,0
21,AWAKE,True,4,ELIAS,Y--Y-,5,5,CSS_TRUE,CARTE,-Y--G,4,4,CSS_TRUE,PEAKE,--GGG,2.0,2.0,CSS_TRUE,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,307,94.54610055071949,307,20,93.48534201954396,20.0,2.0,90.0,2.0,1.0,50.0,,,,,,,0
22,OCCUR,True,4,STEAK,-----,5,5,CSS_TRUE,CURLY,YYY--,5,4,CSS_TRUE,INCUR,--GGG,2.0,2.0,CSS_TRUE,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,517,90.81542014567418,517,3,99.41972920696324,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
23,YEARS,False,6,STADE,Y-G-Y,4,4,CSS_TRUE,REALS,YGG-G,2,2,CSS_TRUE,BEARS,-GGGG,1.0,1.0,CSS_TRUE,GUESS,--Y-G,4.0,4.0,LLM,FEARS,-GGGG,1.0,1.0,LLM,NEARS,-GGGG,1.0,1.0,LLM,5629,29,99.48481080120804,29,9,68.96551724137932,9.0,8.0,11.11111111111111,8.0,7.0,12.5,7.0,6.0,14.285714285714285,6.0,5.0,16.666666666666664,4
24,GRADE,False,6,RENAL,YY-Y-,5,5,CSS_TRUE,TAMER,-Y-YY,5,4,CSS_TRUE,GRACE,GGG-G,1.0,1.0,CSS_TRUE,GRAZE,GGG-G,1.0,1.0,LLM,GRAPE,GGG-G,1.0,1.0,LLM,GRAVE,GGG-G,1.0,1.0,LLM,5629,141,97.49511458518388,141,30,78.72340425531915,30.0,4.0,86.66666666666667,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
25,CHILL,True,5,IRONS,Y----,5,5,CSS_TRUE,TILDA,-YY--,5,4,CSS_TRUE,CHILE,GGGG-,1.0,1.0,CSS_TRUE,CHILI,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,LLM,,,,,,5629,371,93.40913128441996,371,25,93.26145552560648,25.0,2.0,92.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
