game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,BGYR,1B2W,LLM,132,WGBY,1B1W,CSS,24,BRRY,1B2W,CSS,3,RGRB,0B4W,CSS,1,GRBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,BGBR,2B1W,LLM,40,GRBR,1B2W,CSS,8,RGBO,3B0W,CSS,3,RGBG,3B0W,CSS,2,RGBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,YGBO,0B2W,LLM,312,WOWB,0B2W,CSS,41,OWOG,0B1W,CSS,5,RBYW,2B1W,CSS,1,BYYW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,3,YWGB,0B4W,LLM,9,BYWG,2B2W,CSS,2,BGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,YBGY,0B2W,LLM,222,GGBR,0B3W,CSS,5,BWRG,2B1W,CSS,1,BROG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,4,BGYR,1B1W,LLM,252,BBGO,0B1W,CSS,50,YGWW,2B1W,CSS,2,GGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,WOGR,0B3W,LLM,136,YWRO,1B2W,CSS,20,RGYO,1B1W,CSS,4,RWOB,3B0W,CSS,1,RWOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,BGRY,2B0W,LLM,96,RORY,1B1W,CSS,24,OGWY,1B1W,CSS,4,BYOY,0B0W,CSS,1,WGRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,GOOD,INVALID,LLM,1296,OOGY,1B1W,CSS,230,GGWY,1B0W,CSS,23,RROY,1B1W,CSS,2,ROWO,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,6,HAVE,INVALID,LLM,1296,GYGR,1B0W,CSS,182,OYBY,2B0W,CSS,16,WYWY,3B0W,CSS,2,YYWY,2B2W,CSS,1,WYYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,ORRR,True,5,YGBO,0B1W,LLM,152,RWYR,1B1W,CSS,30,WWRB,1B0W,CSS,5,GRRR,3B0W,CSS,1,ORRR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,GGRY,1B1W,LLM,230,GOBG,0B2W,CSS,34,WGYB,1B1W,CSS,5,RGOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,BGRY,1B1W,LLM,252,OGYG,2B1W,CSS,8,YGWG,2B0W,CSS,2,RGOG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,RWBG,2B1W,LLM,48,RRBW,2B0W,CSS,9,RGBO,1B1W,CSS,2,RWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RWGY,1B1W,LLM,252,YGOY,1B0W,CSS,29,RGBG,1B1W,CSS,4,GGGW,0B0W,CSS,1,BRBY,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,5,YGGR,2B0W,LLM,105,YYGW,1B0W,CSS,27,YROR,0B0W,CSS,4,GGGG,2B0W,CSS,1,BGGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,5,YYBR,0B1W,LLM,276,ROWW,1B0W,CSS,34,BGWG,0B1W,CSS,4,GOYO,1B1W,CSS,1,OOOB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,3,RWGY,1B1W,LLM,252,GWBG,0B3W,CSS,12,WOGB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,3,YGRR,2B2W,LLM,5,YRRG,0B4W,CSS,1,RGYR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,6,WBGR,1B1W,LLM,252,WWOB,1B1W,CSS,49,OYGB,0B2W,CSS,7,RBOO,0B0W,CSS,2,WGYW,2B2W,CSS,1,WGWY,4B0W,CSS,1,,,,,,,,,,,,,,,,
21,GWGW,True,4,GYOG,1B1W,LLM,230,RYYO,0B0W,CSS,20,WWGG,2B2W,CSS,2,GWGW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,5,DOWN,INVALID,LLM,1296,RGBO,0B1W,CSS,152,GYWW,1B3W,CSS,2,YWGW,2B2W,CSS,1,YWWG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,5,OYGR,0B3W,LLM,136,BGRO,1B2W,CSS,20,GBYO,1B2W,CSS,4,YBRG,1B3W,CSS,1,BRYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,BGBY,1B1W,LLM,230,BOWB,0B1W,CSS,41,GGYO,2B2W,CSS,2,YGGO,1B3W,CSS,1,OGYG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,6,GOOD,INVALID,LLM,1296,YYOO,1B1W,CSS,208,GOOR,1B0W,CSS,21,GYYW,2B1W,CSS,3,GYGY,1B1W,CSS,1,WYYR,4B0W,CSS,1,,,,,,,,,,,,,,,,
26,BYOW,True,5,RWGB,0B2W,LLM,312,GYWY,1B1W,CSS,52,YRWR,0B2W,CSS,10,WBBY,0B3W,CSS,1,BYOW,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,5,BROO,1B1W,LLM,230,YOOG,1B0W,CSS,23,BBRG,1B2W,CSS,3,GRBG,3B0W,CSS,2,RRBG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,5,MAKE,INVALID,LLM,1296,OBGY,0B3W,CSS,136,YOBR,0B3W,CSS,20,RYOG,1B2W,CSS,4,GYRB,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,4,WILL,INVALID,LLM,1296,GBRR,1B2W,CSS,84,BGBR,0B2W,CSS,14,ORRG,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,5,WRGW,0B2W,LLM,222,OYRG,0B3W,CSS,27,RGYB,1B3W,CSS,2,GBYR,1B3W,CSS,1,YGBR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,5,YWBO,0B2W,LLM,312,RBRY,1B1W,CSS,50,RGYW,0B3W,CSS,6,ORGY,0B2W,CSS,1,GBWR,4B0W,CSS,1,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,6,TEXT,INVALID,LLM,1296,YYRR,0B1W,CSS,256,OOYB,1B0W,CSS,34,RWBB,1B2W,CSS,4,GRWB,2B1W,CSS,1,BRGB,4B0W,CSS,1,,,,,,,,,,,,,,,,
