game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,THINK,YG---,4,4,LLM,SHUTS,-G-G-,3,3,CSS,RHETT,-G-G-,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,21,99.62693195949547,21,4,80.95238095238095,4,1,75.0,1,1,0.0,,,,,,
2,PARTY,True,4,SEEDS,-----,5,5,LLM,TIGHT,Y----,5,5,CSS,ALTAR,Y-Y-Y,5.0,4.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1513,73.1213359388879,1513,65,95.70389953734303,65,3,95.38461538461539,3,1,66.66666666666666,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,
4,DIRTY,True,5,THOSE,Y----,5,5,LLM,GIANT,-G--Y,4,4,CSS,THESE,Y----,5.0,5.0,LLM,WITTY,-G-GG,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,5629,136,97.58394030911352,136,6,95.58823529411765,6,6,0.0,6,2,66.66666666666666,2,1,50.0,,,
5,USUAL,True,5,THERE,-----,5,5,LLM,SALIM,YYY--,5,4,CSS,THESE,---Y-,5.0,5.0,LLM,PLANS,-YY-Y,5.0,5.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,1280,77.2606146740096,1280,24,98.125,24,20,16.666666666666664,20,1,95.0,1,1,0.0,,,
6,TRULY,True,4,BRIEF,-G---,4,4,LLM,PROPS,-G---,4,4,CSS,YIELD,Y--G-,4.0,4.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,132,97.65500088825723,132,30,77.27272727272727,30,1,96.66666666666667,1,1,0.0,,,,,,
7,SPENT,True,3,TREAK,Y-G--,4,4,LLM,SWEPT,G-GYG,2,2,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,44,99.21833362941908,44,2,95.45454545454545,2,1,50.0,,,,,,,,,
8,PAUSE,True,6,TREND,--Y--,5,5,LLM,SEXES,YY---,5,5,CSS,HOUSE,--GGG,2.0,2.0,LLM,AMUSE,Y-GGG,2.0,2.0,CSS,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,5629,561,90.03375377509326,561,31,94.4741532976827,31,4,87.09677419354838,4,2,50.0,2,1,50.0,1,1,0.0
9,CRAZY,True,5,THIRS,---Y-,5,5,LLM,GOWER,----Y,5,5,CSS,FRAYS,-GGY-,3.0,3.0,LLM,BRADY,-GG-G,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,5629,584,89.62515544501687,584,76,86.98630136986301,76,2,97.36842105263158,2,1,50.0,1,1,0.0,,,
10,BASES,True,3,BASED,GGGG-,1,1,LLM,BASEL,GGGG-,1,1,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,2,99.96446971042813,2,1,50.0,1,1,0.0,,,,,,,,,
