game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,6,86.04651162790698,6,1,83.33333333333334,,,,,,,,,
2,PARTY,True,3,HOUSE,-----,5,5,LLM,TALIA,YG---,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,9,98.70317002881845,9,1,88.88888888888889,,,,,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,RAINA,Y-G--,4,4,CSS,TRILL,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,21,96.97406340057637,21,2,90.47619047619048,2,1,50.0,,,,,,
4,DIRTY,True,5,HOUSE,-----,5,5,LLM,TALIA,Y--Y-,5,5,CSS,NITTY,-G-GG,2.0,2.0,LLM,FIFTY,-G-GG,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,5629,694,87.67098951856458,694,14,97.98270893371757,14,2,85.71428571428571,2,1,50.0,1,1,0.0,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,47,99.1650381950613,47,1,97.87234042553192,1,1,0.0,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,50,99.1117427607035,50,4,92.0,4,3,25.0,3,1,66.66666666666666,,,,,,
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,RITES,--YYY,5,5,CSS,STEAM,GYG--,3.0,3.0,LLM,SPELT,GGG-G,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,16,96.54427645788337,16,5,68.75,5,1,80.0,1,1,0.0,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,LLM,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,6,99.89340913128441,6,1,83.33333333333334,1,1,0.0,,,,,,,,,
9,CRAZY,True,3,HOUSE,-----,5,5,LLM,CAIRN,GY-Y-,4,4,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,6,99.13544668587896,6,1,83.33333333333334,,,,,,,,,
10,BASES,True,5,HOUSE,---YY,5,4,LLM,DARES,-G-GG,2,2,CSS,GATES,-G-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,56,87.90496760259178,56,37,33.92857142857143,37,3,91.8918918918919,3,1,66.66666666666666,,,
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,18,99.68022739385326,18,2,88.88888888888889,2,1,50.0,,,,,,,,,
12,MEANS,True,3,THINK,---G-,4,4,LLM,LEONA,-G-GY,3,3,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,176,96.87333451767633,176,5,97.1590909090909,5,1,80.0,,,,,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,14,99.75128797299698,14,1,92.85714285714286,1,1,0.0,,,,,,,,,
14,FIRED,True,4,HOUSE,----Y,5,5,LLM,NADER,--YGY,4,4,CSS,TIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,654,88.38159531000179,654,16,97.55351681957187,16,3,81.25,3,1,66.66666666666666,,,,,,
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,LOONS,YG--G,3,3,CSS,FOALS,GG-YG,2.0,2.0,LLM,FOLDS,GGG-G,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,160,97.1575768342512,160,23,85.625,23,2,91.30434782608695,2,1,50.0,1,1,0.0,,,
16,CHILE,True,4,HOUSE,Y---G,4,4,LLM,THINE,-GG-G,2,2,CSS,WHILE,-GGGG,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,23,99.59140166992361,23,3,86.95652173913044,3,1,66.66666666666666,1,1,0.0,,,,,,
17,BLACK,True,3,HOUSE,-----,5,5,LLM,CANAL,YY--Y,5,5,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,3,99.56772334293949,3,1,66.66666666666666,,,,,,,,,
18,GRANT,True,4,HOUSE,-----,5,5,LLM,RAINA,YY-G-,4,3,CSS,GRAND,GGGG-,1.0,1.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,694,87.67098951856458,694,10,98.55907780979827,10,1,90.0,1,1,0.0,,,,,,
19,MEALS,True,5,HOUSE,---YY,5,5,LLM,AIRES,Y--YG,4,4,CSS,MEATS,GGG-G,1.0,1.0,LLM,MEANS,GGG-G,1.0,1.0,CSS,MEALS,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,32,93.08855291576674,32,2,93.75,2,1,50.0,1,1,0.0,,,
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,RENAL,YY-G-,4,3,CSS,DREAM,-GGGG,1.0,1.0,LLM,BREAM,-GGGG,1.0,1.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,5629,654,88.38159531000179,654,12,98.1651376146789,12,2,83.33333333333334,2,1,50.0,1,1,0.0,,,
21,AWAKE,True,5,HOUSE,----G,4,4,LLM,EARLE,-Y--G,4,4,CSS,AGAPE,G-G-G,2.0,2.0,LLM,ABATE,G-G-G,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,5629,286,94.91916859122402,286,20,93.00699300699301,20,3,85.0,3,2,33.33333333333333,2,1,50.0,,,
22,OCCUR,True,3,HOUSE,-YY--,5,5,LLM,TUMOR,-Y-YG,4,4,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,55,99.02291703677385,55,3,94.54545454545455,3,1,66.66666666666666,,,,,,,,,
23,YEARS,True,3,HOUSE,---YY,5,5,LLM,SLEET,Y-Y--,5,5,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,463,91.77473796411441,463,53,88.55291576673866,53,1,98.11320754716981,,,,,,,,,
24,GRADE,True,3,HOUSE,----G,4,4,LLM,RAINE,YY--G,4,3,CSS,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,286,94.91916859122402,286,23,91.95804195804196,23,1,95.65217391304348,,,,,,,,,
25,CHILL,True,3,HOUSE,Y----,5,5,LLM,CHART,GG---,3,3,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,132,97.65500088825723,132,8,93.93939393939394,8,1,87.5,,,,,,,,,
26,FLOOD,True,3,HOUSE,-Y---,5,5,LLM,BARON,---G-,4,4,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,290,94.8481080120803,290,10,96.55172413793103,10,1,90.0,,,,,,,,,
27,APPLY,True,5,HOUSE,-----,5,5,LLM,TRYNA,--Y-Y,5,5,CSS,DALLY,-Y-GG,3.0,3.0,LLM,AMPLY,G-GGG,1.0,1.0,CSS,APPLY,GGGGG,0.0,0.0,LLM,,,,,,5629,694,87.67098951856458,694,34,95.10086455331412,34,2,94.11764705882352,2,1,50.0,1,1,0.0,,,
28,SMILE,True,5,HOUSE,---YG,4,4,LLM,SPATE,G---G,3,3,CSS,SINCE,GY--G,3.0,3.0,LLM,SLIME,GYGYG,2.0,2.0,CSS,SMILE,GGGGG,0.0,0.0,LLM,,,,,,5629,65,98.84526558891456,65,16,75.38461538461539,16,5,68.75,5,1,80.0,1,1,0.0,,,
29,KNOCK,True,4,HOUSE,-Y---,5,5,LLM,RAMON,---YY,5,5,CSS,LINGO,--Y-Y,5.0,5.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,290,94.8481080120803,290,14,95.17241379310344,14,3,78.57142857142857,3,1,66.66666666666666,,,,,,
30,SLEEP,True,5,HOUSE,---YY,5,5,LLM,AIRES,---GY,4,4,CSS,SLEET,GGGG-,1.0,1.0,LLM,SLEEK,GGGG-,1.0,1.0,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,17,96.32829373650108,17,2,88.23529411764706,2,1,50.0,1,1,0.0,,,
31,BRICK,True,5,HOUSE,-----,5,5,LLM,TRYIN,-G-Y-,4,4,CSS,GRILL,-GG--,3.0,3.0,LLM,CRIMP,YGG--,3.0,3.0,CSS,BRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,694,87.67098951856458,694,16,97.69452449567724,16,9,43.75,9,2,77.77777777777779,2,1,50.0,,,
32,WROTE,True,5,HOUSE,-Y--G,4,4,LLM,DROVE,-GG-G,2,2,CSS,GROPE,-GG-G,2.0,2.0,LLM,CROWE,-GGYG,2.0,2.0,CSS,WROTE,GGGGG,0.0,0.0,LLM,,,,,,5629,49,99.12950790548943,49,12,75.51020408163265,12,8,33.33333333333333,8,1,87.5,1,1,0.0,,,
33,RATED,True,3,HOUSE,----Y,5,5,LLM,ALTER,Y-GGY,3,3,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,654,88.38159531000179,654,1,99.84709480122325,1,1,0.0,,,,,,,,,
34,ALERT,True,3,HOUSE,----Y,5,5,LLM,ALIEN,GG-Y-,3,3,CSS,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,654,88.38159531000179,654,2,99.69418960244649,2,1,50.0,,,,,,,,,
35,CAGES,False,6,HOUSE,---YY,5,5,LLM,TALES,-G-GG,2,2,CSS,MAKES,-G-GG,2.0,2.0,LLM,RACES,-GYGG,2.0,2.0,CSS,CAPES,GG-GG,1.0,1.0,LLM,CANES,GG-GG,1.0,1.0,CSS,5629,463,91.77473796411441,463,51,88.98488120950324,51,35,31.372549019607842,35,6,82.85714285714286,6,5,16.666666666666664,5,4,20.0
36,TEDDY,True,3,HOUSE,----Y,5,5,LLM,TREAD,G-Y-Y,4,3,CSS,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,654,88.38159531000179,654,1,99.84709480122325,1,1,0.0,,,,,,,,,
37,COLES,True,4,HOUSE,-G-YY,4,4,LLM,MOSER,-GYG-,3,3,CSS,CODES,GG-GG,1.0,1.0,LLM,COLES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,69,98.77420500977084,69,29,57.971014492753625,29,2,93.10344827586206,2,1,50.0,,,,,,
38,HWANG,True,4,HOUSE,G----,4,4,LLM,HYMAN,G--YY,4,3,CSS,HANNA,GY-G-,3.0,3.0,LLM,HWANG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,40,99.2893942085628,40,2,95.0,2,1,50.0,1,1,0.0,,,,,,
