strategy,game_number,target_word,tier,won,attempts,total_reward,guess_1,feedback_1,hamming_1,levenshtein_1,guess_2,feedback_2,hamming_2,levenshtein_2,guess_3,feedback_3,hamming_3,levenshtein_3,guess_4,feedback_4,hamming_4,levenshtein_4,guess_5,feedback_5,hamming_5,levenshtein_5,guess_6,feedback_6,hamming_6,levenshtein_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,approach,total_violations,strategy_1,strategy_2,strategy_3,strategy_4,strategy_5,strategy_6,win_rate,convergence_rate,avg_hamming
css_true,1,PHOTO,1.0,True,4,7.4,RESIN,-----,5,5,MALTA,---G-,4.0,4.0,BOOTH,-YGGY,3.0,3.0,PHOTO,GGGGG,0.0,0.0,,,,,,,,,5629.0,446.0,92.0767454254752,446.0,9.0,97.98206278026906,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,CSS,0,,,,,,,1.0,1.25,3.0
css_true,2,PARTY,1.0,True,4,8.7,SALEM,-G---,4,4,CARON,-GG--,3.0,3.0,TARDY,YGG-G,2.0,2.0,PARTY,GGGGG,0.0,0.0,,,,,,,,,5629.0,264.0,95.31000177651448,264.0,28.0,89.39393939393939,28.0,1.0,96.42857142857144,1.0,1.0,0.0,,,,,,,CSS,0,,,,,,,1.0,1.0,2.25
css_true,3,TRICK,1.0,True,5,5.9,SEDAN,-----,5,5,GROHL,-G---,4.0,4.0,CRYPT,YG--Y,4.0,4.0,TRUCK,GG-GG,1.0,1.0,TRICK,GGGGG,0.0,0.0,,,,,5629.0,430.0,92.3609877420501,430.0,16.0,96.27906976744184,16.0,2.0,87.5,2.0,1.0,50.0,1.0,1.0,0.0,,,,CSS,0,,,,,,,1.0,1.0,2.8
css_true,4,DIRTY,1.0,True,4,7.4,LEANS,-----,5,5,COURT,---YY,5.0,4.0,WIRTH,-GGG-,2.0,2.0,DIRTY,GGGGG,0.0,0.0,,,,,,,,,5629.0,361.0,93.58678273227927,361.0,9.0,97.50692520775624,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,CSS,0,,,,,,,1.0,1.25,3.0
css_true,5,USUAL,1.0,True,3,9.0,NILES,--Y-Y,5,5,SHALT,Y-YY-,5.0,3.0,USUAL,GGGGG,0.0,0.0,,,,,,,,,,,,,5629.0,45.0,99.20056848463317,45.0,4.0,91.11111111111111,4.0,1.0,75.0,,,,,,,,,,CSS,0,,,,,,,1.0,1.6666666666666667,3.3333333333333335
css_true,6,TRULY,1.0,True,3,8.9,NEARS,---Y-,5,5,PRYOR,-GY--,4.0,4.0,TRULY,GGGGG,0.0,0.0,,,,,,,,,,,,,5629.0,168.0,97.01545567596376,168.0,3.0,98.21428571428572,3.0,1.0,66.66666666666667,,,,,,,,,,CSS,0,,,,,,,1.0,1.6666666666666667,3.0
css_true,7,SPENT,1.0,True,3,10.1,SEDAN,GY--Y,4,4,SHINE,G--GY,3.0,3.0,SPENT,GGGGG,0.0,0.0,,,,,,,,,,,,,5629.0,16.0,99.71575768342512,16.0,3.0,81.25,3.0,1.0,66.66666666666667,,,,,,,,,,CSS,0,,,,,,,1.0,1.3333333333333333,2.3333333333333335
css_true,8,PAUSE,1.0,True,4,8.5,SEONG,YY---,5,5,DARES,-G-YY,4.0,4.0,LAPSE,-GYGG,2.0,2.0,PAUSE,GGGGG,0.0,0.0,,,,,,,,,5629.0,258.0,95.41659264523004,258.0,10.0,96.12403100775194,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,CSS,0,,,,,,,1.0,1.25,2.75
css_true,9,CRAZY,1.0,True,5,6.7,REALS,Y-G--,4,4,GRANT,-GG--,3.0,3.0,BRAID,-GG--,3.0,3.0,CRACK,GGG--,2.0,2.0,CRAZY,GGGGG,0.0,0.0,,,,,5629.0,80.0,98.5787884171256,80.0,15.0,81.25,15.0,3.0,80.0,3.0,2.0,33.333333333333336,2.0,1.0,50.0,,,,CSS,0,,,,,,,1.0,0.8,2.4
css_true,10,BASES,1.0,True,6,6.7,OAKES,-G-GG,2,2,CATES,-G-GG,2.0,2.0,MALES,-G-GG,2.0,2.0,RAVES,-G-GG,2.0,2.0,SAGES,YG-GG,2.0,2.0,BASES,GGGGG,0.0,0.0,5629.0,72.0,98.72090957541305,72.0,49.0,31.944444444444443,49.0,31.0,36.73469387755102,31.0,18.0,41.93548387096774,18.0,2.0,88.88888888888889,2.0,1.0,50.0,CSS,0,,,,,,,1.0,0.3333333333333333,1.6666666666666667
