metric,F,p,eta_sq_p,omega_sq,n_subjects,n_conditions
win_rate,616.0379788335488,1.362718544857658e-292,0.8615458158439359,0.8599754745858976,100,8
total_violations,2652.9610974908915,0.0,0.9640256542542468,0.9636122549170989,100,8
attempts,187.79494762485163,2.0613410942516398e-155,0.6548056344092257,0.6509945518544409,100,8
hamming_1,2.381876432377655,0.02065377096779216,0.023494104826185393,0.01361122934002695,100,8
hamming_2,22.055949308150744,5.3884455541986854e-27,0.1821963268571527,0.1737306655462995,100,8
hamming_3,64.87561048011942,9.873293770358393e-71,0.4109286436506855,0.4042287679470677,94,8
hamming_4,77.19330217759497,2.1855313867810125e-58,0.6880384183309162,0.678261591267729,36,8
hamming_5,9.593122080529499,0.00020458723996644003,0.8274839179552008,0.7322032458446862,3,8
candidates_after_1,7.85423570987171,3.547098123289882e-09,0.07350420559085143,0.06406001814746408,100,8
reduction_rate_1,7.8542442734350795,3.547008225948371e-09,0.07350427984251548,0.06406009305586102,100,8
convergence_rate,766.2353088585685,0.0,0.885580258934876,0.884278502650953,100,8
