metric,metric_id,approach,rank,count,mean,std,se,ci_95,median,min,max
Win Rate,win_rate,VOI,1,100,0.99,0.09999999999999999,0.009999999999999998,0.019599999999999996,1.0,0.0,1.0
Win Rate,win_rate,Mid_LLM,2,100,0.9633333333333333,0.11503183573395341,0.011503183573395342,0.02254623980385487,1.0,0.3333333333333333,1.0
Win Rate,win_rate,CSS,3,100,0.96,0.1969463855669324,0.01969463855669324,0.03860149157111875,1.0,0.0,1.0
Win Rate,win_rate,Small_LLM,4,100,0.946,0.12011778731013498,0.012011778731013497,0.023543086312786454,1.0,0.4,1.0
Win Rate,win_rate,Hybrid,5,100,0.9448148148148148,0.10652656863560413,0.010652656863560412,0.02087920745257841,1.0,0.4814814814814814,1.0
Win Rate,win_rate,Frontier_LLM,6,100,0.93,0.15922793521720793,0.015922793521720793,0.031208675302572753,1.0,0.3333333333333333,1.0
Win Rate,win_rate,Random,7,100,0.91,0.28762349126466136,0.028762349126466136,0.056374204287873625,1.0,0.0,1.0
Win Rate,win_rate,Pure_Random,8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attempts,attempts,VOI,1,100,3.96,0.920254685871627,0.09202546858716269,0.18036991843083888,4.0,2.0,7.0
Attempts,attempts,CSS,2,100,3.98,1.0915654591068515,0.10915654591068516,0.2139468299849429,4.0,2.0,7.0
Attempts,attempts,Hybrid,3,100,4.2662962962962965,0.47958401908201226,0.04795840190820123,0.0939984677400744,4.148148148148148,3.2962962962962963,5.518518518518518
Attempts,attempts,Frontier_LLM,4,100,4.326666666666667,0.7639168957216639,0.07639168957216638,0.1497277115614461,4.333333333333333,2.3333333333333335,6.0
Attempts,attempts,Small_LLM,5,100,4.328,0.5696144363168884,0.056961443631688834,0.11164442951811011,4.2,3.2,5.8
Attempts,attempts,Mid_LLM,6,100,4.333333333333333,0.6914582258636296,0.06914582258636295,0.13552581226927138,4.333333333333333,2.3333333333333335,6.0
Attempts,attempts,Random,7,100,4.67,1.198104563656506,0.1198104563656506,0.23482849447667517,5.0,2.0,7.0
Attempts,attempts,Pure_Random,8,100,7.0,0.0,0.0,0.0,7.0,7.0,7.0
Hamming Distance (Round 1),hamming_1,CSS,1,100,4.37,0.8245598764789551,0.08245598764789551,0.1616137357898752,5.0,1.0,5.0
Hamming Distance (Round 1),hamming_1,Pure_Random,2,100,4.51,0.7176701923937657,0.07176701923937658,0.1406633577091781,5.0,2.0,5.0
Hamming Distance (Round 1),hamming_1,Hybrid,3,100,4.53037037037037,0.308659034320932,0.0308659034320932,0.06049717072690267,4.592592592592593,3.4444444444444446,4.962962962962963
Hamming Distance (Round 1),hamming_1,Mid_LLM,4,100,4.536666666666667,0.37871245040239543,0.037871245040239546,0.07422764027886951,4.666666666666667,3.3333333333333335,5.0
Hamming Distance (Round 1),hamming_1,VOI,5,100,4.57,0.6396811074214395,0.06396811074214395,0.12537749705460213,5.0,2.0,5.0
Hamming Distance (Round 1),hamming_1,Frontier_LLM,6,100,4.586666666666667,0.5149177524682543,0.05149177524682543,0.10092387948377785,4.833333333333334,2.6666666666666665,5.0
Hamming Distance (Round 1),hamming_1,Small_LLM,7,100,4.622,0.2783718899079232,0.027837188990792322,0.05456089042195295,4.6,3.6,5.0
Hamming Distance (Round 1),hamming_1,Random,8,100,4.64,0.5599422769673258,0.05599422769673258,0.10974868628559586,5.0,3.0,5.0
Hamming Distance (Round 2),hamming_2,CSS,1,100,3.33,1.2637526289075354,0.12637526289075354,0.24769551526587694,4.0,0.0,5.0
Hamming Distance (Round 2),hamming_2,VOI,2,100,3.4,1.2792042981336629,0.1279204298133663,0.25072404243419794,4.0,0.0,5.0
Hamming Distance (Round 2),hamming_2,Hybrid,3,100,3.514074074074074,0.5237097852070124,0.05237097852070124,0.10264711790057443,3.5555555555555554,2.037037037037037,4.592592592592593
Hamming Distance (Round 2),hamming_2,Mid_LLM,4,100,3.583333333333333,0.7819154012583637,0.07819154012583637,0.15325541864663927,3.6666666666666665,0.6666666666666666,5.0
Hamming Distance (Round 2),hamming_2,Frontier_LLM,5,100,3.59,0.9160680628901778,0.09160680628901778,0.17954934032647485,3.6666666666666665,0.6666666666666666,5.0
Hamming Distance (Round 2),hamming_2,Small_LLM,6,100,3.73,0.5842201051942079,0.05842201051942079,0.11450714061806475,3.8,1.8,5.0
Hamming Distance (Round 2),hamming_2,Random,7,100,3.86,1.063821964295329,0.10638219642953291,0.2085091050018845,4.0,0.0,5.0
Hamming Distance (Round 2),hamming_2,Pure_Random,8,100,4.58,0.7132228744837542,0.07132228744837542,0.1397916833988158,5.0,1.0,5.0
Hamming Distance (Round 3),hamming_3,CSS,1,98,1.5408163265306123,1.5275367095117403,0.15430450940101956,0.30243683842599833,1.0,0.0,5.0
Hamming Distance (Round 3),hamming_3,VOI,2,97,1.7731958762886597,1.4965596284978038,0.15195260796890386,0.29782711161905157,2.0,0.0,5.0
Hamming Distance (Round 3),hamming_3,Hybrid,3,100,2.1092235769061856,0.5882482816268295,0.05882482816268295,0.11529666319885859,2.0570370370370368,1.1111111111111112,4.0
Hamming Distance (Round 3),hamming_3,Frontier_LLM,4,100,2.2316666666666665,1.1546750238809236,0.11546750238809236,0.22631630468066102,2.3333333333333335,0.0,4.333333333333333
Hamming Distance (Round 3),hamming_3,Mid_LLM,5,100,2.3216666666666668,0.9666884358398689,0.09666884358398689,0.1894709334246143,2.3333333333333335,0.0,4.333333333333333
Hamming Distance (Round 3),hamming_3,Small_LLM,6,100,2.347,0.8033018980395473,0.08033018980395473,0.15744717201575129,2.2,0.2,4.4
Hamming Distance (Round 3),hamming_3,Random,7,99,2.3737373737373737,1.4112222129789755,0.14183316897776602,0.2779930111964214,2.0,0.0,5.0
Hamming Distance (Round 3),hamming_3,Pure_Random,8,100,4.59,0.6528105515091006,0.06528105515091007,0.12795086809578374,5.0,2.0,5.0
Hamming Distance (Round 4),hamming_4,CSS,1,61,0.6065573770491803,0.8016376680394154,0.10263918585244935,0.20117280427080073,0.0,0.0,3.0
Hamming Distance (Round 4),hamming_4,VOI,2,69,0.6231884057971014,0.9716790997056456,0.11697641734367634,0.22927377799360563,0.0,0.0,3.0
Hamming Distance (Round 4),hamming_4,Hybrid,3,100,0.9402124547605568,0.40768708655420133,0.040768708655420136,0.07990666896462346,0.9069264069264069,0.0,1.96
Hamming Distance (Round 4),hamming_4,Small_LLM,4,100,1.0523333333333333,0.7258688821811881,0.0725868882181188,0.14227030090751286,1.0,0.0,2.6
Hamming Distance (Round 4),hamming_4,Frontier_LLM,5,95,1.0649122807017544,0.9171645124046631,0.09409909350279203,0.18443422326547237,1.0,0.0,5.0
Hamming Distance (Round 4),hamming_4,Mid_LLM,6,99,1.2037037037037037,0.953735808777948,0.09585405535886665,0.18787394850337863,1.0,0.0,4.0
Hamming Distance (Round 4),hamming_4,Random,7,84,1.2976190476190477,1.2493830950461247,0.13631887154873984,0.2671849882355301,1.0,0.0,4.0
Hamming Distance (Round 4),hamming_4,Pure_Random,8,100,4.67,0.5869799439039247,0.05869799439039247,0.11504806900516924,5.0,2.0,5.0
Hamming Distance (Round 5),hamming_5,VOI,1,24,0.3333333333333333,0.701964118163034,0.14328782560351588,0.2808441381828911,0.0,0.0,2.0
Hamming Distance (Round 5),hamming_5,CSS,2,26,0.46153846153846156,0.7605665904189709,0.14915938022819478,0.29235238524726176,0.0,0.0,3.0
Hamming Distance (Round 5),hamming_5,Mid_LLM,3,80,0.5270833333333333,0.751203324406353,0.0839870849148216,0.16461468643305033,0.0,0.0,3.0
Hamming Distance (Round 5),hamming_5,Small_LLM,4,92,0.5454710144927536,0.743392149568111,0.07750398924091198,0.1519078189121875,0.125,0.0,4.0
Hamming Distance (Round 5),hamming_5,Frontier_LLM,5,73,0.5958904109589042,0.796848445197431,0.09326405616736032,0.18279755008802623,0.0,0.0,4.0
Hamming Distance (Round 5),hamming_5,Hybrid,6,99,0.6480142700367394,0.4361237414939484,0.043832085233375125,0.08591088705741524,0.5833333333333334,0.0,2.0
Hamming Distance (Round 5),hamming_5,Random,7,51,0.7058823529411765,0.9229109956449499,0.12923338865320846,0.25329744176028857,0.0,0.0,4.0
Hamming Distance (Round 5),hamming_5,Pure_Random,8,100,4.57,0.6854181058288291,0.06854181058288292,0.1343419487424505,5.0,2.0,5.0
Hamming Distance (Round 6),hamming_6,VOI,1,5,0.2,0.447213595499958,0.2,0.392,0.0,0.0,1.0
Hamming Distance (Round 6),hamming_6,Hybrid,2,89,0.2641926967178298,0.40213808003456536,0.04262655123064672,0.08354804041206758,0.0,0.0,2.25
Hamming Distance (Round 6),hamming_6,Mid_LLM,3,34,0.33333333333333337,0.7047219285881464,0.12085881367176726,0.23688327479666382,0.0,0.0,3.0
Hamming Distance (Round 6),hamming_6,Small_LLM,4,46,0.4003623188405797,0.5833649634856825,0.08601247136855916,0.16858444388237595,0.0,0.0,2.0
Hamming Distance (Round 6),hamming_6,CSS,5,9,0.4444444444444444,0.5270462766947299,0.17568209223157663,0.3443369007738902,0.0,0.0,1.0
Hamming Distance (Round 6),hamming_6,Random,6,24,0.4583333333333333,0.6580053301400784,0.13431477557289842,0.2632569601228809,0.0,0.0,2.0
Hamming Distance (Round 6),hamming_6,Frontier_LLM,7,36,0.5787037037037037,0.71323776742036,0.11887296123672668,0.2329910040239843,0.16666666666666666,0.0,2.0
Hamming Distance (Round 6),hamming_6,Pure_Random,8,100,4.57,0.7142842712828139,0.07142842712828139,0.13999971717143153,5.0,2.0,5.0
Constraint Violations,total_violations,CSS,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constraint Violations,total_violations,Random,2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constraint Violations,total_violations,VOI,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constraint Violations,total_violations,Frontier_LLM,4,100,0.04333333333333333,0.1813715051920309,0.01813715051920309,0.035548815017638055,0.0,0.0,1.0
Constraint Violations,total_violations,Small_LLM,5,100,0.12,0.2510583657843391,0.02510583657843391,0.04920743969373047,0.0,0.0,1.0
Constraint Violations,total_violations,Mid_LLM,6,100,0.15666666666666665,0.4088114770814175,0.04088114770814175,0.08012704950795783,0.0,0.0,2.3333333333333335
Constraint Violations,total_violations,Hybrid,7,100,0.28148148148148144,0.21357408371637326,0.021357408371637326,0.04186052040840916,0.2592592592592592,0.0,0.925925925925926
Constraint Violations,total_violations,Pure_Random,8,100,20.67,3.9467541964085737,0.3946754196408574,0.7735638224960805,21.0,10.0,31.0
Search Space (Candidates After R1),candidates_after_1,CSS,1,100,194.18,169.27100857333585,16.927100857333585,33.177117680373826,130.5,4.0,622.0
Search Space (Candidates After R1),candidates_after_1,Hybrid,2,100,326.66555555555556,137.72632346131107,13.772632346131108,26.99435939841697,331.94444444444446,73.85185185185185,701.3703703703703
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,3,100,402.75666666666666,289.49329879099685,28.949329879099686,56.74068656303538,325.0,15.0,1219.6666666666667
Search Space (Candidates After R1),candidates_after_1,VOI,4,100,410.8,441.58950726811094,44.15895072681109,86.55154342454973,238.5,3.0,1710.0
Search Space (Candidates After R1),candidates_after_1,Mid_LLM,5,100,451.4266666666666,336.7427692763909,33.67427692763909,66.00158277817262,360.83333333333337,3.6666666666666665,1360.0
Search Space (Candidates After R1),candidates_after_1,Small_LLM,6,100,478.596,256.5475252484636,25.654752524846362,50.283314948698866,435.79999999999995,43.6,1136.6
Search Space (Candidates After R1),candidates_after_1,Pure_Random,7,100,495.77,611.6986096027185,61.169860960271855,119.89292748213283,210.5,2.0,2925.0
Search Space (Candidates After R1),candidates_after_1,Random,8,100,505.38,541.8630372253779,54.18630372253779,106.20515529617406,284.5,1.0,2594.0
Search Space Reduction (Round 1),reduction_rate_1,CSS,1,100,96.55036418546811,3.007123975365713,0.3007123975365713,0.5893962991716798,97.68164860543612,88.95007994315154,99.92893942085628
Search Space Reduction (Round 1),reduction_rate_1,Hybrid,2,100,94.19673910897929,2.446728077124022,0.2446728077124022,0.4795587031163083,94.10295888355932,87.54005382180901,98.68801115914276
