metric,metric_id,group1,group2,meandiff,p_adj,sig_level,significant,lower,upper
Constraint Violations,total_violations,Pure_Random,Random,-20.67,0.0,***,Yes,-21.27562899186288,-20.064371008137122
Constraint Violations,total_violations,Hybrid,Pure_Random,20.38851851851852,0.0,***,Yes,19.78288952665564,20.9941475103814
Constraint Violations,total_violations,CSS,Pure_Random,20.67,0.0,***,Yes,20.064371008137122,21.27562899186288
Constraint Violations,total_violations,Pure_Random,VOI,-20.67,0.0,***,Yes,-21.27562899186288,-20.064371008137122
Constraint Violations,total_violations,Pure_Random,Small_LLM,-20.55,0.0,***,Yes,-21.15562899186288,-19.94437100813712
Constraint Violations,total_violations,Frontier_LLM,Pure_Random,20.62666666666667,0.0,***,Yes,20.02103767480379,21.232295658529548
Constraint Violations,total_violations,Mid_LLM,Pure_Random,20.513333333333335,0.0,***,Yes,19.907704341470456,21.118962325196215
Constraint Violations,total_violations,CSS,Hybrid,0.28148148148148144,0.8515680507167596,ns,No,-0.32414751038139666,0.8871104733443596
Constraint Violations,total_violations,Hybrid,VOI,-0.28148148148148144,0.8515680507167596,ns,No,-0.8871104733443596,0.32414751038139666
Constraint Violations,total_violations,Hybrid,Random,-0.28148148148148144,0.8515680507167596,ns,No,-0.8871104733443596,0.32414751038139666
Constraint Violations,total_violations,Frontier_LLM,Hybrid,0.2381481481481481,0.9333620458194526,ns,No,-0.36748084371473,0.8437771400110262
Constraint Violations,total_violations,Hybrid,Small_LLM,-0.16148148148148145,0.992556315500002,ns,No,-0.7671104733443596,0.44414751038139666
Constraint Violations,total_violations,Mid_LLM,VOI,-0.15666666666666665,0.9938119373386061,ns,No,-0.7622956585295447,0.4489623251962115
Constraint Violations,total_violations,CSS,Mid_LLM,0.15666666666666665,0.9938119373386061,ns,No,-0.4489623251962115,0.7622956585295447
Constraint Violations,total_violations,Mid_LLM,Random,-0.15666666666666665,0.9938119373386061,ns,No,-0.7622956585295447,0.4489623251962115
Constraint Violations,total_violations,Hybrid,Mid_LLM,-0.1248148148148148,0.9985201138709556,ns,No,-0.7304438066776929,0.4808141770480633
Constraint Violations,total_violations,Random,Small_LLM,0.12,0.9988521832695034,ns,No,-0.4856289918628781,0.7256289918628781
Constraint Violations,total_violations,Small_LLM,VOI,-0.12,0.9988521832695034,ns,No,-0.7256289918628781,0.4856289918628781
Constraint Violations,total_violations,CSS,Small_LLM,0.12,0.9988521832695034,ns,No,-0.4856289918628781,0.7256289918628781
Constraint Violations,total_violations,Frontier_LLM,Mid_LLM,0.11333333333333331,0.9992087230758545,ns,No,-0.4922956585295448,0.7189623251962114
Constraint Violations,total_violations,Frontier_LLM,Small_LLM,0.07666666666666666,0.9999417612275988,ns,No,-0.5289623251962114,0.6822956585295448
Constraint Violations,total_violations,Frontier_LLM,VOI,-0.04333333333333333,0.9999988447299032,ns,No,-0.6489623251962114,0.5622956585295448
Constraint Violations,total_violations,Frontier_LLM,Random,-0.04333333333333333,0.9999988447299032,ns,No,-0.6489623251962114,0.5622956585295448
Constraint Violations,total_violations,CSS,Frontier_LLM,0.04333333333333333,0.9999988447299032,ns,No,-0.5622956585295448,0.6489623251962114
Constraint Violations,total_violations,Mid_LLM,Small_LLM,-0.03666666666666665,0.9999996376675102,ns,No,-0.6422956585295447,0.5689623251962115
Constraint Violations,total_violations,CSS,VOI,0.0,1.0,ns,No,-0.6056289918628781,0.6056289918628781
Constraint Violations,total_violations,CSS,Random,0.0,1.0,ns,No,-0.6056289918628781,0.6056289918628781
Constraint Violations,total_violations,Random,VOI,0.0,1.0,ns,No,-0.6056289918628781,0.6056289918628781
