Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
approach,CSS,Frontier_LLM,True,True,5.956562298540256,99.0,two-sided,3.947900933473004e-08,1.1054122613724412e-06,bonf,2.975e+05,0.8762153421751127
approach,CSS,Hybrid,True,True,6.50205603103729,99.0,two-sided,3.2426662930694776e-09,9.079465620594538e-08,bonf,3.248e+06,0.8553286697402163
approach,CSS,Mid_LLM,True,True,7.220855011306942,99.0,two-sided,1.0736516518657803e-10,3.0062246252241848e-09,bonf,8.586e+07,0.9616240097891903
approach,CSS,Pure_Random,True,True,4.618059203273068,99.0,two-sided,1.166038929167056e-05,0.00032649090016677567,bonf,1364.108,0.669455814144977
approach,CSS,Random,True,True,5.461521280260111,99.0,two-sided,3.5143304850450744e-07,9.840125358126209e-06,bonf,3.716e+04,0.7723169676485322
approach,CSS,Small_LLM,True,True,9.804520972019223,99.0,two-sided,2.920717085547126e-16,8.178007839531953e-15,bonf,2.121e+13,1.3037410056253071
approach,CSS,VOI,True,True,4.712155337860072,99.0,two-sided,8.015010346854364e-06,0.00022442028971192217,bonf,1939.066,0.6453197846130453
approach,Frontier_LLM,Hybrid,True,True,-3.2669783971076876,99.0,two-sided,0.001494438133258165,0.04184426773122862,bonf,15.449,-0.3344026698473088
approach,Frontier_LLM,Mid_LLM,True,True,1.1897156836307783,99.0,two-sided,0.23700355836138215,1.0,bonf,0.219,0.1544276081594638
approach,Frontier_LLM,Pure_Random,True,True,1.4097781358339758,99.0,two-sided,0.16173904885451948,1.0,bonf,0.289,0.19360710455714478
approach,Frontier_LLM,Random,True,True,1.672358478765137,99.0,two-sided,0.09761128696563402,1.0,bonf,0.424,0.2353071944743183
approach,Frontier_LLM,Small_LLM,True,True,2.0338904880050763,99.0,two-sided,0.04463776434299348,1.0,bonf,0.796,0.27618590637993345
approach,Frontier_LLM,VOI,True,True,0.16153725850686576,99.0,two-sided,0.8719994785619957,1.0,bonf,0.112,0.02142954206167151
approach,Hybrid,Mid_LLM,True,True,3.7912790632227997,99.0,two-sided,0.000257785858595404,0.007218004040671312,bonf,76.754,0.4831771926350968
approach,Hybrid,Pure_Random,True,True,2.7834942068698427,99.0,two-sided,0.00644216859765335,0.18038072073429381,bonf,4.189,0.37996542294100666
approach,Hybrid,Random,True,True,3.2405373937280677,99.0,two-sided,0.0016253693315901605,0.0455103412845245,bonf,14.321,0.4503404439787215
approach,Hybrid,Small_LLM,True,True,5.543639867008308,99.0,two-sided,2.4601731878010415e-07,6.888484925842916e-06,bonf,5.213e+04,0.7351516094389108
approach,Hybrid,VOI,True,True,1.8621933308034977,99.0,two-sided,0.06554162805998572,1.0,bonf,0.582,0.2562490648766355
approach,Mid_LLM,Pure_Random,True,True,0.6194602533687652,99.0,two-sided,0.5370362306962471,1.0,bonf,0.133,0.08942137273608028
approach,Mid_LLM,Random,True,True,0.9002795329476795,99.0,two-sided,0.37015627246500094,1.0,bonf,0.164,0.11909271176763042
approach,Mid_LLM,Small_LLM,True,True,0.7257696990259208,99.0,two-sided,0.46969222379692577,1.0,bonf,0.143,0.0903599818088593
approach,Mid_LLM,VOI,True,True,-0.7453867312018733,99.0,two-sided,0.457804002105374,1.0,bonf,0.145,-0.10312210246827086
approach,Pure_Random,Random,True,True,0.12165885369010607,99.0,two-sided,0.9034158018092827,1.0,bonf,0.112,0.01656791749456951
approach,Pure_Random,Small_LLM,True,True,-0.25552102742061955,99.0,two-sided,0.7988508312634119,1.0,bonf,0.114,-0.036463227797591355
approach,Pure_Random,VOI,True,True,-1.13793840689518,99.0,two-sided,0.2578926411825759,1.0,bonf,0.207,-0.15867440431826813
approach,Random,Small_LLM,True,True,-0.4716468134023528,99.0,two-sided,0.6382167229749249,1.0,bonf,0.123,-0.06292611459561505
approach,Random,VOI,True,True,-1.339234616246493,99.0,two-sided,0.18356096699007338,1.0,bonf,0.263,-0.19062498580902756
approach,Small_LLM,VOI,True,True,-1.4998986798218696,99.0,two-sided,0.13682303453833766,1.0,bonf,0.327,-0.18704397779094964
