metric,metric_id,n_total,n_groups,df_between,df_within,F_statistic,p_value,eta_squared,effect_size,significant
Win Rate,win_rate,800,8,7,792,462.22199123964305,1.094401590296169e-274,0.8033545888996694,large,Yes
Attempts,attempts,800,8,7,792,154.69144441444098,1.5303244265920668e-143,0.5775639771119745,large,Yes
Hamming Distance (Round 1),hamming_1,800,8,7,792,2.2612238333235157,0.027783041788184522,0.01959396768464555,small,Yes
Hamming Distance (Round 2),hamming_2,800,8,7,792,17.917832701826736,3.5609951011996796e-22,0.13671401182963894,medium,Yes
Hamming Distance (Round 3),hamming_3,794,8,7,786,67.51797850605193,3.5648848598265303e-76,0.3755094094994239,large,Yes
Hamming Distance (Round 4),hamming_4,708,8,7,700,236.03327157200883,1.6904305749760215e-179,0.7024104204557291,large,Yes
Hamming Distance (Round 5),hamming_5,545,8,7,537,365.6049409835005,1.1510013031696335e-199,0.8265635290443746,large,Yes
Hamming Distance (Round 6),hamming_6,343,8,7,335,471.0479135128632,3.624054140474259e-169,0.9077728338360639,large,Yes
Constraint Violations,total_violations,800,8,7,792,2667.724035115279,0.0,0.9593138177674593,large,Yes
Search Space (Candidates After R1),candidates_after_1,800,8,7,792,7.44340833400894,1.0912953816310119e-08,0.06172683352099433,medium,Yes
Search Space Reduction (Round 1),reduction_rate_1,800,8,7,792,7.443423804207428,1.0912450411601058e-08,0.06172695389349444,medium,Yes
Convergence Rate (Hamming/round),convergence_rate,800,8,7,792,737.7116673451366,0.0,0.8670244396820463,large,Yes
