Game_Number,Hybrid_codestral-22b_CSS_CoT,Hybrid_codestral-22b_CSS_ZeroShot,Hybrid_codestral-22b_Random_CoT,Hybrid_codestral-22b_Random_ZeroShot,Hybrid_codestral-22b_VOI_CoT,Hybrid_codestral-22b_VOI_ZeroShot,Hybrid_gemma-27b_CSS_CoT,Hybrid_gemma-27b_CSS_ZeroShot,Hybrid_gemma-27b_Random_CoT,Hybrid_gemma-27b_Random_ZeroShot,Hybrid_gemma-27b_VOI_CoT,Hybrid_gemma-27b_VOI_ZeroShot,Hybrid_granite-8b_CSS_CoT,Hybrid_granite-8b_CSS_ZeroShot,Hybrid_granite-8b_Random_CoT,Hybrid_granite-8b_Random_ZeroShot,Hybrid_granite-8b_VOI_CoT,Hybrid_granite-8b_VOI_ZeroShot,Hybrid_llama-3.1-70b_CSS_CoT,Hybrid_llama-3.1-70b_CSS_ZeroShot,Hybrid_llama-3.1-70b_Random_CoT,Hybrid_llama-3.1-70b_Random_ZeroShot,Hybrid_llama-3.1-70b_VOI_CoT,Hybrid_llama-3.1-70b_VOI_ZeroShot,Hybrid_llama-3.1-8b_CSS_CoT,Hybrid_llama-3.1-8b_CSS_ZeroShot,Hybrid_llama-3.1-8b_Random_CoT,Hybrid_llama-3.1-8b_Random_ZeroShot,Hybrid_llama-3.1-8b_VOI_CoT,Hybrid_llama-3.1-8b_VOI_ZeroShot,Hybrid_llama-3.3-70b_CSS_CoT,Hybrid_llama-3.3-70b_CSS_ZeroShot,Hybrid_llama-3.3-70b_Random_CoT,Hybrid_llama-3.3-70b_Random_ZeroShot,Hybrid_llama-3.3-70b_VOI_CoT,Hybrid_llama-3.3-70b_VOI_ZeroShot,Hybrid_mistral-7b_CSS_CoT,Hybrid_mistral-7b_CSS_ZeroShot,Hybrid_mistral-7b_Random_CoT,Hybrid_mistral-7b_Random_ZeroShot,Hybrid_mistral-7b_VOI_CoT,Hybrid_mistral-7b_VOI_ZeroShot,Hybrid_mistral-small_CSS_CoT,Hybrid_mistral-small_CSS_ZeroShot,Hybrid_mistral-small_Random_CoT,Hybrid_mistral-small_Random_ZeroShot,Hybrid_mistral-small_VOI_CoT,Hybrid_mistral-small_VOI_ZeroShot,Hybrid_nemotron-8b_CSS_CoT,Hybrid_nemotron-8b_CSS_ZeroShot,Hybrid_nemotron-8b_Random_CoT,Hybrid_nemotron-8b_Random_ZeroShot,Hybrid_nemotron-8b_VOI_CoT,Hybrid_nemotron-8b_VOI_ZeroShot,PureLLM_codestral-22b_CoT,PureLLM_codestral-22b_ZeroShot,PureLLM_gemma-27b_CoT,PureLLM_gemma-27b_ZeroShot,PureLLM_gpt-oss-120b_CoT,PureLLM_gpt-oss-120b_ZeroShot,PureLLM_gpt-oss-20b_CoT,PureLLM_gpt-oss-20b_ZeroShot,PureLLM_granite-8b_CoT,PureLLM_granite-8b_ZeroShot,PureLLM_llama-3.1-70b_CoT,PureLLM_llama-3.1-70b_ZeroShot,PureLLM_llama-3.1-8b_CoT,PureLLM_llama-3.1-8b_ZeroShot,PureLLM_llama-3.3-70b_CoT,PureLLM_llama-3.3-70b_ZeroShot,PureLLM_mistral-7b_CoT,PureLLM_mistral-7b_ZeroShot,PureLLM_mistral-small_CoT,PureLLM_mistral-small_ZeroShot,PureLLM_nemotron-8b_CoT,PureLLM_nemotron-8b_ZeroShot,Pure_Algo_css,Pure_Algo_css_then_voi,Pure_Algo_css_voi_alternating,Pure_Algo_pure_random,Pure_Algo_random,Pure_Algo_voi,Pure_Algo_voi_css_alternating,Pure_Algo_voi_then_css
1,4,3,4,3,3,4,3,3,3,5,3,4,3,3,4,5,3,4,4,3,3,5,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,5,6,3,4,3,5,4,3,4,3,3,4,3,4,3,4,3,4,3,3,5,5,4,3,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,Loss,4,4,4,4
2,4,5,3,4,4,4,3,4,3,4,3,4,5,4,4,3,3,4,4,4,3,4,5,4,3,4,3,5,6,4,3,4,3,3,3,5,3,5,5,5,4,4,5,5,5,3,6,4,4,4,4,3,4,4,4,Loss,5,4,4,5,4,4,5,5,4,4,3,4,4,4,5,3,3,4,6,6,4,4,4,Loss,6,4,5,4
3,3,4,3,2,4,3,3,5,5,4,2,2,3,5,2,4,2,4,4,4,5,6,4,4,2,3,2,4,2,4,4,4,2,4,4,4,5,4,2,4,5,3,5,5,4,4,4,4,4,4,4,6,3,4,4,4,4,3,3,6,5,5,5,2,2,4,5,Loss,5,6,3,3,4,4,5,Loss,5,3,4,Loss,4,3,4,5
4,4,3,5,6,3,4,3,4,3,4,2,4,2,3,5,4,3,4,3,4,3,4,4,3,4,3,4,6,3,4,5,3,4,4,3,4,3,5,4,4,2,3,3,4,5,4,5,5,4,3,3,4,4,3,5,4,3,4,4,5,4,5,5,3,5,3,4,4,3,4,4,4,4,4,5,5,4,4,3,Loss,4,4,4,4
5,5,4,5,3,4,5,3,5,5,4,4,4,3,5,5,4,4,4,3,3,4,3,3,3,4,4,5,4,4,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,5,4,3,4,5,3,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,3,5,3,3,4,Loss,4,3,3,4
6,3,3,5,5,4,4,4,5,5,5,4,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,5,4,3,5,4,3,4,5,3,3,6,5,5,3,3,4,3,4,2,3,5,5,5,4,6,4,4,3,4,5,5,5,4,3,Loss,3,6,6,2,2,4,5,5,2,5,5,5,4,4,4,3,4,3,Loss,5,4,3,4
7,3,3,4,5,4,4,5,4,3,3,2,4,3,3,3,5,5,4,4,4,4,3,5,4,3,5,5,6,4,5,5,4,4,4,5,4,4,6,3,4,2,5,2,4,4,4,3,4,4,5,3,5,3,3,2,3,4,2,4,4,5,6,5,3,4,5,5,6,5,5,2,4,3,3,4,4,3,3,4,Loss,6,3,3,4
8,5,3,5,5,4,4,4,3,4,4,3,3,5,2,6,4,4,5,3,3,4,3,4,2,4,2,5,3,6,3,3,4,2,4,3,4,4,3,5,4,4,3,4,3,4,3,4,3,4,4,5,6,4,4,5,5,3,4,4,3,3,4,5,4,2,3,4,2,4,3,5,4,3,3,4,5,4,3,5,Loss,6,4,4,4
9,6,4,Loss,2,6,6,5,5,5,Loss,4,5,5,5,5,5,5,5,3,Loss,5,4,5,4,6,6,6,6,5,4,3,5,4,Loss,3,4,Loss,Loss,Loss,5,4,Loss,5,5,5,4,6,5,4,4,5,4,5,5,4,Loss,5,2,5,6,5,Loss,6,3,5,4,3,6,4,5,Loss,6,5,4,3,3,5,6,5,Loss,6,6,4,6
10,Loss,4,5,4,5,4,Loss,5,6,Loss,6,Loss,5,Loss,3,6,5,2,3,5,Loss,6,Loss,Loss,6,Loss,6,5,4,6,5,Loss,6,4,6,Loss,5,3,Loss,5,6,Loss,Loss,Loss,4,5,3,4,Loss,Loss,4,2,6,6,5,4,5,4,4,5,5,6,4,5,Loss,4,Loss,5,Loss,Loss,4,5,3,4,Loss,6,6,Loss,6,Loss,Loss,4,6,5
