Approach,Total_Games,Wins,Losses,Win_Rate_%,Avg_Attempts,Min_Attempts,Max_Attempts,Count_2_Attempts,Count_3_Attempts,Count_4_Attempts,Count_5_Attempts,Count_6_Attempts,Hamming_Attempt_1,Levenshtein_Attempt_1,Hamming_Attempt_2,Levenshtein_Attempt_2,Hamming_Attempt_3,Levenshtein_Attempt_3,Hamming_Attempt_4,Levenshtein_Attempt_4,Hamming_Attempt_5,Levenshtein_Attempt_5,Hamming_Attempt_6,Levenshtein_Attempt_6
Pure_Algo_css_then_voi,100,97,3,97.0,3.77,2.0,6.0,6,29,47,11,4,4.42,4.33,3.12,3.07,1.59,1.57,0.38,0.38,0.56,0.56,0.57,0.57
Hybrid_gemma-27b_CSS_ZeroShot,100,99,1,99.0,3.77,2.0,6.0,7,35,35,18,4,4.37,4.21,3.09,3.0,1.53,1.49,0.66,0.64,0.3,0.3,0.2,0.2
Pure_Algo_css,100,96,4,96.0,3.8541666666666665,2.0,6.0,2,37,35,17,5,4.37,4.31,3.33,3.28,1.5408163265306123,1.520408163265306,0.6065573770491803,0.6065573770491803,0.4615384615384615,0.4615384615384615,0.4444444444444444,0.4444444444444444
Hybrid_gemma-27b_VOI_ZeroShot,100,94,6,94.0,3.85,2.0,6.0,10,27,29,23,5,4.37,4.22,3.13,3.06,1.83,1.8,1.17,1.17,0.44,0.44,0.55,0.55
Pure_Algo_css_voi_alternating,100,100,0,100.0,3.85,2.0,6.0,5,32,41,17,5,4.49,4.39,3.37,3.23,1.71,1.66,0.54,0.54,0.27,0.27,0.0,0.0
Pure_Algo_voi_css_alternating,100,97,3,97.0,3.9,2.0,6.0,2,25,55,11,4,4.46,4.44,3.32,3.27,1.59,1.58,0.38,0.38,0.39,0.39,0.43,0.43
Hybrid_nemotron-8b_CSS_CoT,100,99,1,99.0,3.91,2.0,6.0,5,26,49,11,8,4.45,4.41,3.29,3.16,1.6,1.56,0.41,0.41,0.6,0.6,0.11,0.11
Pure_Algo_voi,100,99,1,99.0,3.93,2.0,6.0,3,28,45,19,4,4.57,4.54,3.4,3.32,1.77,1.73,0.62,0.61,0.33,0.33,0.2,0.2
Hybrid_llama-3.1-70b_CSS_CoT,100,96,4,96.0,3.97,2.0,6.0,2,35,31,20,8,4.54,4.48,3.33,3.24,1.4,1.37,0.83,0.83,0.56,0.56,0.33,0.33
Hybrid_nemotron-8b_CSS_ZeroShot,100,96,4,96.0,3.97,2.0,6.0,1,27,47,16,5,4.46,4.4,3.34,3.28,1.57,1.56,0.51,0.51,0.44,0.44,0.44,0.44
