game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGYW,0B2W,LLM,312,GYBO,2B0W,VOI,27,GOWO,1B0W,VOI,7,GRBG,3B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,5,RGBY,0B2W,LLM,312,YYRO,1B1W,VOI,67,GROO,0B0W,VOI,6,YBYB,1B2W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,ROYG,0B2W,LLM,312,GRBR,0B2W,VOI,52,OWRB,0B2W,VOI,7,BGOO,2B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,ROYW,0B2W,LLM,312,WBGY,0B2W,VOI,64,BYRB,1B1W,VOI,12,BWWR,1B1W,VOI,2,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGBO,1B0W,LLM,108,WYOO,0B2W,VOI,19,BWBY,1B1W,VOI,5,RRWY,2B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,RGBO,1B1W,LLM,252,GWBB,1B0W,VOI,29,YYBR,0B1W,VOI,6,GOYO,0B1W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,6,ROYG,0B2W,LLM,312,GBBR,1B1W,VOI,46,YBGW,0B2W,VOI,9,WRBO,1B1W,VOI,3,OYBB,0B0W,VOI,2,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBY,1B0W,LLM,108,RWOW,1B2W,VOI,7,RRWO,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RRYG,1B0W,LLM,182,BYYW,2B1W,VOI,12,WYYO,3B0W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,ROBY,0B2W,LLM,312,BYYW,0B0W,VOI,21,GROO,1B1W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RRRR,1B0W,LLM,500,BROG,1B2W,VOI,84,GRGO,0B3W,VOI,13,OORG,0B3W,VOI,4,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RBGY,1B1W,LLM,252,YBYW,0B0W,VOI,20,GRGO,0B4W,VOI,1,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,ROYG,1B1W,LLM,252,RYWY,1B1W,VOI,46,OYYB,0B0W,VOI,7,RWGR,3B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,ROYB,0B3W,LLM,136,YGOR,0B2W,VOI,29,WRBO,2B0W,VOI,3,BYBO,2B1W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
