game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,THINK,YG---,4,4,LLM,CHEST,-G--Y,4,4,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,21,99.62693195949547,21,1,95.23809523809523,1,1,0.0,,,,,,,,,
2,PARTY,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--GGY,3,3,CSS,MARTY,-GGGG,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,97,98.27678095576479,97,4,95.87628865979381,4,1,75.0,1,1,0.0,,,,,,
3,TRICK,True,4,ARISE,-GG--,3,3,LLM,FRITZ,-GGY-,3,3,CSS,TRIPP,GGG--,2.0,2.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,29,99.48481080120803,29,4,86.20689655172413,4,2,50.0,2,1,50.0,,,,,,
4,DIRTY,True,3,THING,Y-Y--,5,5,LLM,PARTI,--GGY,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,98,98.25901581097885,98,1,98.9795918367347,1,1,0.0,,,,,,,,,
5,USUAL,True,4,THERE,-----,5,5,LLM,MAILS,-Y-YY,5,5,CSS,SLACK,YYY--,5.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1280,77.2606146740096,1280,8,99.375,8,2,75.0,2,1,50.0,,,,,,
6,TRULY,True,4,THING,G----,4,4,LLM,TASER,G---Y,4,4,CSS,TROLL,GG-G-,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,151,97.31746313732457,151,11,92.71523178807946,11,1,90.9090909090909,1,1,0.0,,,,,,
7,SPENT,True,4,WORDE,----Y,5,5,LLM,TALES,Y--YY,5,5,CSS,STEMS,GYG--,3.0,3.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,632,88.77242849529223,632,15,97.62658227848101,15,2,86.66666666666667,2,1,50.0,,,,,,
8,PAUSE,True,4,EVERY,Y----,5,5,LLM,MEATS,-YY-Y,5,4,CSS,SAUCE,YGG-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,976,82.66121868893231,976,25,97.43852459016394,25,1,96.0,1,1,0.0,,,,,,
9,CRAZY,True,6,ROUTE,Y----,5,5,LLM,BRINK,-G---,4,4,CSS,CRACK,GGG--,2.0,2.0,LLM,CRAPS,GGG--,2.0,2.0,CSS,CRAWL,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,5629,297,94.72375199857879,297,23,92.25589225589226,23,6,73.91304347826086,6,2,66.66666666666666,2,1,50.0,1,1,0.0
10,BASES,True,5,WHICH,-----,5,5,LLM,TAPAS,-G--G,3,3,CSS,FARES,-G-GG,2.0,2.0,LLM,MALES,-G-GG,2.0,2.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,2608,53.66850239829455,2608,73,97.20092024539878,73,29,60.273972602739725,29,13,55.172413793103445,13,1,92.3076923076923,,,
