game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,ABHOR,--YY-,5,4,CSS,CHINO,-G--G,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,43,99.236098774205,43,12,72.09302325581395,12,1,91.66666666666666,1,1,0.0,,,,,,
2,PARTY,True,3,HOUSE,-----,5,5,LLM,ARRAN,Y-G--,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,19,97.26224783861672,19,1,94.73684210526315,,,,,,,,,
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,
4,DIRTY,True,4,BEING,--Y--,5,5,LLM,RAHIM,Y--Y-,5,5,CSS,FIRST,-GG-Y,3.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,393,93.01829809912951,393,8,97.96437659033079,8,1,87.5,1,1,0.0,,,,,,
5,USUAL,True,5,THINK,-----,5,5,LLM,LYCRA,Y---Y,5,5,CSS,ALBUM,YY-Y-,5.0,5.0,LLM,PAULS,-YGYY,4.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,109,93.39794064203512,109,9,91.74311926605505,9,1,88.88888888888889,1,1,0.0,,,
6,TRULY,True,5,THINK,G----,4,4,LLM,TROOP,GG---,3,3,CSS,TRAPS,GG---,3.0,3.0,LLM,TRUCE,GGG--,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,136,97.58394030911352,136,17,87.5,17,4,76.47058823529412,4,2,50.0,2,1,50.0,,,
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,GASES,--YY-,5,5,CSS,STEIN,GYG-Y,3.0,3.0,LLM,SCENT,G-GGG,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,5629,463,91.77473796411441,463,21,95.46436285097192,21,2,90.47619047619048,2,1,50.0,1,1,0.0,,,
8,PAUSE,True,5,THINK,-----,5,5,LLM,BASRA,-GY--,4,4,CSS,SALES,YG-Y-,4.0,4.0,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,75,95.4572986069049,75,2,97.33333333333334,2,1,50.0,1,1,0.0,,,
9,CRAZY,True,6,THESE,-----,5,5,LLM,LUPIN,-----,5,5,CSS,ARROW,YG---,4.0,4.0,LLM,BRAVA,-GG--,3.0,3.0,CSS,GRADY,-GG-G,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,5629,1181,79.01936400781666,1181,180,84.75867908552075,180,11,93.88888888888889,11,4,63.63636363636363,4,1,75.0,1,1,0.0
10,BASES,True,6,THINK,-----,5,5,LLM,VOCAL,---Y-,5,5,CSS,GRAYS,--Y-G,4.0,4.0,LLM,SAFES,YG-GG,2.0,2.0,CSS,GREEN,---G-,4.0,4.0,LLM,BASES,GGGGG,0.0,0.0,CSS,5629,1651,70.66974595842956,1651,278,83.16172016959419,278,13,95.32374100719424,13,2,84.61538461538461,2,1,50.0,1,1,0.0
11,YOUNG,True,3,THINK,---G-,4,4,LLM,FLUNG,--GGG,2,2,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,176,96.87333451767633,176,6,96.5909090909091,6,1,83.33333333333334,,,,,,,,,
12,MEANS,True,3,THINK,---G-,4,4,LLM,DONNE,---GY,4,4,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,176,96.87333451767633,176,17,90.3409090909091,17,1,94.11764705882352,,,,,,,,,
13,TRUTH,True,4,THINK,GY---,4,4,LLM,TEACH,G---G,3,3,CSS,TOOTH,G--GG,2.0,2.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,12,99.78681826256884,12,3,75.0,3,1,66.66666666666666,1,1,0.0,,,,,,
14,FIRED,True,5,THINK,--Y--,5,5,LLM,WILLI,-G---,4,4,CSS,GIVEN,-G-G-,3.0,3.0,LLM,SIDED,-G-GG,2.0,2.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,465,91.73920767454254,465,126,72.90322580645162,126,38,69.84126984126983,38,7,81.57894736842105,7,1,85.71428571428571,,,
