game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,3,MATCH,--Y-Y,5,5,LLM,SHORT,-GG-Y,3,3,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,70,98.7564398649849,70,2,97.14285714285714,2,1,50.0,,,,,,,,,
2,PARTY,True,3,BANDY,-G--G,3,3,LLM,SALTY,-G-GG,2,2,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,63,98.88079587848641,63,6,90.47619047619048,6,1,83.33333333333334,,,,,,,,,
3,TRICK,True,5,GREEN,-G---,4,4,LLM,TRAPS,GG---,3,3,CSS,TRUTH,GG---,3.0,3.0,LLM,TROLL,GG---,3.0,3.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,173,96.9266299520341,173,10,94.21965317919076,10,3,70.0,3,1,66.66666666666666,1,1,0.0,,,
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941177,1,1,0.0,,,,,,,,,
5,USUAL,True,4,WORDS,----Y,5,5,LLM,SPINA,Y---Y,5,5,CSS,ASSET,YG---,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,431,92.34322259726416,431,39,90.95127610208816,39,1,97.43589743589743,1,1,0.0,,,,,,
6,TRULY,True,6,GREAT,-G--Y,4,4,LLM,TROIS,GG---,3,3,CSS,TRUTH,GGG--,2.0,2.0,LLM,TRUNK,GGG--,2.0,2.0,CSS,TRUMP,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,5629,27,99.52034109077988,27,6,77.77777777777779,6,5,16.666666666666664,5,3,40.0,3,2,33.33333333333333,2,1,50.0
7,SPENT,True,4,WORDS,----Y,5,5,LLM,STALE,GY--Y,4,4,CSS,SETUP,GYY-Y,4.0,4.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,431,92.34322259726416,431,5,98.83990719257541,5,1,80.0,1,1,0.0,,,,,,
8,PAUSE,True,4,GIVEN,---Y-,5,5,LLM,SLATE,Y-Y-G,4,4,CSS,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,743,86.800497424054,743,7,99.0578734858681,7,1,85.71428571428571,1,1,0.0,,,,,,
9,CRAZY,False,6,CHECK,G----,4,4,LLM,CORSA,G-Y-Y,4,4,CSS,CRAFT,GGG--,2.0,2.0,LLM,CRABB,GGG--,2.0,2.0,CSS,GREEN,-G---,4.0,4.0,LLM,CRAWL,GGG--,2.0,2.0,CSS,5629,176,96.87333451767633,176,12,93.18181818181817,12,5,58.333333333333336,5,4,20.0,4,3,25.0,3,2,33.33333333333333
10,BASES,True,5,WORDS,----G,4,4,LLM,MALES,-G-GG,2,2,CSS,PAGES,-G-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,518,90.79765500088826,518,37,92.85714285714286,37,27,27.027027027027028,27,3,88.88888888888889,3,1,66.66666666666666,,,
