game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,4,THREE,YG---,4,4,LLM,BHATT,-G-G-,3,3,CSS,SHOTS,-GGG-,2.0,2.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,16,99.71575768342512,16,4,75.0,4,1,75.0,1,1,0.0,,,,,,
2,PARTY,True,3,PEACE,G-Y--,4,4,LLM,POPPA,G---Y,4,4,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,67,98.80973529934269,67,34,49.25373134328358,34,1,97.05882352941177,,,,,,,,,
3,TRICK,True,3,WHICH,--GG-,3,3,LLM,CRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,32,99.43151536685025,32,5,84.375,5,1,80.0,,,,,,,,,
4,DIRTY,True,5,THINK,Y-Y--,5,5,LLM,AUDIT,--YYY,5,4,CSS,DIETS,GG-G-,2.0,2.0,LLM,DITTY,GG-GG,1.0,1.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,5629,98,98.25901581097885,98,7,92.85714285714286,7,3,57.14285714285714,3,1,66.66666666666666,1,1,0.0,,,
5,USUAL,True,5,THING,-----,5,5,LLM,PEAKE,--Y--,5,5,CSS,LARRY,YY---,5.0,5.0,LLM,AFOUL,Y--YG,4.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,1638,70.90069284064666,1638,238,85.47008547008546,238,19,92.01680672268907,19,2,89.47368421052632,2,1,50.0,,,
6,TRULY,True,5,THERE,G--Y-,4,4,LLM,TRIPP,GG---,3,3,CSS,TRUST,GGG--,2.0,2.0,LLM,TRUCK,GGG--,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,58,98.96962160241605,58,19,67.24137931034483,19,4,78.94736842105263,4,2,50.0,2,1,50.0,,,
7,SPENT,True,4,ABOUT,----G,4,4,LLM,TIGHT,----G,4,4,CSS,EVENT,--GGG,2.0,2.0,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,96,98.29454610055072,96,26,72.91666666666666,26,2,92.3076923076923,2,1,50.0,,,,,,
8,PAUSE,True,5,THERE,----G,4,4,LLM,VOICE,----G,4,4,CSS,JUDGE,-Y--G,4.0,4.0,LLM,AMUSE,Y-GGG,2.0,2.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,5629,269,95.22117605258484,269,73,72.86245353159852,73,6,91.78082191780823,6,1,83.33333333333334,1,1,0.0,,,
9,CRAZY,False,6,THERE,---Y-,5,5,LLM,BARCA,-YYY-,5,5,CSS,OSCAR,--YYY,5.0,5.0,LLM,CRAIG,GGG--,2.0,2.0,CSS,CRANK,GGG--,2.0,2.0,LLM,CRAWL,GGG--,2.0,2.0,CSS,5629,539,90.42458696038372,539,15,97.21706864564007,15,6,60.0,6,4,33.33333333333333,4,3,25.0,3,2,33.33333333333333
10,BASES,True,5,COULD,-----,5,5,LLM,HAITI,-G---,4,4,CSS,WAYNE,-G--Y,4.0,4.0,LLM,BABES,GG-GG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,1556,72.35743471309291,1556,198,87.27506426735219,198,42,78.78787878787878,42,2,95.23809523809523,2,1,50.0,,,
11,YOUNG,True,5,THERE,-----,5,5,LLM,JOLLA,-G---,4,4,CSS,BASED,-----,5.0,5.0,LLM,FOGGY,-GY-Y,4.0,4.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,5629,1280,77.2606146740096,1280,109,91.484375,109,20,81.65137614678899,20,1,95.0,1,1,0.0,,,
12,MEANS,True,5,THREE,---Y-,5,5,LLM,GEICO,-G---,4,4,CSS,VENGE,-GY--,4.0,4.0,LLM,LEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,5629,296,94.74151714336472,296,80,72.97297297297297,80,12,85.0,12,4,66.66666666666666,4,1,75.0,,,
13,TRUTH,True,4,YEARD,---Y-,5,5,LLM,CRUMB,-GG--,3,3,CSS,TRUST,GGG-Y,2.0,2.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,266,95.27447148694262,266,8,96.99248120300751,8,1,87.5,1,1,0.0,,,,,,
14,FIRED,True,4,YEARS,-Y-Y-,5,5,LLM,TOWER,---GY,4,4,CSS,CREWE,-YY--,5.0,4.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,255,95.46988807958785,255,33,87.05882352941177,33,11,66.66666666666666,11,1,90.9090909090909,,,,,,
15,FOLKS,True,2,AROSE,--YY-,5,5,LLM,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,,5629,125,97.77935690175875,125,1,99.2,,,,,,,,,,,,
16,CHILE,True,5,THERE,-G--G,3,3,LLM,CHOSE,GG--G,2,2,CSS,CHORE,GG--G,2.0,2.0,LLM,CHIME,GGG-G,1.0,1.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,5629,25,99.55587138035175,25,2,92.0,2,2,0.0,2,1,50.0,1,1,0.0,,,
17,BLACK,True,4,CRANE,Y-G--,4,4,LLM,SCALP,-YGY-,4,4,CSS,FLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,18,99.68022739385326,18,2,88.88888888888889,2,1,50.0,1,1,0.0,,,,,,
