game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
1,PHOTO,True,5,GIVEN,-----,5,5,LLM,OZAWA,Y----,5.0,5.0,CSS,STOCK,-YG--,4.0,4.0,LLM,BROTH,--GGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,5629,1299,76.92307692307693,1299,329,74.67282525019246,329,12,96.35258358662614,12,1,91.66666666666666,1,1,0.0,,,
2,PARTY,True,5,THINK,Y----,5,5,LLM,AMATO,Y--G-,4.0,4.0,CSS,DARTS,-GGG-,2.0,2.0,LLM,CARTE,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,451,91.98791970154558,451,39,91.35254988913526,39,3,92.3076923076923,3,1,66.66666666666666,1,1,0.0,,,
3,TRICK,True,2,THINK,G-G-G,2,2,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,
4,DIRTY,True,4,THINK,Y-Y--,5,5,LLM,WITTY,-G-GG,2.0,2.0,CSS,START,-Y-Y-,5.0,4.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,98,98.25901581097885,98,5,94.89795918367348,5,1,80.0,1,1,0.0,,,,,,
5,USUAL,True,4,WORDS,----Y,5,5,LLM,SPANK,Y-Y--,5.0,4.0,CSS,CAUSE,-YGY-,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,431,92.34322259726416,431,49,88.63109048723898,49,1,97.95918367346938,1,1,0.0,,,,,,
6,TRULY,True,5,WORDS,--Y--,5,5,LLM,EVERY,---YG,4.0,4.0,CSS,THEIR,G---Y,4.0,4.0,LLM,TRACY,GG--G,2.0,2.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,506,91.01083673831943,506,10,98.02371541501977,10,2,80.0,2,1,50.0,1,1,0.0,,,
7,SPENT,True,3,THERE,Y-G--,4,4,LLM,SLEPT,G-GYG,2.0,2.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941177,1,1,0.0,,,,,,,,,
8,PAUSE,True,5,GIVEN,---Y-,5,5,LLM,STYLE,Y---G,4.0,4.0,CSS,ABUSE,Y-GGG,2.0,2.0,LLM,CAUSE,-GGGG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,5629,743,86.800497424054,743,34,95.42395693135936,34,2,94.11764705882352,2,1,50.0,1,1,0.0,,,
9,CRAZY,False,6,WORDS,--Y--,5,5,LLM,REFER,Y----,5.0,5.0,CSS,LAURA,-Y-Y-,5.0,5.0,LLM,BRYAN,-GYY-,4.0,4.0,CSS,GRAVY,-GG-G,2.0,2.0,LLM,TRACY,-GGYG,2.0,2.0,CSS,5629,506,91.01083673831943,506,121,76.08695652173914,121,27,77.68595041322314,27,3,88.88888888888889,3,2,33.33333333333333,2,1,50.0
10,BASES,False,6,WORDS,----G,4,4,LLM,PINTS,----G,4.0,4.0,CSS,GAMES,-G-GG,2.0,2.0,LLM,LAKES,-G-GG,2.0,2.0,CSS,SAVES,YG-GG,2.0,2.0,LLM,CASES,-GGGG,1.0,1.0,CSS,5629,518,90.79765500088826,518,158,69.4980694980695,158,23,85.44303797468355,23,14,39.130434782608695,14,3,78.57142857142857,3,2,33.33333333333333
11,YOUNG,True,3,START,-----,5,5,LLM,JENNY,---GY,4.0,4.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,852,84.86409664238764,852,8,99.06103286384976,8,1,87.5,,,,,,,,,
12,MEANS,True,3,WORDS,----G,4,4,LLM,BANKS,-YY-G,4.0,3.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,518,90.79765500088826,518,13,97.49034749034749,13,1,92.3076923076923,,,,,,,,,
