game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,4,RGYB,0B3W,LLM,136,GYBO,2B0W,VOI,14,GWBR,3B0W,VOI,2,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,5,RRYY,2B0W,LLM,114,GRWY,1B2W,VOI,16,WRYO,0B2W,VOI,3,RBGY,2B2W,VOI,1,RGBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,RGYB,1B1W,LLM,252,ORYW,2B0W,VOI,19,RRGW,1B0W,VOI,8,BWYW,3B0W,VOI,2,BBYW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBY,2B1W,LLM,48,ORBY,1B1W,VOI,16,RWGY,1B2W,VOI,3,GGRY,2B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RGBY,0B3W,LLM,136,GYRW,0B2W,VOI,29,BRYO,2B1W,VOI,4,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGYB,1B1W,LLM,252,BYYW,0B2W,VOI,43,RWOY,1B1W,VOI,8,WGWY,3B0W,VOI,2,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,6,RRRR,1B0W,LLM,500,RWOY,3B0W,VOI,12,RWGY,2B0W,VOI,6,RBOY,2B0W,VOI,2,RWOO,3B0W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,
8,WGRR,True,4,RRRR,2B0W,LLM,150,GRBR,1B2W,VOI,40,RRGW,0B4W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGYB,1B0W,LLM,108,RWOW,1B2W,VOI,7,RRWO,3B0W,VOI,1,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGBY,1B0W,LLM,108,ROWO,0B1W,VOI,18,YWYY,2B2W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RRRR,3B0W,LLM,20,RRRB,2B1W,VOI,12,RRGR,2B1W,VOI,6,YRRR,3B0W,VOI,2,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,4,RRRR,1B0W,LLM,500,RBOY,2B0W,VOI,27,RWGY,1B2W,VOI,2,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGYB,2B0W,LLM,96,RGOW,3B0W,VOI,6,RGOR,3B0W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,5,RGYB,1B1W,LLM,252,WGRR,0B3W,VOI,12,RRGO,2B0W,VOI,4,RRBW,2B0W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,RGBY,2B1W,LLM,48,BGWY,2B0W,VOI,5,GGRY,1B1W,VOI,2,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,6,RGYB,2B0W,LLM,96,RGGO,2B0W,VOI,14,RGRW,1B0W,VOI,6,YGYO,1B0W,VOI,2,GGGB,3B0W,VOI,1,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,
17,OOOB,True,5,RRRR,0B0W,LLM,625,WYYY,0B0W,VOI,81,BGGB,1B0W,VOI,4,BOOO,2B2W,VOI,1,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,5,RGOB,1B2W,LLM,132,RBWG,0B3W,VOI,26,BGBR,0B2W,VOI,5,OWGB,2B2W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,2,RGYB,3B0W,LLM,20,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,RRRR,0B0W,LLM,625,YWOB,0B2W,VOI,126,WYYY,2B0W,VOI,22,WGGY,3B0W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,GWGW,True,6,RRRR,0B0W,LLM,625,BOGB,1B0W,VOI,70,WGGY,1B2W,VOI,6,GWGG,3B0W,VOI,2,GYGG,2B0W,VOI,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,
22,YWWG,True,4,RRRR,0B0W,LLM,625,YWGW,2B2W,VOI,5,WYGW,0B4W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
23,BRYG,True,2,RGBY,0B4W,LLM,9,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RGYB,2B0W,LLM,96,RGRW,1B0W,VOI,26,ROYO,1B1W,VOI,3,OGYY,3B0W,VOI,1,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,5,RGBY,0B2W,LLM,312,YWWG,0B2W,VOI,41,WOGB,1B0W,VOI,3,WYRR,3B0W,VOI,1,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,RGBY,0B2W,LLM,312,WYRR,1B1W,VOI,67,BYYW,3B0W,VOI,3,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,3,RGYB,1B2W,LLM,132,BGBR,1B2W,VOI,10,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,3,RRRR,1B0W,LLM,500,BGYR,0B4W,VOI,9,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,4,RRRR,2B0W,LLM,150,RRBG,2B1W,VOI,22,RRGO,1B3W,VOI,2,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,3,RGBY,2B2W,LLM,6,RBGY,0B4W,VOI,1,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,5,RGBY,0B3W,LLM,136,YRRG,0B2W,VOI,30,OBGR,2B1W,VOI,3,BWGR,1B3W,VOI,1,GBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,RGOB,1B2W,LLM,132,GYRB,1B2W,VOI,17,BYOR,1B1W,VOI,4,BRGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,5,RGBY,1B2W,LLM,132,RRYB,0B2W,VOI,38,BGRW,3B0W,VOI,3,BGRG,2B0W,VOI,1,YGRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,3,RGYB,1B2W,LLM,132,BGRG,0B2W,VOI,42,RWGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,5,RRRR,0B0W,LLM,625,BYYW,2B0W,VOI,61,BBYG,1B0W,VOI,12,OYYY,2B2W,VOI,1,YYYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
36,RWYR,True,5,RGYB,2B0W,LLM,96,GGYO,1B0W,VOI,26,RGRR,2B0W,VOI,3,RGWW,1B1W,VOI,1,RWYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
37,YBBY,True,5,RGOB,0B1W,LLM,152,YYYO,1B1W,VOI,24,WOYW,0B1W,VOI,4,YRRY,2B0W,VOI,1,YBBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
38,YGYB,True,4,RGBY,1B2W,LLM,132,GRBR,0B2W,VOI,43,YGRW,2B0W,VOI,4,YGYB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
39,WOBR,True,7,RGYB,0B2W,LLM,312,YBBY,1B0W,VOI,98,YRRR,1B0W,VOI,26,YWWG,0B1W,VOI,6,OBRW,0B4W,VOI,2,WRBO,2B2W,VOI,1,WOBR,4B0W,VOI,1,,,,,,,,,,,,
40,BYRG,True,3,RGYB,0B4W,LLM,9,YBRG,2B2W,VOI,4,BYRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RBBO,True,5,RRRR,1B0W,LLM,500,RBGY,2B0W,VOI,27,RWGW,1B0W,VOI,8,RBOB,2B2W,VOI,1,RBBO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
42,OBRO,True,5,RGBY,0B2W,LLM,312,ORRG,2B0W,VOI,32,YRRR,1B0W,VOI,13,OBRW,3B0W,VOI,2,OBRO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
43,WRYR,True,3,RRRR,2B0W,LLM,150,RWYR,2B2W,VOI,5,WRYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GGRY,True,5,RRRR,1B0W,LLM,500,RWBG,0B2W,VOI,117,OBRO,1B0W,VOI,6,GYRY,3B0W,VOI,2,GGRY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
45,YYYG,True,6,RGYB,1B1W,LLM,252,WRYR,1B0W,VOI,34,WOGB,0B1W,VOI,6,BBYY,1B1W,VOI,2,GYYG,3B0W,VOI,1,YYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,
46,ROBW,True,5,RGYB,1B1W,LLM,252,YYYG,0B0W,VOI,42,RBBO,2B1W,VOI,4,RBOR,1B2W,VOI,1,ROBW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
47,WGBB,True,7,RGYB,2B0W,LLM,96,RGRR,1B0W,VOI,50,OGYG,1B0W,VOI,8,RYYY,0B0W,VOI,4,BGBB,3B0W,VOI,2,BGWB,2B2W,VOI,1,WGBB,4B0W,VOI,1,,,,,,,,,,,,
48,BOOR,True,5,RGBY,0B2W,LLM,312,OBRW,0B3W,VOI,32,WOGB,1B1W,VOI,6,BROB,2B1W,VOI,1,BOOR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
