game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RRRR,2B0W,LLM,150,ORGR,2B1W,VOI,22,RYGR,1B2W,VOI,3,GRWR,3B0W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,3,ROYW,2B0W,LLM,96,RRGW,1B0W,VOI,26,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,5,RGBY,2B1W,LLM,48,RRGY,1B1W,VOI,15,ROBG,0B2W,VOI,2,BGYY,3B0W,VOI,1,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBY,0B3W,LLM,136,GRYR,1B1W,VOI,35,BOYG,2B1W,VOI,4,YBYG,1B1W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,ROYG,0B2W,LLM,312,GRBR,1B0W,VOI,43,WRWO,1B0W,VOI,8,OYBO,0B1W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,5,ROYW,2B1W,LLM,48,RYBW,2B0W,VOI,5,RROW,3B0W,VOI,2,RGOW,3B0W,VOI,1,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,RGRG,2B1W,LLM,32,RGYR,2B1W,VOI,4,OGRR,3B0W,VOI,2,BGRR,3B0W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,True,5,RGBW,1B1W,LLM,252,BYYW,0B1W,VOI,56,RRGY,1B0W,VOI,12,ROOB,2B1W,VOI,2,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,5,ROYW,1B1W,LLM,252,RGBY,1B0W,VOI,21,GGOW,0B1W,VOI,8,RWWR,0B1W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,RGYO,0B2W,LLM,312,GBRR,2B0W,VOI,32,OWRR,3B0W,VOI,3,OORR,3B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
