game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,RGBW,1B2W,LLM,132,RYWG,0B2W,VOI,38,BORW,0B2W,VOI,5,GBBR,3B0W,VOI,1,GRBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,1,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,6,RGBW,1B1W,LLM,252,ORBY,0B2W,VOI,57,GGYR,1B0W,VOI,10,BWYW,3B0W,VOI,2,BBYW,3B0W,VOI,1,BYYW,4B0W,VOI,1,,,,,,,,,,,,,,,,
4,BGWY,True,4,RGBO,1B1W,LLM,252,WGGB,1B2W,VOI,14,GWBB,0B3W,VOI,3,BGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,5,RGBW,0B3W,LLM,136,YBRG,1B2W,VOI,20,GBWY,0B2W,VOI,2,BRGG,3B0W,VOI,1,BROG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,RGYB,1B1W,LLM,252,BYYW,0B2W,VOI,43,GWBB,1B1W,VOI,7,ORWB,1B0W,VOI,1,GGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,True,4,RGBO,1B1W,LLM,252,BGWY,0B1W,VOI,31,RWOR,3B0W,VOI,2,RWOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,6,BGRY,2B0W,LLM,96,GGWY,1B1W,VOI,24,BGGO,1B0W,VOI,5,BWBY,0B1W,VOI,3,RGRW,2B2W,VOI,1,WGRR,4B0W,VOI,1,,,,,,,,,,,,,,,,
9,ROWO,True,4,RGBW,1B1W,LLM,252,BBYW,0B1W,VOI,50,RWOR,1B2W,VOI,3,ROWO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,RGBW,0B1W,LLM,152,OYRO,1B0W,VOI,14,YYWY,2B2W,VOI,1,WYYY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,4,RGBY,0B1W,LLM,152,OOGO,1B0W,VOI,39,OYWW,1B0W,VOI,1,ORRR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,RYGW,2B1W,LLM,48,RGRW,3B0W,VOI,3,RGWW,3B0W,VOI,2,RGBW,3B0W,VOI,1,RGOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,RGBY,2B0W,LLM,96,RGOW,3B0W,VOI,6,RGRW,2B0W,VOI,2,RGOG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,3,RGBW,2B1W,LLM,48,WGRW,1B3W,VOI,1,RWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,5,RGBW,1B1W,LLM,252,RORB,0B2W,VOI,40,BGOG,1B0W,VOI,6,WROW,1B0W,VOI,1,BRBY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,RGBW,1B1W,LLM,252,ORWW,0B0W,VOI,20,BGYG,2B1W,VOI,3,BGGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,4,ROBW,1B1W,LLM,252,GWBB,1B0W,VOI,34,OWYW,1B0W,VOI,4,OOOB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,RGBW,0B3W,LLM,136,BROG,0B3W,VOI,20,WORB,3B0W,VOI,1,WOGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,5,RGBW,2B0W,LLM,96,RWOW,1B0W,VOI,26,RGRG,2B1W,VOI,2,RGGY,2B1W,VOI,1,RGYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,6,RGBW,1B1W,LLM,252,BGGB,1B0W,VOI,56,RRRB,0B0W,VOI,19,WWGW,1B2W,VOI,2,WGWO,3B0W,VOI,1,WGWY,4B0W,VOI,1,,,,,,,,,,,,,,,,
21,GWGW,True,5,RGYW,1B1W,LLM,252,WGWO,0B3W,VOI,12,OOGW,2B0W,VOI,3,BWGW,3B0W,VOI,1,GWGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
22,YWWG,True,6,RGBW,0B2W,LLM,312,WRRO,0B1W,VOI,55,BWYY,1B1W,VOI,9,OBGY,0B2W,VOI,2,GYYR,0B2W,VOI,1,YWWG,4B0W,VOI,1,,,,,,,,,,,,,,,,
23,BRYG,True,4,RGBW,0B3W,LLM,136,WOGB,0B2W,VOI,29,GBYR,1B3W,VOI,2,BRYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
24,OGYG,True,5,RGBO,1B1W,LLM,252,RWGW,0B1W,VOI,56,YGYB,2B0W,VOI,4,YRYO,1B1W,VOI,2,OGYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
25,WYYR,True,4,RGBW,0B2W,LLM,312,YYWG,1B2W,VOI,20,GYYR,3B0W,VOI,2,WYYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
26,BYOW,True,4,RGYB,0B2W,LLM,312,BOGW,2B1W,VOI,16,ORGW,1B1W,VOI,4,BYOW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
27,RRBG,True,4,ROBY,2B0W,LLM,96,RGGY,1B1W,VOI,12,GBBY,1B1W,VOI,2,RRBG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
28,GYRB,True,3,RGBY,0B4W,LLM,9,BRYG,0B4W,VOI,2,GYRB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ORRG,True,5,RGBW,0B2W,LLM,312,YWRY,1B0W,VOI,54,OBGY,1B1W,VOI,11,OWWB,1B0W,VOI,2,ORRG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
30,YGBR,True,4,RGBW,2B1W,LLM,48,RRBG,1B2W,VOI,9,RGOB,1B2W,VOI,3,YGBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
31,GBWR,True,2,RGBW,0B4W,LLM,9,GBWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRGB,True,4,RGBW,0B3W,LLM,136,GYRB,1B2W,VOI,20,BWRY,1B1W,VOI,2,BRGB,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
33,YGRW,True,5,RGBW,2B1W,LLM,48,YGBR,2B1W,VOI,3,WGBY,1B2W,VOI,2,YRBW,2B1W,VOI,1,YGRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
34,RWGY,True,5,RGBW,1B2W,LLM,132,ORGW,1B2W,VOI,17,GBOW,0B2W,VOI,5,RWGG,3B0W,VOI,2,RWGY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
35,YYYO,True,2,RGBW,0B0W,LLM,16,YYYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
