game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,MOREL,-Y---,5,5,VOI,CRANE,-----,5,5,LLM,SHOOT,-GGYY,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,LASER,-G--Y,4,4,VOI,FETCH,--Y--,5,5,LLM,BASED,-G---,4,4,LLM,MARTA,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,3,AROSE,-G---,4,4,VOI,BASED,-----,5,5,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,RACES,Y----,5,5,VOI,GIVEN,-G---,4,4,LLM,FIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,3,NEARS,--Y-Y,5,5,VOI,SHOAL,Y--GG,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
6,TRULY,True,5,LEANS,Y----,5,5,VOI,POINT,----Y,5,5,LLM,BLYTH,-YYY-,5,5,LLM,TULLY,GY-GG,2,2,LLM,TRULY,GGGGG,0,0,LLM,,,,,
7,SPENT,True,4,AROSE,---YY,5,5,VOI,RAINE,---GY,4,4,LLM,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,RAISE,-G-GG,2,2,VOI,LAPSE,-GYGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,6,LASER,-Y--Y,5,5,VOI,GAUGE,-Y---,5,5,LLM,AGILE,Y----,5,5,LLM,TRYNA,-GY-Y,4,4,LLM,BRADY,-GG-G,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,4,REALS,-YY-G,4,4,VOI,CAKES,-G-GG,2,2,LLM,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,
11,YOUNG,True,4,REALS,-----,5,5,VOI,GIVEN,Y---Y,5,5,LLM,THONG,--YGG,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,2,SIENA,Y-YGY,4,4,VOI,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
13,TRUTH,True,4,MARES,--Y--,5,5,VOI,WRONG,-G---,4,4,LLM,BRICK,-G---,4,4,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
