game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,EARTH,---GY,4,4,LLM,HINTS,Y--G-,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--GGY,3,3,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,WORLD,--Y--,5,5,LLM,FRIES,-GG--,3,3,CSS,TRINA,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--GG-,3,3,CSS,KURTZ,--GG-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,START,Y-Y--,5,4,LLM,NAMES,-Y--Y,5,5,CSS,AISHA,Y-Y--,5,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,SERAI,--Y--,5,5,LLM,GROOT,-G--Y,4,4,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,5,ROATE,---YY,5,5,LLM,SLEET,G-G-G,2,2,CSS,STENT,G-GGG,1,1,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,CSS,,,,,
8,PAUSE,True,5,WORLD,-----,5,5,LLM,THAIS,--Y-Y,5,4,CSS,SAUNA,YGG--,3,3,CSS,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,
9,CRAZY,True,5,WHERE,---Y-,5,5,LLM,ARTIS,YG---,4,4,CSS,GRAND,-GG--,3,3,CSS,BRAVO,-GG--,3,3,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,False,6,THINK,-----,5,5,LLM,SALEM,YG-G-,3,3,CSS,CARES,-G-GG,2,2,CSS,WAGES,-G-GG,2,2,CSS,FAVES,-G-GG,2,2,CSS,EASES,-GGGG,1,1,CSS
11,YOUNG,True,3,THING,---GG,3,3,LLM,ALONG,--YGG,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,5,EARTH,YY---,5,4,LLM,LEANS,-GGGG,1,1,CSS,BEANS,-GGGG,1,1,CSS,DEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,2,WORTH,--YGG,3,3,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
14,FIRED,True,4,WHICH,--Y--,5,5,LLM,SIREN,-GGG-,2,2,CSS,MIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,5,EVERY,-----,5,5,LLM,SNAIL,Y---Y,5,5,CSS,BOLTS,-GG-G,2,2,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,2,THING,-GG--,3,3,LLM,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
17,BLACK,True,5,START,--G--,4,4,LLM,PLANE,-GG--,3,3,CSS,FLACK,-GGGG,1,1,CSS,CLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,CSS,,,,,
18,GRANT,True,4,PLACE,--G--,4,4,LLM,SMART,--GYG,3,3,CSS,GRAFT,GGG-G,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,3,STATE,Y-G-Y,4,4,LLM,REALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
20,CREAM,True,5,THING,-----,5,5,LLM,PARSE,-YY-Y,5,5,CSS,DEMAR,-YYGY,4,4,CSS,BREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,4,WORLD,Y----,5,5,LLM,TWINS,-G---,4,4,CSS,AWWWW,GG---,3,3,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,5,RIGHT,Y----,5,5,LLM,NORSE,-YY--,5,5,CSS,BROOM,-YY--,5,5,CSS,OZARK,G--Y-,4,4,CSS,OCCUR,GGGGG,0,0,CSS,,,,,
23,YEARS,True,3,THERE,--YG-,4,4,LLM,YEARN,GGGG-,1,1,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
24,GRADE,True,3,THERE,---YG,4,4,LLM,GRACE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,5,THERE,-G---,4,4,LLM,SHONA,-G---,4,4,CSS,CHILI,GGGG-,1,1,CSS,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,
26,FLOOD,True,5,THING,-----,5,5,LLM,MARES,-----,5,5,CSS,DOLBY,YYY--,5,5,CSS,CLOUD,-GG-G,2,2,CSS,FLOOD,GGGGG,0,0,CSS,,,,,
27,APPLY,True,5,THROW,-----,5,5,LLM,LEANS,Y-Y--,5,5,CSS,DALIA,-YY--,5,5,CSS,ALBUM,GY---,4,4,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,4,THROW,-----,5,5,LLM,ALIEN,-YGY-,4,4,CSS,EMILE,-GGGG,1,1,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,4,YEARS,-----,5,5,LLM,CONTI,YYY--,5,5,CSS,UCONN,-YGY-,4,4,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,3,THEIR,--G--,4,4,LLM,LEEDS,YYG-Y,4,3,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
31,BRICK,True,5,COULD,Y----,5,5,LLM,SINCE,-Y-G-,4,4,CSS,THICC,--GG-,3,3,CSS,PRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS,,,,,
32,WROTE,True,3,STARE,-Y-YG,4,4,LLM,PORTE,-YYGG,3,3,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
33,RATED,True,3,ROUTE,G--YY,4,3,LLM,RITES,G-GG-,2,2,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
34,ALERT,True,3,STATE,-YY-Y,5,5,LLM,ALTER,GGYYY,3,2,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,4,RIGHT,--G--,4,4,LLM,SEGAL,YYGY-,4,4,CSS,PAGES,-GGGG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,,,,,,
36,TEDDY,True,4,THERE,G-Y--,4,4,LLM,TONES,G--Y-,4,4,CSS,TEPID,GG--Y,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,False,6,THING,-----,5,5,LLM,DARES,---GG,3,3,CSS,SOLES,-GGGG,1,1,CSS,FOLES,-GGGG,1,1,CSS,MOLES,-GGGG,1,1,CSS,POLES,-GGGG,1,1,CSS
38,HWANG,True,4,STATE,--G--,4,4,LLM,CLARA,--G--,4,4,CSS,GHANI,YYGG-,3,3,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,3,THING,YY---,5,5,LLM,HEATS,Y-GG-,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
40,MACHO,True,3,SINCE,---Y-,5,5,LLM,CARLO,YG--G,3,3,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
41,LOPEZ,True,5,THERE,--Y--,5,5,LLM,DESAI,-Y---,5,5,CSS,NOVEL,-G-GY,3,3,CSS,FOLEY,-GYG-,3,3,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,
42,GOODY,True,4,WRECK,-----,5,5,LLM,MAILS,-----,5,5,CSS,BUNDY,---GG,3,3,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,
43,BROTH,True,3,THERE,YY-Y-,5,5,LLM,BIRTH,G-YGG,2,2,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
44,VERDE,True,5,ZENIT,-G---,4,4,LLM,MEALS,-G---,4,4,CSS,DECRY,YG-Y-,4,4,CSS,FEDOR,-GY-Y,4,4,CSS,VERDE,GGGGG,0,0,CSS,,,,,
45,TAMED,True,3,THREE,G--G-,3,3,LLM,TONED,G--GG,2,2,CSS,TAMED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
46,LEAFS,True,3,ZENIT,-G---,4,4,LLM,LEASE,GGGY-,2,2,CSS,LEAFS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
47,YACHT,True,4,THREE,YY---,5,5,LLM,SAITH,-G-YY,4,4,CSS,CATHY,YGYGY,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,
48,MESSY,True,4,THING,-----,5,5,LLM,BALES,---YY,5,5,CSS,PROSE,---GY,4,4,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,3,WORLD,--Y-Y,5,5,LLM,DRIER,YY-GG,3,3,CSS,RYDER,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
50,MOTIF,True,4,AROSE,--Y--,5,5,LLM,LINGO,-Y--Y,5,5,CSS,TOPIC,YG-G-,3,3,CSS,MOTIF,GGGGG,0,0,CSS,,,,,,,,,,
51,RAVEN,True,5,ABOUT,Y----,5,5,LLM,EARLS,YGY--,4,4,CSS,RAPED,GG-G-,2,2,CSS,RAZER,GG-G-,2,2,CSS,RAVEN,GGGGG,0,0,CSS,,,,,
52,REICH,True,4,STATE,----Y,5,5,LLM,LONER,---YY,5,5,CSS,KERRI,-GY-Y,4,4,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,
53,ICONS,True,3,THIRD,--Y--,5,5,LLM,KILNS,-Y-GG,3,3,CSS,ICONS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
54,SILKY,True,3,RIGHT,-G---,4,4,LLM,NILES,-GG-Y,3,3,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
55,CARVE,True,5,THING,-----,5,5,LLM,REALS,YYY--,5,5,CSS,FARED,-GGY-,3,3,CSS,CARPE,GGG-G,1,1,CSS,CARVE,GGGGG,0,0,CSS,,,,,
