game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,THEIR,YG---,4,4,LLM,SHUNT,-G--Y,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,5,THINK,Y----,5,5,LLM,STARE,-YYY-,5,4,CSS,CARAT,-GG-Y,3,3,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,4,OTHER,-Y--Y,5,5,LLM,TRAPS,GG---,3,3,CSS,TRULY,GG---,3,3,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,THERE,Y--Y-,5,5,LLM,SORTA,--GG-,3,3,CSS,KURTZ,--GG-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,THINK,-----,5,5,LLM,MORES,----Y,5,5,CSS,SALSA,YYY--,5,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,5,WHERE,---Y-,5,5,LLM,RAIDS,Y----,5,5,CSS,TROOP,GG---,3,3,CSS,TRUNK,GGG--,2,2,CSS,TRULY,GGGGG,0,0,CSS,,,,,
7,SPENT,True,4,THEIR,Y-G--,4,4,LLM,SLEET,G-G-G,2,2,CSS,SWEPT,G-GYG,2,2,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,3,OTHER,---Y-,5,5,LLM,SADIE,YG--G,3,3,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,THERE,---Y-,5,5,LLM,SARIN,-YY--,5,5,CSS,BROAD,-G-Y-,4,4,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,False,6,THERE,--Y--,5,5,LLM,MINES,---GG,3,3,CSS,SALES,YG-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,VASES,-GGGG,1,1,CSS,GASES,-GGGG,1,1,CSS
11,YOUNG,True,4,RIGHT,--Y--,5,5,LLM,GALES,Y----,5,5,CSS,BONGO,-GYY-,4,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,5,THEIR,--Y--,5,5,LLM,NEALE,YGG--,3,3,CSS,DEANS,-GGGG,1,1,CSS,BEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,4,THINK,GY---,4,4,LLM,TORCH,G-Y-G,3,3,CSS,TRASH,GG--G,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,False,6,THINK,--Y--,5,5,LLM,RILED,YG-GG,2,2,CSS,WIRED,-GGGG,1,1,CSS,AIRED,-GGGG,1,1,CSS,MIRED,-GGGG,1,1,CSS,SIRED,-GGGG,1,1,CSS
15,FOLKS,True,4,THERE,-----,5,5,LLM,NAILS,---YG,4,4,CSS,BLOGS,-YY-G,4,4,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,3,THEIR,-GYY-,4,4,LLM,WHINE,-GG-G,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,4,FIRST,-----,5,5,LLM,LACED,YYY--,5,3,CSS,CLANK,YGG-G,2,2,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,3,THINK,Y--G-,4,4,LLM,GAUNT,GY-GG,2,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,OTHER,---Y-,5,5,LLM,ALINE,YY--Y,5,5,CSS,DEALS,-GGGG,1,1,CSS,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,5,THERE,--GY-,4,4,LLM,BREAD,-GGG-,2,2,CSS,WREAK,-GGG-,2,2,CSS,AREAS,-GGG-,2,2,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,5,OTHER,---Y-,5,5,LLM,LIENS,--Y--,5,5,CSS,MAUDE,-Y--G,4,4,CSS,PEAKE,--GGG,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,
22,OCCUR,True,5,THERE,---Y-,5,5,LLM,DORAN,-YY--,5,5,CSS,PROMS,-YY--,5,5,CSS,RIGOR,---YG,4,4,CSS,OCCUR,GGGGG,0,0,CSS,,,,,
23,YEARS,True,3,THERE,--YG-,4,4,LLM,YEARN,GGGG-,1,1,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
24,GRADE,True,5,OTHER,---YY,5,5,LLM,REARS,YYG--,4,4,CSS,GRACE,GGG-G,1,1,CSS,GRAZE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,CSS,,,,,
25,CHILL,True,4,WORLD,---G-,4,4,LLM,SALLE,--YG-,4,4,CSS,QUILL,--GGG,2,2,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,5,THEIR,-----,5,5,LLM,LANDS,Y--Y-,5,4,CSS,GOULD,-Y-YG,4,4,CSS,FLOYD,GGG-G,1,1,CSS,FLOOD,GGGGG,0,0,CSS,,,,,
27,APPLY,True,5,THINK,-----,5,5,LLM,PADRE,YY---,5,5,CSS,SOAPS,--YY-,5,5,CSS,AMPLY,G-GGG,1,1,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,4,THINK,--G--,4,4,LLM,ARISE,--GYG,3,3,CSS,SLICE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,4,RIGHT,-----,5,5,LLM,SALON,---YY,5,5,CSS,CONDE,YYY--,5,5,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,4,THERE,--G-Y,4,4,LLM,LEEDS,YYG-Y,4,3,CSS,SLEEK,GGGG-,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,6,WORLD,--Y--,5,5,LLM,CRIES,YGG--,3,3,CSS,TRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1,1,CSS,FRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS
32,WROTE,True,3,THERE,Y--YG,4,4,LLM,PORTE,-YYGG,3,3,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
33,RATED,True,3,THINK,Y----,5,5,LLM,RATES,GGGG-,1,1,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
34,ALERT,True,3,OTHER,-Y-YY,5,4,LLM,TREAT,-YGYG,3,3,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,4,THINK,-----,5,5,LLM,ROLES,---GG,3,3,CSS,CASES,GG-GG,1,1,CSS,CAGES,GGGGG,0,0,CSS,,,,,,,,,,
36,TEDDY,True,4,THINK,G----,4,4,LLM,TEARS,GG---,3,3,CSS,TEMPO,GG---,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,6,RIGHT,-----,5,5,LLM,DOMES,-G-GG,2,2,CSS,LOPES,YG-GG,2,2,CSS,SOLES,-GGGG,1,1,CSS,FOLES,-GGGG,1,1,CSS,COLES,GGGGG,0,0,CSS
38,HWANG,True,4,OTHER,--Y--,5,5,LLM,SHINY,-Y-G-,4,4,CSS,HUANG,G-GGG,1,1,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,3,RIGHT,Y--YY,5,4,LLM,EARTH,-YYGG,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
40,MACHO,True,4,THINK,-Y---,5,5,LLM,HEALS,Y-Y--,5,5,CSS,ROCHA,-YGGY,3,3,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,
41,LOPEZ,True,4,RIGHT,-----,5,5,LLM,DANCE,----Y,5,5,CSS,POLES,YGYG-,3,3,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,
42,GOODY,True,4,RIGHT,--Y--,5,5,LLM,GALES,G----,4,4,CSS,GOWDY,GG-GG,1,1,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,
43,BROTH,True,4,OTHER,YYY-Y,5,4,LLM,NORTH,-YYGG,3,3,CSS,FROTH,-GGGG,1,1,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,4,THEIR,--Y-Y,5,5,LLM,SAREE,--GYG,3,3,CSS,NERVE,-GGYG,2,2,CSS,VERDE,GGGGG,0,0,CSS,,,,,,,,,,
