game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,OREAL,Y----,5,5,CSS,ROADY,-Y---,5,5,LLM,SCION,---Y-,5.0,5.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
2,PARTY,True,4,SNARE,--YY-,5,4,CSS,GUESS,-----,5,5,LLM,DARIA,-GG--,3.0,3.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
3,TRICK,True,4,EARNS,--Y--,5,5,CSS,TRACT,GG-G-,2,2,LLM,TRUCK,GG-GG,1.0,1.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
4,DIRTY,True,4,NEARS,---Y-,5,5,CSS,CROWD,-Y--Y,5,5,LLM,RUDDY,Y-Y-G,4.0,4.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
5,USUAL,True,4,SORTA,Y---Y,5,5,CSS,BRAIN,--Y--,5,5,LLM,LACES,YY--Y,5.0,5.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
6,TRULY,True,3,MARES,--Y--,5,5,CSS,WRONG,-G---,4,4,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
7,SPENT,True,4,ANISE,-Y-YY,5,5,CSS,SENDS,GYY--,4,3,LLM,STEEN,GYG-Y,3.0,3.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
8,PAUSE,True,4,SCALE,Y-Y-G,4,4,CSS,TASTE,-GY-G,3,3,LLM,RAISE,-G-GG,2.0,2.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
9,CRAZY,True,4,HORSE,--Y--,5,5,CSS,BRAIN,-GG--,3,3,LLM,TRACY,-GGYG,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,False,6,TONES,---GG,3,3,CSS,GAMES,-G-GG,2,2,LLM,CARES,-G-GG,2.0,2.0,CSS,GREEN,---G-,4.0,4.0,LLM,SALES,YG-GG,2.0,2.0,CSS,VASES,-GGGG,1.0,1.0,LLM,5
11,YOUNG,True,3,CORES,-G---,4,4,CSS,FOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
12,MEANS,True,2,NILES,Y--YG,4,4,CSS,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
13,TRUTH,True,4,DOERS,---Y-,5,5,CSS,BRAIN,-G---,4,4,LLM,CRYPT,-G--Y,4.0,4.0,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
