game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,3,EARLS,-----,5,5,CSS,THING,YG---,4,4,LLM,PHOTO,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
2,PARTY,True,4,SAINT,-G--Y,4,4,CSS,WATER,-GY-Y,4,4,LLM,MARTA,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
3,TRICK,True,5,SHANE,-----,5,5,CSS,CLOUD,Y----,5,5,LLM,PICKY,-YYY-,5.0,3.0,CSS,BRICK,-GGGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,0
4,DIRTY,True,3,CATES,--Y--,5,5,CSS,NIGHT,-G--Y,4,4,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
5,USUAL,True,4,IRONS,----Y,5,5,CSS,STATE,Y-Y--,5,4,LLM,MASHA,-YY--,5.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
6,TRULY,True,5,AIRES,--Y--,5,5,CSS,ROUND,Y-G--,4,4,LLM,CRUMB,-GG--,3.0,3.0,CSS,TRUTH,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,0
7,SPENT,True,4,TALES,Y--YY,5,5,CSS,STONE,GY-GY,3,3,LLM,SCENT,G-GGG,1.0,1.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
8,PAUSE,True,3,DARES,-G-YY,4,4,CSS,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
9,CRAZY,True,5,NODES,-----,5,5,CSS,RIGHT,Y----,5,5,LLM,MARLA,-YY--,5.0,5.0,CSS,CRACK,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,0
10,BASES,False,6,EARNS,YG--G,3,3,CSS,MAKES,-G-GG,2,2,LLM,CATES,-G-GG,2.0,2.0,CSS,SALES,YG-GG,2.0,2.0,LLM,VASES,-GGGG,1.0,1.0,CSS,GASES,-GGGG,1.0,1.0,LLM,0
11,YOUNG,True,4,AILES,-----,5,5,CSS,FOUND,-GGG-,2,2,LLM,MOUNT,-GGG-,2.0,2.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,2,MATES,GY-YG,3,3,CSS,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
13,TRUTH,True,4,STEIN,-Y---,5,5,CSS,MOTOR,--Y-Y,5,5,LLM,TRACT,GG--Y,3.0,3.0,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
14,FIRED,True,4,RANTS,Y----,5,5,CSS,WHERE,--YY-,5,4,LLM,DIMER,YG-GY,3.0,3.0,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
15,FOLKS,True,6,SADIE,Y----,5,5,CSS,ROOST,-G-Y-,4,4,LLM,LOCUS,YG--G,3.0,3.0,CSS,POLLS,-GG-G,2.0,2.0,LLM,YOLKS,-GGGG,1.0,1.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,0
16,CHILE,True,4,ROSEN,---Y-,5,5,CSS,PLACE,-Y-YG,4,4,LLM,LUCIE,Y-YYG,4.0,4.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
17,BLACK,True,4,AYERS,Y----,5,5,CSS,LOCAL,Y-YY-,5,4,LLM,CLAIM,YGG--,3.0,3.0,CSS,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
18,GRANT,True,4,LASER,-Y--Y,5,5,CSS,BOARD,--GY-,4,4,LLM,TRACI,YGG--,3.0,3.0,CSS,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
19,MEALS,True,3,LASER,YYYY-,5,5,CSS,SCALE,Y-GGY,3,3,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
20,CREAM,True,4,NOISE,----Y,5,5,CSS,HEART,-YYY-,5,4,LLM,BARED,-YYY-,5.0,4.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
21,AWAKE,True,4,MINES,---Y-,5,5,CSS,THERE,----G,4,4,LLM,GABLE,-Y--G,4.0,4.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
22,OCCUR,True,4,WARES,--Y--,5,5,CSS,ROUND,YYY--,5,5,LLM,TROUT,-YYG-,4.0,4.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
23,YEARS,True,4,MATES,-Y-YG,4,4,CSS,BEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1.0,1.0,CSS,YEARS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
24,GRADE,True,3,PAINS,-Y---,5,5,CSS,TRADE,-GGGG,1,1,LLM,GRADE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
25,CHILL,True,5,REINA,--G--,4,4,CSS,BUILD,--GG-,3,3,LLM,SPILT,--GG-,3.0,3.0,CSS,CHILI,GGGG-,1.0,1.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,0
26,FLOOD,True,4,AIRES,-----,5,5,CSS,FOUND,GY--G,3,3,LLM,FLOYD,GGG-G,1.0,1.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
27,APPLY,True,5,CASTE,-Y---,5,5,CSS,BOARD,--Y--,5,5,LLM,MILAN,--YY-,5.0,5.0,CSS,ALPHA,GYG--,3.0,3.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,,,,,,0
28,SMILE,True,5,NEARS,-Y--Y,5,5,CSS,HOUSE,---YG,4,4,LLM,SPITE,G-G-G,2.0,2.0,CSS,SLIME,GYGYG,2.0,2.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,,,,,,0
29,KNOCK,True,4,TASER,-----,5,5,CSS,WHICH,---G-,4,4,LLM,GLOCK,--GGG,2.0,2.0,CSS,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
