game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,SWISS,-----,5,5,LLM,LATER,--Y--,5,5,VOI,TOUGH,YY--Y,5,5,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,TEAMS,Y-Y--,5,5,LLM,LOTTA,---GY,4,4,VOI,BARTH,-GGG-,2,2,VOI,PARTI,GGGG-,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,3,SMIRK,--GYG,3,3,LLM,BRINK,-GG-G,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,3,SKATE,---G-,4,4,LLM,FIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
5,USUAL,True,3,SPRAY,Y--G-,4,4,LLM,ALIAS,-Y-GY,4,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,3,SKULL,--GG-,3,3,LLM,PAULO,--GG-,3,3,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,FARSI,---Y-,5,5,LLM,TELUS,YY--Y,5,5,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,4,TASKS,-GY--,4,4,LLM,SALAD,YG---,4,4,VOI,RAISE,-G-GG,2,2,VOI,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,BLOOD,-----,5,5,LLM,HARES,-YY--,5,5,VOI,TRINA,-G--Y,4,4,VOI,GRAVY,-GG-G,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,2,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
11,YOUNG,True,3,LOVEY,-G--Y,4,4,LLM,SONYA,-GYY-,4,4,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
12,MEANS,True,3,STORM,Y---Y,5,5,LLM,DAMES,-YYYG,4,4,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
13,TRUTH,True,4,MOULD,--G--,4,4,LLM,STUNG,-YG--,4,4,VOI,CHUTE,-YGG-,3,3,VOI,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,False,6,GUESS,--Y--,5,5,LLM,ARIEL,-YYG-,4,4,VOI,DINER,YG-GY,3,3,VOI,MIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,CSS,TIRED,-GGGG,1,1,CSS
15,FOLKS,True,3,FORGE,GG---,3,3,LLM,FOULS,GG-YG,2,2,VOI,FOLKS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
16,CHILE,True,4,TEENS,-Y---,5,5,LLM,ARIEL,--GYY,4,4,VOI,CLIVE,GYG-G,2,2,VOI,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,5,GUESS,-----,5,5,LLM,AARON,Y----,5,5,VOI,KILDA,Y-Y-Y,5,5,VOI,CLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,CSS,,,,,
18,GRANT,True,5,ANDES,YY---,5,5,LLM,RAINA,YY-G-,4,3,VOI,FRANK,-GGG-,2,2,VOI,BRANT,-GGGG,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,
19,MEALS,True,4,THEME,--YY-,5,5,LLM,MOSER,G-YY-,4,4,VOI,MEANS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,5,MILKY,Y----,5,5,LLM,HOMES,--YY-,5,5,VOI,AMEND,YYG--,4,4,VOI,BREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,4,HILLS,-----,5,5,LLM,TAREK,-Y-YY,5,4,VOI,KEANU,YYG--,4,4,VOI,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,3,SCALA,-G---,4,4,LLM,OCHRE,GG-Y-,3,3,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
23,YEARS,False,6,WIPED,---Y-,5,5,LLM,STARE,Y-GGY,3,3,VOI,MEARS,-GGGG,1,1,VOI,GEARS,-GGGG,1,1,CSS,NEARS,-GGGG,1,1,CSS,BEARS,-GGGG,1,1,CSS
24,GRADE,True,4,THIRD,---YY,5,5,LLM,DARES,YYYY-,5,4,VOI,READE,Y-GGG,2,2,VOI,GRADE,GGGGG,0,0,CSS,,,,,,,,,,
25,CHILL,True,6,GUESS,-----,5,5,LLM,AARON,-----,5,5,VOI,BLYTH,-Y--Y,5,5,VOI,CHILD,GGGG-,1,1,CSS,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS
26,FLOOD,True,3,SCORN,--G--,4,4,LLM,FOOTE,GYG--,3,3,VOI,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
27,APPLY,True,4,BASED,-Y---,5,5,LLM,ALAIN,GY---,4,4,VOI,AMPLY,G-GGG,1,1,VOI,APPLY,GGGGG,0,0,CSS,,,,,,,,,,
28,SMILE,True,4,NOMAD,--Y--,5,5,LLM,MISER,YYYY-,5,3,VOI,ITEMS,Y-YYY,5,5,VOI,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,4,MOSSY,-Y---,5,5,LLM,ADORN,--G-Y,4,4,VOI,CLONE,Y-GY-,4,4,VOI,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,4,GAMES,---GY,4,4,LLM,STEER,G-GG-,2,2,VOI,SHEEP,G-GGG,1,1,VOI,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,3,TAXED,-----,5,5,LLM,COILS,Y-G--,4,4,VOI,BRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
32,WROTE,True,4,SHARK,---Y-,5,5,LLM,ORRIN,YG---,4,4,VOI,TROPE,YGG-G,2,2,VOI,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,4,ALLOW,Y----,5,5,LLM,EARNS,YGY--,4,4,VOI,MATER,-GGGY,2,2,VOI,RATED,GGGGG,0,0,CSS,,,,,,,,,,
34,ALERT,True,3,SPAIN,--Y--,5,5,LLM,EARLY,YYYY-,5,5,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
35,CAGES,True,3,STAYS,--Y-G,4,4,LLM,EARLS,YG--G,3,3,VOI,CAGES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
36,TEDDY,True,4,HOSHI,-----,5,5,LLM,RAMEN,---Y-,5,5,VOI,LEDGE,-GG--,3,3,VOI,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,6,SLANG,YY---,5,5,LLM,FELLS,-YG-G,3,3,VOI,MILES,--GGG,2,2,VOI,ROLES,-GGGG,1,1,CSS,HOLES,-GGGG,1,1,CSS,COLES,GGGGG,0,0,CSS
38,HWANG,True,5,GORDY,Y----,5,5,LLM,AEGIS,Y-Y--,5,5,VOI,THANG,-YGGG,2,2,VOI,HUANG,G-GGG,1,1,CSS,HWANG,GGGGG,0,0,CSS,,,,,
39,WRATH,True,4,LOCKE,-----,5,5,LLM,SANTA,-Y-G-,4,4,VOI,HYATT,Y-GG-,3,3,VOI,WRATH,GGGGG,0,0,CSS,,,,,,,,,,
40,MACHO,True,5,GILDA,----Y,5,5,LLM,RATES,-G---,4,4,VOI,MAYAN,GG---,3,3,VOI,MAMBO,GG--G,2,2,CSS,MACHO,GGGGG,0,0,CSS,,,,,
41,LOPEZ,True,5,GRACE,----Y,5,5,LLM,NILES,--YG-,4,4,VOI,BOWEL,-G-GY,3,3,VOI,LOVED,GG-G-,2,2,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,
42,GOODY,True,3,GIPSY,G---G,3,3,LLM,GORDY,GG-GG,1,1,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
43,BROTH,True,4,PETER,--Y-Y,5,5,LLM,TARTS,--YG-,4,4,VOI,FRITH,-G-GG,2,2,VOI,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,3,CLONE,----G,4,4,LLM,RAISE,Y---G,4,4,VOI,VERDE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
45,TAMED,True,5,SNAPS,--Y--,5,5,LLM,LAIRD,-G--G,3,3,VOI,DATED,-GYGG,2,2,VOI,TAXED,GG-GG,1,1,CSS,TAMED,GGGGG,0,0,CSS,,,,,
46,LEAFS,True,4,STUNT,Y----,5,5,LLM,AILES,Y-YYG,4,4,VOI,LEADS,GGG-G,1,1,VOI,LEAFS,GGGGG,0,0,CSS,,,,,,,,,,
47,YACHT,True,4,SKILL,-----,5,5,LLM,RACED,-GG--,3,3,VOI,MACHO,-GGG-,2,2,VOI,YACHT,GGGGG,0,0,CSS,,,,,,,,,,
48,MESSY,True,4,SPICY,Y---G,4,4,LLM,MUSTY,G-G-G,2,2,VOI,MOSSY,G-GGG,1,1,VOI,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,4,SMITE,----Y,5,5,LLM,ANDER,--GGG,2,2,VOI,ORDER,-YGGG,2,2,VOI,RYDER,GGGGG,0,0,CSS,,,,,,,,,,
50,MOTIF,True,3,CURSE,-----,5,5,LLM,MANLY,G----,4,4,VOI,MOTIF,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
51,RAVEN,True,5,FLOAT,---Y-,5,5,LLM,RAISE,GG--Y,3,3,VOI,RAZED,GG-G-,2,2,VOI,RACER,GG-G-,2,2,CSS,RAVEN,GGGGG,0,0,CSS,,,,,
52,REICH,True,3,ALINE,--G-Y,4,4,LLM,DRIES,-YGY-,4,4,VOI,REICH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
53,ICONS,True,3,AVERT,-----,5,5,LLM,LIONS,-YGGG,2,2,VOI,ICONS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
54,SILKY,True,5,DECAF,-----,5,5,LLM,TONGS,----Y,5,5,VOI,SYRUP,GY---,4,4,VOI,SILLY,GGG-G,1,1,CSS,SILKY,GGGGG,0,0,CSS,,,,,
55,CARVE,True,5,SPURT,---Y-,5,5,LLM,NADER,-G-YY,4,4,VOI,LARGE,-GG-G,2,2,VOI,FARCE,-GGYG,2,2,CSS,CARVE,GGGGG,0,0,CSS,,,,,
56,LAGER,False,6,PRIUS,-Y---,5,5,LLM,FAROE,-GY-Y,4,4,VOI,TAMER,-G-GG,2,2,VOI,LAVER,GG-GG,1,1,CSS,LAYER,GG-GG,1,1,CSS,LAZER,GG-GG,1,1,CSS
57,JERKS,True,3,HAVEN,---Y-,5,5,LLM,SERIE,YGG--,3,3,VOI,JERKS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
58,LOTUS,True,4,KLEIN,-Y---,5,5,LLM,CALLS,--Y-G,4,4,VOI,LOOPS,GG--G,2,2,VOI,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,
59,LACEY,True,4,GANGA,-G---,4,4,LLM,RAISE,-G--Y,4,4,VOI,CADET,YG-G-,3,3,VOI,LACEY,GGGGG,0,0,CSS,,,,,,,,,,
60,TUDOR,True,3,NOTED,-YY-Y,5,5,LLM,IDIOT,-Y-GY,4,4,VOI,TUDOR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
61,QUOTA,True,3,LITRE,--Y--,5,5,LLM,SANTO,-Y-GY,4,4,VOI,QUOTA,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
62,MOURN,True,4,BASED,-----,5,5,LLM,COLIN,-G--G,3,3,VOI,MORON,GGY-G,2,2,VOI,MOURN,GGGGG,0,0,CSS,,,,,,,,,,
63,PROMO,True,4,AWAKE,-----,5,5,LLM,LOINS,-Y---,5,5,VOI,OUTRO,Y--YG,4,4,VOI,PROMO,GGGGG,0,0,CSS,,,,,,,,,,
64,CASTE,True,6,SHINE,Y---G,4,4,LLM,REUSE,---YG,4,4,VOI,WASTE,-GGGG,1,1,VOI,PASTE,-GGGG,1,1,CSS,TASTE,-GGGG,1,1,CSS,CASTE,GGGGG,0,0,CSS
65,CAPRI,True,3,AGAPE,Y--Y-,5,4,LLM,PARTS,YGY--,4,4,VOI,CAPRI,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
66,ALIAS,True,3,NEEDY,-----,5,5,LLM,TAILS,-YGYG,3,3,VOI,ALIAS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
67,PADDY,True,4,PROVO,G----,4,4,LLM,PALES,GG---,3,3,VOI,PANTY,GG--G,2,2,VOI,PADDY,GGGGG,0,0,CSS,,,,,,,,,,
68,BLOBS,True,3,CLAYS,-G--G,3,3,LLM,BLESS,GG--G,2,2,VOI,BLOBS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
69,DILLY,True,4,BROAD,----Y,5,5,LLM,DENIS,G--Y-,4,4,VOI,DIMLY,GG-GG,1,1,VOI,DILLY,GGGGG,0,0,CSS,,,,,,,,,,
70,GUTSY,True,3,STAKE,YY---,5,5,LLM,RIOTS,---YY,5,4,VOI,GUTSY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
71,TABOR,True,3,NOMAD,-Y-Y-,5,5,LLM,KAROL,-GYG-,3,3,VOI,TABOR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
72,INLAY,True,4,FLOCK,-Y---,5,5,LLM,AILES,YYG--,4,4,VOI,DALIT,-YGY-,4,4,VOI,INLAY,GGGGG,0,0,CSS,,,,,,,,,,
73,AHHHH,True,4,DOBBS,-----,5,5,LLM,CATER,-Y---,5,5,VOI,ALAIN,G----,4,4,VOI,AHHHH,GGGGG,0,0,CSS,,,,,,,,,,
74,ROUEN,True,3,GUESS,-YY--,5,4,LLM,ROUTE,GGG-Y,2,2,VOI,ROUEN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
75,BUENA,True,4,THINE,---GY,4,4,LLM,SENNA,-Y-GG,3,3,VOI,ELENA,--GGG,2,2,VOI,BUENA,GGGGG,0,0,CSS,,,,,,,,,,
76,MENON,True,3,BEGAN,-G--G,3,3,LLM,MELON,GG-GG,1,1,VOI,MENON,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
77,TRASK,True,4,SAITO,YY-Y-,5,5,LLM,TEARS,G-GYY,3,3,VOI,TRASH,GGGG-,1,1,VOI,TRASK,GGGGG,0,0,CSS,,,,,,,,,,
78,CASIO,True,4,AGILE,Y-Y--,5,4,LLM,SARIN,YG-G-,3,3,VOI,MAVIS,-G-GY,3,3,VOI,CASIO,GGGGG,0,0,CSS,,,,,,,,,,
79,VOILA,True,4,SPARE,--Y--,5,5,LLM,MANLY,-Y-G-,4,4,VOI,HOLLA,-G-GG,2,2,VOI,VOILA,GGGGG,0,0,CSS,,,,,,,,,,
