game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GRBR,True,5,WOOW,0B0W,CSS,256,BRGG,1B2W,LLM,40,YGGR,1B1W,LLM,5,GBGB,1B1W,LLM,1,GRBR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
2,RGBY,True,4,YYRW,0B2W,CSS,222,BGWR,1B2W,LLM,38,ROWG,1B1W,LLM,7,RGBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
3,BYYW,True,4,WBWR,0B2W,CSS,222,RWGY,0B2W,LLM,44,YROB,0B2W,LLM,6,BYYW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
4,BGWY,True,4,RWBW,0B2W,CSS,222,YBWO,1B2W,LLM,27,GOWB,1B2W,LLM,3,BGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
5,BROG,True,4,RWBB,0B2W,CSS,222,YBOR,1B2W,LLM,23,GBRY,0B3W,LLM,4,BROG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
6,GGWY,True,5,BROW,0B1W,CSS,152,GYYO,1B1W,LLM,30,RYGR,0B2W,LLM,6,GGBY,3B0W,LLM,2,GGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
7,RWOW,False,3,BRRG,0B1W,CSS,276,YWOB,2B0W,LLM,22,GWOW,3B0W,LLM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WGRR,True,5,BYWY,0B1W,CSS,276,OWRW,1B1W,LLM,43,YORG,1B1W,LLM,7,RWGG,0B3W,LLM,1,WGRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
9,ROWO,False,2,OGGY,0B1W,CSS,276,YYRR,0B1W,LLM,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WYYY,True,4,WBYO,2B0W,CSS,96,WRWO,1B0W,LLM,26,GBBO,0B0W,LLM,1,WYYY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
11,ORRR,True,5,YGWG,0B0W,CSS,81,BORB,1B1W,LLM,8,ROOR,1B2W,LLM,2,RRRO,2B2W,LLM,1,ORRR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
12,RGOW,True,5,GOYB,0B2W,CSS,312,YYRG,0B2W,LLM,44,ORWY,0B3W,LLM,3,RWGO,1B3W,LLM,1,RGOW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
13,RGOG,True,4,GOBO,0B2W,CSS,222,RBGY,1B1W,LLM,41,RGOW,3B0W,LLM,2,RGOG,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
14,RWGW,True,4,WBYW,1B1W,CSS,230,RBOY,1B0W,LLM,17,RWRW,3B0W,LLM,2,RWGW,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
15,BRBY,True,4,WBBY,2B1W,CSS,40,WBYR,0B3W,LLM,4,YWBY,2B0W,LLM,1,BRBY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
16,BGGB,True,4,OWRG,0B1W,CSS,152,BGGY,3B0W,LLM,7,BGYY,2B0W,LLM,2,BGGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
17,OOOB,True,3,BYRG,0B1W,CSS,152,GWGW,0B0W,LLM,21,OOOB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WOGB,True,4,BBOW,0B3W,CSS,44,OWRB,1B2W,LLM,10,GWBO,0B4W,LLM,1,WOGB,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
19,RGYR,True,4,WOYW,1B0W,CSS,182,RORG,1B2W,LLM,9,RRGW,1B2W,LLM,1,RGYR,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,,,,,
20,WGWY,True,5,BGWG,2B0W,CSS,105,BGYR,1B1W,LLM,28,RGRG,1B0W,LLM,9,YGWW,2B2W,LLM,1,WGWY,4B0W,LLM,1,,,,,,,,,,,,,,,,,,,,
