game_number,target_code,won,attempts,guess_1,feedback_1,strategy_1,candidates_1,guess_2,feedback_2,strategy_2,candidates_2,guess_3,feedback_3,strategy_3,candidates_3,guess_4,feedback_4,strategy_4,candidates_4,guess_5,feedback_5,strategy_5,candidates_5,guess_6,feedback_6,strategy_6,candidates_6,guess_7,feedback_7,strategy_7,candidates_7,guess_8,feedback_8,strategy_8,candidates_8,guess_9,feedback_9,strategy_9,candidates_9,guess_10,feedback_10,strategy_10,candidates_10
1,GPBR,True,4,RGBY,1B2W,LLM,204,YGGR,1B1W,VOI,62,YBBG,1B1W,VOI,14,GPBR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
2,RYGO,True,6,RGBY,1B2W,LLM,204,GGYB,0B2W,VOI,62,YBRY,0B2W,VOI,14,PRBG,0B2W,VOI,4,RYGW,3B0W,VOI,3,RYGO,4B0W,CSS,1,,,,,,,,,,,,,,,,
3,OYGW,True,5,RGBY,0B2W,LLM,936,OBWR,1B1W,VOI,170,WBYK,0B2W,VOI,25,GWWB,0B2W,VOI,1,OYGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
4,YKBP,True,5,RGBY,1B1W,LLM,660,KOGY,0B2W,VOI,141,PGKB,0B3W,VOI,12,GBBK,1B1W,VOI,2,YKBP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
5,YOOO,True,5,ROYW,1B1W,LLM,660,OBYG,0B2W,VOI,141,GOKR,1B0W,VOI,23,WOBO,2B0W,VOI,2,YOOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
6,BGPK,True,5,RYWB,0B1W,LLM,976,WOGP,0B2W,VOI,228,GPKY,0B3W,VOI,18,PGRK,2B1W,VOI,1,BGPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
7,GWRK,True,5,RGBY,0B2W,LLM,936,KRYO,0B2W,VOI,196,PYKG,0B2W,VOI,32,GKGR,1B2W,VOI,1,GWRK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
8,GYGR,True,5,RGRB,0B2W,LLM,546,YBOG,0B2W,VOI,107,WRGY,1B2W,VOI,9,GRYK,1B2W,VOI,1,GYGR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
9,PPRR,True,6,RGBY,0B1W,LLM,976,YOKP,0B1W,VOI,174,WKGW,0B0W,VOI,16,OROR,1B1W,VOI,2,BBOO,0B0W,VOI,1,PPRR,4B0W,CSS,1,,,,,,,,,,,,,,,,
10,RORO,True,6,RRRR,2B0W,LLM,294,RBRP,2B0W,VOI,25,RGRK,2B0W,VOI,9,RYRY,2B0W,VOI,4,RWRW,2B0W,VOI,1,RORO,4B0W,CSS,1,,,,,,,,,,,,,,,,
11,RYPO,True,6,RGBY,1B1W,LLM,660,KGPR,1B1W,VOI,108,YGKG,0B1W,VOI,17,RPYR,1B2W,VOI,3,RYPW,3B0W,VOI,2,RYPO,4B0W,CSS,1,,,,,,,,,,,,,,,,
12,GYKK,True,7,RRRR,0B0W,LLM,2401,BGYO,0B2W,VOI,582,OKGG,0B2W,VOI,73,KOKB,1B1W,VOI,11,KYOP,1B1W,VOI,2,GBKP,2B0W,CSS,1,GYKK,4B0W,CSS,1,,,,,,,,,,,,
13,YYKK,True,7,YYYY,2B0W,LLM,294,GWYY,0B2W,VOI,25,YYPK,3B0W,VOI,8,YYPR,2B0W,VOI,3,YYOK,3B0W,VOI,2,YYBK,3B0W,CSS,1,YYKK,4B0W,CSS,1,,,,,,,,,,,,
14,YWPG,True,5,RGBY,0B2W,LLM,936,OYRP,0B2W,VOI,196,GRPK,1B1W,VOI,29,GWOR,1B1W,VOI,5,YWPG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
15,RYYG,True,5,RGBY,1B2W,LLM,204,YBBR,0B2W,VOI,62,GORY,0B3W,VOI,14,RYGP,2B1W,VOI,3,RYYG,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
16,YGYO,True,5,ROYB,1B1W,LLM,660,RWOP,0B1W,VOI,147,YKYO,3B0W,VOI,6,GKYO,2B1W,VOI,1,YGYO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
17,PWWO,True,6,ROYW,0B2W,LLM,936,GRBY,0B0W,VOI,52,WKKO,1B1W,VOI,10,WPOP,0B3W,VOI,2,OWPO,2B1W,VOI,1,PWWO,4B0W,CSS,1,,,,,,,,,,,,,,,,
18,YOGW,True,5,RGBY,0B2W,LLM,936,YBPO,1B1W,VOI,170,KBRP,0B0W,VOI,15,GYWO,0B4W,VOI,2,YOGW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
19,KGYK,True,5,RRRR,0B0W,LLM,2401,GOKB,0B2W,VOI,582,OKPK,1B1W,VOI,110,KYGK,2B2W,VOI,2,KGYK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
20,OYOP,True,5,RGBY,0B1W,LLM,976,OWKB,1B0W,VOI,112,OPPR,1B1W,VOI,18,PWPG,0B1W,VOI,3,OYOP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
21,RRPW,True,6,RRYY,2B0W,LLM,242,ROYK,1B0W,VOI,50,BWYY,0B1W,VOI,14,RRBR,2B0W,VOI,5,RRWP,2B2W,VOI,1,RRPW,4B0W,CSS,1,,,,,,,,,,,,,,,,
22,BOYY,True,6,RGBY,1B1W,LLM,660,ROKG,1B0W,VOI,81,RBPR,0B1W,VOI,15,YOBB,1B2W,VOI,3,BOWY,3B0W,VOI,2,BOYY,4B0W,CSS,1,,,,,,,,,,,,,,,,
23,PPRP,True,5,RGBY,0B1W,LLM,976,GWKO,0B0W,VOI,21,BPPP,2B1W,VOI,5,PRPP,2B2W,VOI,2,PPRP,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
24,WYOY,True,6,ROYG,0B2W,LLM,936,OKGP,0B1W,VOI,180,GRBW,0B1W,VOI,30,YPRY,1B1W,VOI,6,YYWO,1B3W,VOI,1,WYOY,4B0W,CSS,1,,,,,,,,,,,,,,,,
25,OYOO,True,5,BGRY,0B1W,LLM,976,PYKO,2B0W,VOI,64,PWKB,0B0W,VOI,4,YYYO,2B0W,VOI,1,OYOO,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
26,BYKG,True,7,RRRR,0B0W,LLM,2401,PKWO,0B1W,VOI,444,YYPB,1B1W,VOI,85,GYKY,2B1W,VOI,6,OYGY,1B1W,VOI,2,GYBK,1B3W,CSS,1,BYKG,4B0W,CSS,1,,,,,,,,,,,,
27,YYOY,True,5,RGBY,1B0W,LLM,500,WOBP,0B1W,VOI,117,PKKY,1B0W,VOI,22,RRKW,0B0W,VOI,5,YYOY,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
28,WYRW,True,5,YYOO,1B0W,LLM,864,BPWO,0B1W,VOI,185,YKKP,0B1W,VOI,28,RYGW,2B1W,VOI,3,WYRW,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
29,GWRW,True,6,RGBY,0B2W,LLM,936,GPYO,1B0W,VOI,118,GKRG,2B0W,VOI,9,GRRW,3B0W,VOI,2,GRRR,2B0W,VOI,1,GWRW,4B0W,CSS,1,,,,,,,,,,,,,,,,
30,GYPK,True,5,RGBY,0B2W,LLM,936,YBOP,0B2W,VOI,196,BPRW,0B1W,VOI,32,PKYG,0B4W,VOI,1,GYPK,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
31,PRWR,True,5,ROYB,0B1W,LLM,976,PYKG,1B0W,VOI,112,PRWW,3B0W,VOI,5,PRRW,2B2W,VOI,1,PRWR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,
32,GOYR,True,4,RGBY,0B3W,LLM,224,ORYB,1B2W,VOI,32,YBYR,2B0W,VOI,3,GOYR,4B0W,VOI,1,,,,,,,,,,,,,,,,,,,,,,,,
33,WWKO,True,7,RRRR,0B0W,LLM,2401,GOKY,1B1W,VOI,432,BOGP,0B1W,VOI,78,KKPY,0B1W,VOI,16,WWKG,3B0W,VOI,2,WGKG,2B0W,CSS,1,WWKO,4B0W,CSS,1,,,,,,,,,,,,
34,WORG,True,6,RGBY,0B2W,LLM,936,BYOW,0B2W,VOI,196,POYR,1B1W,VOI,29,YOKG,2B0W,VOI,2,YWKR,0B2W,VOI,1,WORG,4B0W,CSS,1,,,,,,,,,,,,,,,,
