game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,RISEN,-----,5,5,CSS,ADIEU,-----,5,5,LLM,BOOTH,-YGGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
2,PARTY,True,5,SAFER,-G--Y,4,4,CSS,TRACE,YYY--,5,5,LLM,MARTI,-GGG-,2.0,2.0,CSS,DARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,2
3,TRICK,True,3,RAINE,Y-G--,4,4,CSS,CRISP,YGG--,3,3,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
4,DIRTY,True,3,MARIS,--GY-,4,4,CSS,TIRED,YGG-Y,3,3,LLM,DIRTY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
5,USUAL,True,4,RUNES,-Y--Y,5,5,CSS,SOUTH,Y-G--,4,4,LLM,CAUSA,-YGY-,4.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
6,TRULY,True,5,DARES,--Y--,5,5,CSS,STORE,-Y-Y-,5,5,LLM,PRINT,-G--Y,4.0,4.0,CSS,TRUCK,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,2
7,SPENT,True,3,PANES,Y-YYY,5,4,CSS,SPEND,GGGG-,1,1,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
8,PAUSE,True,4,MEANS,-YY-Y,5,4,CSS,PASTE,GGY-G,2,2,LLM,PARSE,GG-GG,1.0,1.0,CSS,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
9,CRAZY,True,4,OAKES,-Y---,5,5,CSS,TRAIN,-GG--,3,3,LLM,GRADY,-GG-G,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,True,3,HALES,-G-GG,2,2,CSS,BAKES,GG-GG,1,1,LLM,BASES,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
11,YOUNG,True,4,HALES,-----,5,5,CSS,CRANE,---G-,4,4,LLM,DOING,-G-GG,2.0,2.0,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
