game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,TASER,Y----,5,5,CSS,MIGHT,---YY,5,5,LLM,BOOTH,-YGGY,3.0,3.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
2,PARTY,True,6,RACES,YG---,4,4,CSS,GUESS,-----,5,5,LLM,MARIA,-GG--,3.0,3.0,CSS,BARON,-GG--,3.0,3.0,LLM,DARTH,-GGG-,2.0,2.0,CSS,PARTY,GGGGG,0.0,0.0,LLM,4
3,TRICK,True,4,TAPES,G----,4,4,CSS,THING,G-G--,3,3,LLM,TRILL,GGG--,2.0,2.0,CSS,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
4,DIRTY,True,4,LASER,----Y,5,5,CSS,WOUND,----Y,5,5,LLM,DRIFT,GYY-Y,4.0,3.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
5,USUAL,True,4,GEARS,--Y-Y,5,5,CSS,STARE,Y-Y--,5,4,LLM,MASAI,--YG-,4.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
6,TRULY,True,4,KAREN,--Y--,5,5,CSS,BASED,-----,5,5,LLM,TROOP,GG---,3.0,3.0,CSS,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
7,SPENT,True,3,AIRES,---YY,5,5,CSS,WOULD,-----,5,5,LLM,SPENT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,2
8,PAUSE,True,3,ASTER,YY-Y-,5,4,CSS,LEANS,-YY-Y,5,4,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
9,CRAZY,True,6,LIARS,--GY-,4,4,CSS,CRACK,GGG--,2,2,LLM,CRATE,GGG--,2.0,2.0,CSS,CRABB,GGG--,2.0,2.0,LLM,CRAMP,GGG--,2.0,2.0,CSS,CRAZY,GGGGG,0.0,0.0,LLM,0
10,BASES,True,4,MILES,---GG,3,3,CSS,TEARS,-YY-G,4,4,LLM,CASES,-GGGG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
