game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,4,SAUER,-----,5,5,CSS,ZORRO,-Y--G,4,4,LLM,KYOTO,--GGG,2.0,2.0,CSS,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
2,PARTY,True,2,DARES,-GG--,3,3,CSS,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
3,TRICK,True,5,SNARE,---Y-,5,5,CSS,PORTO,--YY-,5,5,LLM,TRULY,GG---,3.0,3.0,CSS,GUESS,-----,5.0,5.0,LLM,TRICK,GGGGG,0.0,0.0,CSS,,,,,,7
4,DIRTY,True,4,REINS,Y-Y--,5,5,CSS,CARBS,--G--,4,4,LLM,GIRLY,-GG-G,2.0,2.0,CSS,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
5,USUAL,True,4,ALONE,YY---,5,5,CSS,GUESS,-Y-Y-,5,5,LLM,SAULT,YYGY-,4.0,4.0,CSS,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
6,TRULY,True,3,KAREN,--Y--,5,5,CSS,GRUNT,-GG-Y,3,3,LLM,TRULY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
7,SPENT,True,4,TIERS,Y-G-Y,4,4,CSS,STEAM,GYG--,3,3,LLM,SLEPT,G-GYG,2.0,2.0,CSS,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
8,PAUSE,True,3,LOSER,--YY-,5,4,CSS,SEINE,Y---G,4,4,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
9,CRAZY,True,3,DEANS,--G--,4,4,CSS,CLARA,G-GY-,3,3,LLM,CRAZY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
10,BASES,True,6,ANSEL,Y-GG-,3,3,CSS,HOSEA,--GGY,3,3,LLM,CASES,-GGGG,1.0,1.0,CSS,VASES,-GGGG,1.0,1.0,LLM,GASES,-GGGG,1.0,1.0,CSS,BASES,GGGGG,0.0,0.0,LLM,0
11,YOUNG,True,5,EARLS,-----,5,5,CSS,SURES,-Y---,5,5,LLM,COUNT,-GGG-,2.0,2.0,CSS,POUND,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,CSS,,,,,,3
12,MEANS,True,4,STOLE,Y---Y,5,5,CSS,DARES,-Y-YG,4,4,LLM,BEANS,-GGGG,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,3,SANTO,---G-,4,4,CSS,BITEY,--Y--,5,5,LLM,TRUTH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
14,FIRED,True,5,AISLE,-G--Y,4,4,CSS,HIKED,-G-GG,2,2,LLM,MIRED,-GGGG,1.0,1.0,CSS,WIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,0
15,FOLKS,True,4,SAITO,Y---Y,5,5,CSS,SWORD,Y-Y--,5,5,LLM,MOLES,-GG-G,2.0,2.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
16,CHILE,True,3,ARISE,--G-G,3,3,CSS,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
17,BLACK,True,5,EARLS,-Y-Y-,5,5,CSS,PLANT,-GG--,3,3,LLM,CLAIM,YGG--,3.0,3.0,CSS,FLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,0
18,GRANT,True,5,CARES,-YY--,5,5,CSS,SURES,--Y--,5,5,LLM,TRAIN,YGG-Y,3.0,3.0,CSS,BRAIN,-GG-Y,3.0,3.0,LLM,GRANT,GGGGG,0.0,0.0,CSS,,,,,,7
19,MEALS,True,5,CESAR,-GYY-,4,4,CSS,BEAST,-GGY-,3,3,LLM,DEALS,-GGGG,1.0,1.0,CSS,SEALS,-GGGG,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,0
20,CREAM,True,2,CATES,GY-Y-,4,4,CSS,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
21,AWAKE,True,5,LOUSE,----G,4,4,CSS,ZEBRA,-Y--Y,5,5,LLM,MAINE,-Y--G,4.0,4.0,CSS,AGAPE,G-G-G,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,,,,,,1
22,OCCUR,True,4,SIRED,--Y--,5,5,CSS,SWORD,--YY-,5,5,LLM,RATON,Y--Y-,5.0,5.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
23,YEARS,True,6,SHORE,Y--GY,4,4,CSS,BEARS,-GGGG,1,1,LLM,GEARS,-GGGG,1.0,1.0,CSS,TEARS,-GGGG,1.0,1.0,LLM,MEARS,-GGGG,1.0,1.0,CSS,YEARS,GGGGG,0.0,0.0,LLM,0
24,GRADE,False,6,LOANS,--G--,4,4,CSS,GUESS,G-Y--,4,4,LLM,GRATE,GGG-G,1.0,1.0,CSS,GRAZE,GGG-G,1.0,1.0,LLM,GRAVE,GGG-G,1.0,1.0,CSS,GRASP,GGG--,2.0,2.0,LLM,5
25,CHILL,True,5,NEARS,-----,5,5,CSS,BREWS,-----,5,5,LLM,MOLDY,--Y--,5.0,5.0,CSS,FLICK,-YGY-,4.0,4.0,LLM,CHILL,GGGGG,0.0,0.0,CSS,,,,,,3
26,FLOOD,True,4,SOLAR,-YY--,5,5,CSS,CLOVE,-GG--,3,3,LLM,BLOOD,-GGGG,1.0,1.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
27,APPLY,True,3,ROLES,--Y--,5,5,CSS,ALINA,GY---,4,4,LLM,APPLY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
28,SMILE,True,3,ELISA,YYGY-,4,4,CSS,SPOUT,G----,4,4,LLM,SMILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,3
29,KNOCK,True,5,AIRES,-----,5,5,CSS,ZEBRA,-----,5,5,LLM,COULD,YY---,5.0,5.0,CSS,NOCKS,YYYY-,5.0,2.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,5
30,SLEEP,True,4,RANTS,----Y,5,5,CSS,SLIME,GG--Y,3,3,LLM,SLEEK,GGGG-,1.0,1.0,CSS,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
31,BRICK,True,4,RAGES,Y----,5,5,CSS,GRUNT,-G---,4,4,LLM,BROOK,GG--G,2.0,2.0,CSS,BRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
32,WROTE,True,5,LEARY,-Y-Y-,5,5,CSS,GIVEN,---Y-,5,5,LLM,CREST,-GY-Y,4.0,4.0,CSS,TROUT,YGG--,3.0,3.0,LLM,WROTE,GGGGG,0.0,0.0,CSS,,,,,,3
33,RATED,True,4,SIREN,--YG-,4,4,CSS,ZEBRA,-Y-YY,5,5,LLM,LATER,-GGGY,2.0,2.0,CSS,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
34,ALERT,True,2,YEARS,-YYG-,4,4,CSS,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
35,CAGES,True,4,SNARE,Y-Y-Y,5,4,CSS,GATES,YG-GG,2,2,LLM,WAGES,-GGGG,1.0,1.0,CSS,CAGES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
