game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
1,PHOTO,True,3,CORES,-Y---,5,5,CSS,ALTON,--YY-,5,4,LLM,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
2,PARTY,True,5,EARNS,-GG--,3,3,CSS,MARTA,-GGG-,2,2,LLM,DARTH,-GGG-,2,2,CSS,PARTI,GGGG-,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS,,,,,,0
3,TRICK,True,3,HALES,-----,5,5,CSS,TIMON,GY---,4,4,LLM,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
4,DIRTY,True,3,CITES,-GY--,4,4,CSS,MIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
5,USUAL,True,3,NEARS,--Y-Y,5,5,CSS,SALSA,YYY--,5,4,LLM,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
6,TRULY,True,3,SALEM,--Y--,5,5,CSS,CLING,-Y---,5,5,LLM,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
7,SPENT,True,3,HARES,---YY,5,5,CSS,SPINE,GG-GY,2,2,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
8,PAUSE,True,5,NORSE,---GG,3,3,CSS,LEASE,--YGG,3,3,LLM,MASSE,-G-GG,2,2,CSS,CAUSE,-GGGG,1.0,1.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS,,,,,,0
9,CRAZY,True,4,ARIES,YG---,4,4,CSS,GRANT,-GG--,3,3,LLM,DRACO,-GGY-,3,3,CSS,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
10,BASES,False,6,HEARS,-YY-G,4,4,CSS,TALES,-G-GG,2,2,LLM,CASES,-GGGG,1,1,CSS,VASES,-GGGG,1.0,1.0,LLM,EASES,-GGGG,1.0,1.0,CSS,GASES,-GGGG,1.0,1.0,LLM,0
11,YOUNG,True,4,REALS,-----,5,5,CSS,TONIC,-GY--,4,4,LLM,HOUND,-GGG-,2,2,CSS,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
12,MEANS,True,4,RAMOS,-YY-G,4,4,CSS,SEAMS,-GGYG,2,2,LLM,MEATS,GGG-G,1,1,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,3,POETS,---G-,4,4,CSS,MARTY,--YG-,4,4,LLM,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,0
14,FIRED,True,4,TONES,---G-,4,4,CSS,ADLER,-Y-GY,4,4,LLM,FRIED,GYYGG,2,2,CSS,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
